F L D R2 U' L2
F L B2 U F2 U2
F L B2 U' D2 B2
F L B2 D R2 U'
F L B2 D2 U' B2
F' U' L F2 B2 U'
F' U' L B2 F2 U'
F' U' F2 L B2 U'
R2 F L B2 U' B'
F D L R2 U' L
F D R2 L U' L
F L R D R2 U' L2
F L R B2 U F2 U2
F L R B2 U' D2 B2
F L R B2 D R2 U'
F L R B2 D2 U' B2
F L R' D R2 U' L2
F L R' B2 U F2 U2
F L R' B2 U' D2 B2
F L R' B2 D R2 U'
F L R' B2 D2 U' B2
F L R2 D R2 U' L2
F L R2 B2 U F2 U2
F L R2 B2 U' D2 B2
F L R2 B2 D R2 U'
F L R2 B2 D2 U' B2
F L U F2 U' B2 U'
F L U F2 U2 D L2
F L U F2 D U2 L2
F L U F2 D' R2 U2
F L U' D L2 D B2
F L U' D2 B2 D' L2
F' L U' F2 B2 U' F2
F' L U' B2 F2 U' F2
F L U2 D2 F2 U B2
F L D R2 U' L2 D
F L D R2 U' L2 D'
F L D R2 U' L2 D2
F L D R2 D' B2 U'
F L D R2 B U' L2
F L D R2 B' U' L2
F L D R2 B2 U' L2
F L D U' L2 D B2
F2 L D F' R U' L2
F L D B R2 U' L2
F L D B' R2 U' L2
F L D B2 R2 U' L2
F L D2 U' B2 D' L2
F L D2 U2 F2 U B2
F' L F2 D R2 U' L2
F' L F2 B2 U F2 U2
F' L F2 B2 U' D2 B2
F' L F2 B2 D R2 U'
F' L F2 B2 D2 U' B2
F L B D B R2 U'
F L B D2 B U' B
F L B' D R2 B' U'
F L B' D B' R2 U'
F L B' D2 B' U' B'
F L B2 R U F2 U2
F L B2 R U' D2 B2
F L B2 R D R2 U'
F L B2 R D2 U' B2
F L B2 R' U F2 U2
F L B2 R' U' D2 B2
F L B2 R' D R2 U'
F L B2 R' D2 U' B2
F L B2 R2 U F2 U2
F L B2 R2 U' D2 B2
F L B2 R2 D R2 U'
F L B2 R2 D2 U' B2
F L B2 U F2 U2 D
F L B2 U F2 U2 D'
F L B2 U F2 U2 D2
F L B2 U F2 D U2
F L B2 U F2 D' U2
F L B2 U F2 D2 U2
F L B2 U' D2 B2 D
F L B2 U' D2 B2 D'
F L B2 U' D2 B2 D2
F2 L B2 D F' R U'
F L B2 U' B D2 B2
F L B2 U' B' D2 B2
F L B2 U' B2 D2 B2
F L B2 U2 D' L2 U
F L B2 D R2 U' D
F L B2 D R2 U' D'
F L B2 D R2 U' D2
F L B2 D R2 D U'
F L B2 D R2 D' U'
