B2 L' U L' U B' L
B U L' B U2 L2 B2
B U L' B U2 B2 L2
B' U R' B' L' U2 B'
B U B L' U2 B' L
B' U B' L' U2 B' L
B' U' R' B' L' F' U2
D2 F2 R D' B L B'
D2 F2 R B D' L B'
D2 F2 R2 D R' B L
D2 F2 D R' B L R2
D2 F2 D R' B R2 L
D2 F2 D' R B L B'
D2 F2 D' B L R B'
D2 F2 D' B L B' R
D2 F2 D' B R L B'
D2 F2 B R D' L B'
D2 F2 B D' L R B'
D2 F2 B D' L B' R
D2 F2 B D' R L B'
D2 B U' F2 L R B
D2 B U' F2 R L B
D2 B F2 R D' L B'
D2 B F2 D' L R B'
D2 B F2 D' L B' R
D2 B F2 D' R L B'
U' B2 L' U' B' R' U'
L' B2 U L' U B' L
U2 B2 D L' F R U2
