L' F U B R F'
F L B R D L2 F'
F L B R D F' L2
F L B R F' D L2
F L B' U' R F' B2
F L B' U' R B2 F'
F L B' U' B2 R F'
D2 L' D' F L' B R
D2 L' D' F B L' R
D2 L' D' F B R L'
D2 L' D' B F L' R
D2 L' D' B F R L'
B' L' F U R F' B2
B' L' F U R B2 F'
B' L' F U B2 R F'
F L' B R F' D' L2
D2 L' B D' F L' R
D2 L' B D' F R L'
F L2 U B L R F'
F L2 U B R L F'
F L2 U B R F' L
F L2 U' B R F' L'
B R D F L' R F2
B R D F R L' F2
R2 D F' L' R B U2
R2 D F' R L' B U2
R2 D F' R B L' U2
R' D' B R' F' L' U2
L' F L U B R F'
L' F L' U B R F'
L' F L2 U B R F'
D F L' D' B R F'
D F L' B R D' F2
L' F U B R D F'
L' F U B R D' F'
L' F U B R D2 F'
L' F U B R F' D
L' F U B R F' D'
L' F U B R F' D2
L' F U B' R F' B2
L' F U B' R B2 F'
L' F U B2 R F' B'
L' F U B2 R B' F'
L2 F U B L R F'
L2 F U B R L F'
L2 F U B R F' L
L2 F U' B R F' L'
D F D L' B R F
D F D B L' R F
D F D B R L' F
D F D' L' B R F'
D F D' B L' R F'
D F D' B R L' F'
D F B L' R D' F2
L' F B' U R F' B2
L' F B' U R B2 F'
L' F B' U B2 R F'
D F B R L' D' F2
D F B R D' L' F2
L F B R D L2 F'
L F B R D F' L2
L F B R F' D L2
L' F B2 U R F' B'
L' F B2 U R B' F'
L' F B2 U B' R F'
L F B' U' R F' B2
L F B' U' R B2 F'
L F B' U' B2 R F'
R2 F' L' U F R U
B D F L' D' R F'
B D F R D L' F
B D F D L' R F
B D F D R L' F
B D F D' L' R F'
B D F D' R L' F'
B D2 L' D' F L' R
B D2 L' D' F R L'
D2 B L' D' F L' R
D2 B L' D' F R L'
B F L' R F' D' L2
F B L' R F' D' L2
B2 F R D' F' B' L
B2 F R D' B' L F'
B2 F R D' B' F' L
B2 F R F' D' B' L
B F R L' F' D' L2
B F R D F L' F2
F B R L' F' D' L2
B F R F2 D F L'
F B R D F L' F2
F B R F2 D F L'
D B F L' R D' F2
D B F R L' D' F2
D B F R D' L' F2
L B F R D L2 F'
L B F R D F' L2
L B F R F' D L2
L' B' F U R F' B2
L' B' F U R B2 F'
L' B' F U B2 R F'
L B' F U' R F' B2
L B' F U' R B2 F'
L B' F U' B2 R F'
F B2 R D' F' B' L
F B2 R D' B' L F'
F B2 R D' B' F' L
F B2 R F' D' B' L
L' B2 F U R F' B'
L' B2 F U R B' F'
L' B2 F U B' R F'
