B' L U R U2 B R'
D L U R' D2 L2 F
D' L U' R U2 F' R2
D L U' R B' U2 R2
F2 L' R2 D' R F' B2
F2 L' R2 D' R B2 F'
F2 L' R2 D' B2 R F'
R2 L' D' B2 L R F'
R2 L' D' B2 R L F'
R2 L' D' B2 R F' L
F2 L' D' R F' R2 B2
F2 L' D' R F' B2 R2
F2 L' D' R B2 F' R2
L' R2 D' B2 L R F'
L' R2 D' B2 R L F'
L' R2 D' B2 R F' L
R U L B R' U R'
L U D F2 L' R' F
L U D F2 L' F R'
L U D F2 R' L' F
D' R U L U F' R2
L U F2 R' D L' F
L U F2 D L' R' F
L U F2 D L' F R'
L U F2 D R' L' F
L U' D' R U2 F' R2
F2 R' D L' D' F B2
F2 R' D L' D' B2 F
F2 R' D L' F D' B2
F2 R2 L' D' R F' B2
F2 R2 L' D' R B2 F'
F2 R2 L' D' B2 R F'
R' D L' D F L2 B'
L D U F2 L' R' F
L D U F2 L' F R'
L D U F2 R' L' F
L' D F2 U2 L' R' F
L' D F2 U2 L' F R'
L' D F2 U2 R' L' F
L D F2 U L' R' F
L D F2 U L' F R'
L D F2 U R' L' F
L' D' R U2 F' R2 B2
L' D' R U2 F' B2 R2
L' D' R U2 B2 F' R2
L' D' R' B2 D2 L2 F
L D' U' R U2 F' R2
R' D2 L' D' L' F B2
R' D2 L' D' L' B2 F
R' D2 L' D' B2 L' F
F2 D L U L2 R' F
F2 D L U L2 F R'
F2 D L U R' L2 F
F2 D L' R' D' F B2
F2 D L' R' D' B2 F
F2 D L' R' F D' B2
F2 D L' D' R' F B2
F2 D L' D' R' B2 F
F2 D L' D' F R' B2
F2 D L' F R' D' B2
F2 D L' F D' R' B2
F2 D R' L' D' F B2
F2 D R' L' D' B2 F
F2 D R' L' F D' B2
D F2 L U L2 R' F
D F2 L U L2 F R'
D F2 L U R' L2 F
D F2 L' R' D' F B2
D F2 L' R' D' B2 F
D F2 L' R' F D' B2
D F2 L' D' R' F B2
D F2 L' D' R' B2 F
D F2 L' D' F R' B2
D F2 L' F R' D' B2
D F2 L' F D' R' B2
L2 F2 R' D L' F B2
L2 F2 R' D L' B2 F
L2 F2 R' D B2 L' F
D F2 R' L' D' F B2
D F2 R' L' D' B2 F
D F2 R' L' F D' B2
L F2 U R' D L' F
L F2 U D L' R' F
L F2 U D L' F R'
L F2 U D R' L' F
L F2 D U L' R' F
L F2 D U L' F R'
L F2 D U R' L' F
R2 B2 R' U' L R2 F
R2 B2 R' U' L F R2
R2 B2 R' U' R2 L F
L B2 U' L R U2 F
L B2 U' R L U2 F
