B R2 U' L' F' R
B L R2 U' L2 F' R
B L R2 U' F' L2 R
B L R2 U' F' R L2
B L' U R2 U' F' R
D2 L' F2 B R' D B2
D2 L' B F2 R' D B2
D L2 R F' U' L B2
B L2 R2 U' L F' R
B L2 R2 U' F' L R
B L2 R2 U' F' R L
D R L2 F' U' L B2
R2 U' L' F D2 F2 R
R2 U' L' F' R D2 F2
R2 U' L' F' D2 R F2
B R2 L U' L2 F' R
B R2 L U' F' L2 R
B R2 L U' F' R L2
B R2 L2 U' L F' R
B R2 L2 U' F' L R
B R2 L2 U' F' R L
B R2 U' L F' L2 R
B R2 U' L F' R L2
B R2 U' L' F' R D
B R2 U' L' F' R D'
B R2 U' L' F' R D2
B R2 U' L' F' D R
B R2 U' L' F' D' R
B R2 U' L' F' D2 R
B R2 U' L2 F' L R
B R2 U' L2 F' R L
R D L2 R F' U' L
R D R L2 F' U' L
B R2 B U' L' F' R
B R2 B' U' L' F' R
B R2 B2 U' L' F' R
L' D B D F2 B R'
L' D B D B R' F2
L' D B D B F2 R'
B U R2 U' L' F' R
B U' R2 U' L' F' R
L' D2 F2 B R' D' B2
L' D2 F2 B D' R' B2
L' D2 F2 B' D' B2 R'
L' D2 B R' F2 D' B2
L' D2 B F2 R' D' B2
L' D2 B F2 D' R' B2
R2 D2 B U' L' R' F2
R2 D2 B U' L' F2 R'
R2 D2 B U' R' L' F2
L' D2 B' F2 D' B2 R'
B U2 R2 U' L' F' R
L' F D B2 D F2 R
L' F D2 F2 R D' B2
L' F D2 F2 D' R B2
L' F D2 F2 D' B2 R
L' F' D R B2 D F2
L' F' D B2 R D F2
L' F' D B2 D R F2
L' F' D2 R F2 D' B2
D2 B L' F2 R' D B2
D2 B L2 U L R' F2
D2 B L2 U L F2 R'
D2 B L2 U R' L F2
D2 B L2 U R' F2 L
D2 B L2 U F2 L R'
D2 B L2 U F2 R' L
U' B R2 U' L' F' R
U2 B R2 U' L' F' R
L' B U R2 U' F' R
L B R2 U' L2 F' R
U B R2 U' L' F' R
L B R2 U' F' L2 R
L B R2 U' F' R L2
R2 B U' L' R2 F' R
R2 B U' R2 L' F' R
D B D L' F2 B R'
D B D L' B R' F2
D B D L' B F2 R'
D B D B L' R' F2
D B D B L' F2 R'
D B D B R' L' F2
D2 B' L2 U F2 L R
D2 B' L2 U F2 R L
