U L' F' D' R F' U
D' R U L' F' U F2
D R U L' F U F2
B R' U D' L' U F
B R' D' U L' U F
D R' B U L' F U
D R2 U L' F R U
D' U L' R F' U F2
D' U L' U D' F L'
B2 U L' R' F' R U
D' U L' D' U F L'
B' U L' F' R U L2
D U L' R F U F2
U D L' R F U F2
D U L' F R U F'
U D L' F R U F'
D' U R L' F' U F2
D U R L' F U F2
B2 U R' L' F' R U
U D R L' F U F2
B' U D' L' U F L2
U D' L' R F' U F2
U D' L' U D' F L'
U D' L' D' U F L'
U D' R L' F' U F2
F2 U' R U B R' U2
U2 F U L' U' B' L
B D R' B U L' U
B D' R' U L' U F
B' D' U L' U F L2
