U' F L U R F'
F L R U F' D R2
F L R U2 F U' F2
F L U R F' D R2
F L U2 D' F L' U'
F L D' U2 F L' U'
F L' R B' L2 U F'
F L' B' L2 R U F'
F L' B' R L2 U F'
F R L U F' D R2
F R L U2 F U' F2
F R L' B' L2 U F'
U' R F L U R F2
U2 R F L B U F2
R U' F L U R F2
R2 U2 F L U F R
U' F L R' U R2 F'
U' F L U R D F'
U' F L U R D' F'
U' F L U R D2 F'
U' F L U R F' D
U' F L U R F' D'
U' F L U R F' D2
D' F L U2 F L2 U'
U' F L B U R F'
U2 F L R B U F'
U' F L B' U R F'
U' F L B2 U R F'
U2 F L U F R F'
R F L U2 F U' F
U2 F R L B U F'
R F L' B' L2 U F2
U' F R' L U R2 F'
U' F B' U R F' B
U' F B' U R B F'
F D' L U2 F L' U'
U' F2 L F' U R F'
B D2 F L' B' U F
U' B' F U R F' B
U' B' F U R B F'
