D L' F B2 U'
D L' B2 F U'
D B2 L' F U'
B' L' U L2 R2 U2
B' L' U R2 L2 U2
B L' U R2 U2 R
B' L' U' D2 L2 R2
B' L' U' D2 R2 L2
B L' U' D2 L2 R'
B L' U' D2 R' L2
D L' D F U' L2
B' L' D F2 B2 U'
B' L' D B2 F2 U'
B' L' D2 U' L2 R2
B' L' D2 U' R2 L2
B L' D2 U' L2 R'
B L' D2 U' R' L2
D L' F U' D L2
D L' F D U' L2
D L' F D U' L2
D L' F B2 U' D
D L' F B2 U' D'
D L' F B2 U' D2
D L' F B2 D U'
D L' F B2 D' U'
D L' F B2 D2 U'
D L' B2 D F U'
D L' B2 D' F U'
D L' B2 D2 F U'
D L' B2 F U' D
D L' B2 F U' D'
D L' B2 F U' D2
D L' B2 F D U'
D L' B2 F D' U'
D L' B2 F D2 U'
L' D2 F' U' L2 R
L' D2 F' U' R L2
B' D B2 L' U' R'
B D2 L' U' L' R'
B D2 L' U' R' L'
D B L' F B U'
D B L' B F U'
L' B U R2 U2 R
L' B U' D2 L2 R'
L' B U' D2 R' L2
L' B D2 U' L2 R'
L' B D2 U' R' L2
L' B' U L R2 U2
L' B' U R2 L U2
L' B' D B2 U' R'
D B2 L' D F U'
D B2 L' D' F U'
D B2 L' D2 F U'
D B2 L' F U' D
D B2 L' F U' D'
D B2 L' F U' D2
D B2 L' F D U'
D B2 L' F D' U'
D B2 L' F D2 U'
B' L R2 U' L2 R2 U'
B' L R2 U' R2 L2 U'
B' L R2 U2 D F2 B2
B' L R2 U2 D B2 F2
B' L R2 D U2 F2 B2
B' L R2 D U2 B2 F2
B' L R2 D' F2 B2 U2
B' L R2 D' B2 F2 U2
D L F L2 F B2 U'
D L F L2 B2 F U'
D2 L F' L2 U' L' R
D2 L F' L2 U' R L'
D L F' L2 F B2 U'
D L F' L2 B2 F U'
D L F2 L2 F B2 U'
D L F2 L2 B2 F U'
D L B2 L2 U2 B U
D L' R F R' B2 U'
D L' R' B2 R F U'
D L' R2 F R2 B2 U'
D L' R2 F B2 R2 U'
D L' R2 B2 R2 F U'
D L' R2 B2 F R2 U'
B' L' U L2 R2 U2 D
B' L' U L2 R2 U2 D'
B' L' U L2 R2 U2 D2
B' L' U L2 R2 D U2
B' L' U L2 R2 D' U2
B' L' U L2 R2 D2 U2
B' L' U L2 U2 D2 L2
B' L' U L2 D2 U2 L2
B L' U L R2 U2 R
B L' U L' R2 U2 R
B' L' U R2 L2 U2 D
B' L' U R2 L2 U2 D'
B' L' U R2 L2 U2 D2
B' L' U R2 L2 D U2
B' L' U R2 L2 D' U2
B' L' U R2 L2 D2 U2
B' L' U R2 U2 D2 R2
B L' U L2 R2 U2 R
B' L' U R2 D2 U2 R2
B L' U R2 L U2 R
B L' U R2 L' U2 R
B L' U R2 L2 U2 R
B L' U R2 U2 R D
B L' U R2 U2 R D'
B L' U R2 U2 R D2
B L' U R2 U2 D R
B L' U R2 U2 D' R
B L' U R2 U2 D2 R
B L' U R2 D U2 R
B L' U R2 D' U2 R
B L' U R2 D2 U2 R
D2 L' U' L' F' R F
B L' U' L D2 L2 R'
B L' U' L D2 R' L2
B L' U' L' D2 L2 R'
B L' U' L' D2 R' L2
B L' U' L2 D2 L2 R'
B L' U' L2 D2 R' L2
D2 L' U' F' R F L'
B L' U' R' U2 R' U2
B' L' U' D2 L2 R2 D
B' L' U' D2 L2 R2 D'
B' L' U' D2 L2 R2 D2
B' L' U' D2 R2 L2 D
B' L' U' D2 R2 L2 D'
B' L' U' D2 R2 L2 D2
B L' U' R' B2 L B2
B L' U' D R' D L2
B L' U' D' R' D' L2
B L' U' D2 L2 R' D
B L' U' D2 L2 R' D'
B L' U' D2 L2 R' D2
B L' U' D2 L2 D R'
B L' U' D2 L2 D' R'
B L' U' D2 L2 D2 R'
B L' U' D2 R' L2 D
B L' U' D2 R' L2 D'
B L' U' D2 R' L2 D2
B' L' U2 D' F2 B2 U
B' L' U2 D' B2 F2 U
B L' U2 D' F2 U R'
B L' D U' R' D L2
B' L' D F2 U' D L2
D L' D F U' L2 D
D L' D F U' L2 D'
D L' D F U' L2 D2
B' L' D F2 D U' L2
D L' D F D' B2 U'
D L' D F B U' L2
B' L' D F2 B2 U' D
B' L' D F2 B2 U' D'
B' L' D F2 B2 U' D2
B' L' D F2 B2 D U'
B' L' D F2 B2 D' U'
D L' D F B' U' L2
B' L' D F2 B2 D2 U'
D L' D F B2 U' L2
B' L' D B2 U' D R2
B' L' D B2 D U' R2
B' L' D B2 F2 U' D
B' L' D B2 F2 U' D'
B' L' D B2 F2 U' D2
B' L' D B2 F2 D U'
B' L' D B2 F2 D' U'
B' L' D B2 F2 D2 U'
D L' D B F U' L2
D L' D B' F U' L2
D L' D B2 F U' L2
B L' D B2 U L U2
B' L' D' U2 F2 B2 U
D' L' D' F' U' L2 R
D' L' D' F' U' R L2
B' L' D' U2 B2 F2 U
B L' D' U' R' D' L2
D L' D' F U R2 U2
D L' D' F U' D2 L2
B L' D' U2 F2 U R'
D L' D' F D B2 U'
D L' D' F D2 U' L2
B' L' D2 U' L2 R2 D
B' L' D2 U' L2 R2 D'
B' L' D2 U' L2 R2 D2
B' L' D2 U' R2 L2 D
B' L' D2 U' R2 L2 D'
B' L' D2 U' R2 L2 D2
B' L' D2 F U' L2 R2
B' L' D2 F U' R2 L2
B' L' D2 F' U' L2 R2
B' L' D2 F' U' R2 L2
D2 L' D2 B U' L' R'
D2 L' D2 B U' R' L'
B L' D2 U' L2 R' D
B L' D2 U' L2 R' D'
B L' D2 U' L2 R' D2
B L' D2 U' L2 D R'
B L' D2 U' L2 D' R'
B L' D2 U' L2 D2 R'
B L' D2 U' R' L2 D
B L' D2 U' R' L2 D'
B L' D2 U' R' L2 D2
B' L' D2 F2 U' L2 R2
B' L' D2 F2 U' R2 L2
B' L' D2 B U' L2 R2
D L' D2 F U2 F U
B' L' D2 B U' R2 L2
B L' D2 F U' L2 R'
