F L D' B' L2
F L B' D' L2
F L' D' L2 B'
F L U' F2 U B'
F L D B' D2 L2
F2 L D' F' B' L
F2 L D' B' L F'
F L D' B L2 B2
F2 L D' B' F' L
F L D' B' L2 D
F L D' B' L2 D'
F L D' B' L2 D2
F L D' B2 L2 B
F2 L F' D' B' L
F' L F2 D' B' L2
F' L F2 B' D' L2
F L B' L D' L2
F L B' L' D' L2
F L B' L2 D' L2
F L B' U' F2 U
F' L B' F2 D' L2
F L B' D' L2 D
F L B' D' L2 D'
F L B' D' L2 D2
F L B2 D' L2 B
F L B2 D' B L2
F L' D' L2 D B'
F L' D' L2 D' B'
F L' D' L2 D2 B'
F L' D' L2 B' D
F L' D' L2 B' D'
F L' D' L2 B' D2
F L' D' B L2 B'
F L' D' B' L2 B'
F L' D' B2 L2 B'
F L' B D' L2 B'
F L' B' D' L2 B'
F L' B2 D' L2 B'
F L2 D' L' B' L'
F U' L F2 U B'
F U' F2 L U B'
D F L D' L2 B2
D F L D' B2 L2
D F U' L' F2 U
U' F' L U F2 B'
U' F' L U B' F2
F D' L D L B'
B' F L D' B' L2
B2 F L D' B' L2
B' F L B' D' L2
B2 F L B' D' L2
B' F L' D' L2 B'
B2 F L' D' L2 B'
B F L D' B' L2
F B L D' B' L2
B F L B' D' L2
F B L B' D' L2
B F L' D' L2 B'
F B L' D' L2 B'
L B' L' F D' L2
F B' L D' B' L2
F B' L B' D' L2
F B' L' D' L2 B'
F B2 L D' B' L2
F B2 L B' D' L2
F B2 L' D' L2 B'
F' L R U R' F2 B'
F' L R U R' B' F2
F' L R U F2 R' B'
F L R D' R' B' L2
F' L R' U R F2 B'
F' L R' U R B' F2
F' L R' U B' R F2
F L R' D' R B' L2
F L R' D' B' L2 R
F L R' D' B' R L2
F' L R2 U R2 F2 B'
F' L R2 U R2 B' F2
F' L R2 U F2 R2 B'
F' L R2 U F2 B' R2
F' L R2 U B' R2 F2
F L R' B' R D' L2
F' L R2 U B' F2 R2
F L R' B' D' L2 R
F L R' B' D' R L2
F L R2 B' R2 D' L2
F' L U F2 D R2 B'
F' L U F2 D B' R2
F L U D2 B2 U' B
F' L U F2 B' D R2
F' L U B' F2 D R2
F L U' F2 U D B'
F L U' F2 U D' B'
F L U' F2 U D2 B'
F L U' F2 U B' D
F L U' F2 U B' D'
F L U' F2 U B' D2
F L U' F2 D U B'
F L U' F2 D' U B'
F L U' F2 D2 U B'
F L U2 D R2 U2 B'
F' L D R2 U R2 B'
F' L D R2 U B' R2
F L D L2 D2 L2 B'
U' L D F' R U B'
F2 L D F B' L' F2
F L D U2 R2 U2 B'
F2 L D B' F L' F2
F L D B' L D2 L2
F L D B' L' D2 L2
F L D B' L2 D2 L2
F L D B' U2 R2 U2
F L D B' D2 L2 D
F L D B' D2 L2 D'
F L D B' D2 L2 D2
F L D B2 D2 L2 B
F L D B2 D2 B L2
F L D' L2 U2 F U2
F L D' R' B' L2 R
F L D' R' B' R L2
F L D' R2 B' L2 R2
F L D' R2 B' R2 L2
F2 L D' F B' L F2
F2 L D' F' B' L D
F2 L D' F' B' L D'
F2 L D' F' B' L D2
F2 L D' F' B' D L
F2 L D' F' B' D' L
F2 L D' F' B' D2 L
F L D' F B' L2 F'
F2 L D' B' L D F'
F2 L D' B' L D' F'
F2 L D' B' L D2 F'
F2 L D' B' L F' D
F2 L D' B' L F' D'
F2 L D' B' L F' D2
F2 L D' B' L' F' L2
F L D' F2 B' L2 F2
F2 L D' B' D L F'
F L D' B L' B2 L'
F2 L D' B' D F' L
F2 L D' B' D' L F'
F2 L D' B' D' F' L
F L D' B L2 B2 D
F L D' B L2 B2 D'
F L D' B L2 B2 D2
F2 L D' B' D2 L F'
F2 L D' B' D2 F' L
F2 L D' B' F L F2
F2 L D' B' F' L D
F2 L D' B' F' L D'
F2 L D' B' F' L D2
F2 L D' B' F' D L
F2 L D' B' F' D' L
F2 L D' B' F' D2 L
F L D' B' L D L
F L D' B' L D' L
F L D' B' L D2 L
F L D' B' L' D L'
F L D' B' L' D' L'
F L D' B' L' D2 L'
F L D' B' F L2 F'
F L D' B' F2 L2 F2
F L D' B2 L' B L'
F L D' B2 L2 D B
F L D' B2 L2 D' B
F L D' B2 L2 D2 B
F L D' B2 L2 B D
F L D' B2 L2 B D'
F L D' B2 L2 B D2
F L D2 L2 D L2 B'
F L D2 U B2 U' B
F2 L D2 F' D B' L
F L D2 B' U B' U'
F2 L F' D' B' L D
F2 L F' D' B' L D'
F2 L F' D' B' L D2
F2 L F' D' B' D L
F2 L F' D' B' D' L
F2 L F' D' B' D2 L
F' L F2 L2 D' L2 B'
F' L F2 U' F2 U B'
