U F' U2 F U
U2 L' U' F' U' L
U2 L2 U' F' U' L2
U L2 F' L2 B' U'
L' U F' U2 F U
L2 U F' U2 F U
L U F' U2 F U
R2 U' D' F2 B U
R2 U' D' B F2 U
R2 U' D2 B U L2
R2 U' B U D2 L2
R2 U' B U' R2 U2
R2 U' B D' F2 U
R2 U' B D2 U L2
R' U2 R U' F' U'
R2 U2 R2 U' F' U'
D2 U F' U2 F U
D' U F' U2 F U
U D F' U2 F U
D U F' U2 F U
R2 D' U' F2 B U
R2 D' U' B F2 U
U D' F' U2 F U
R2 D2 L2 U' B U
R2 D2 U' B U L2
U D2 F' U2 F U
U F' L2 B' L2 U'
F D F' R2 D2 L2
U F' U2 D F U
U F' U2 D' F U
U F' U2 D2 F U
U F' U2 F U D
U F' U2 F U D'
U F' U2 F U D2
U F' U2 F D U
U F' U2 F D' U
U F' U2 F D2 U
U F' D U2 F U
U F' D' U2 F U
U F' D2 U2 F U
U F' D2 U2 F U
U F' B U2 F U
U F' B' U2 F U
U F' B2 U2 F U
U F2 D' F U' L2
U F2 D2 F B2 U'
U F2 D2 B2 F U'
U' B U2 F' B' U'
U' B U2 B' F' U'
U B F' U2 F U
U' B' U2 F' B U'
U' B' U2 B F' U'
U B' F' U2 F U
U' B2 U2 F' B2 U'
U' B2 U2 B2 F' U'
U B2 F' U2 F U
R2 L U' D' F2 B U
R2 L U' D' B F2 U
R2 L U' D2 B U L2
U2 L R2 U B U L'
R2 L U' B U D2 L2
R2 L U' B U' R2 U2
R2 L U' B D' F2 U
R2 L U' B D2 U L2
R' L U2 R U' F' U'
R2 L U2 R2 U' F' U'
D' L U F' U2 F U
D2 L U F' U2 F U
D L U F' U2 F U
R2 L D' U' F2 B U
R2 L D' U' B F2 U
U2 L U2 L' U F' U'
R2 L D2 L2 U' B U
R2 L D2 U' B U L2
F L D F' R2 D2 L2
R2 L' U' D' F2 B U
R2 L' U' D' B F2 U
R2 L' U' D2 B U L2
R2 L' U' B U D2 L2
R2 L' U' B U' R2 U2
R2 L' U' B D' F2 U
R2 L' U' B D2 U L2
R' L' U2 R U' F' U'
L' R' U2 R U' F' U'
L R' U2 R U' F' U'
L2 R' U2 R U' F' U'
R2 L' U2 R2 U' F' U'
R2 L' D' U' F2 B U
R2 L' D' U' B F2 U
R2 L' D2 L2 U' B U
D2 L' U F' U2 F U
R2 L' D2 U' B U L2
D' L' U F' U2 F U
D L' U F' U2 F U
U2 L' U' D F' U' L
U2 L' U' D F' U' L
U2 L' U' D' F' U' L
U2 L' U' D2 F' U' L
U2 L' U' F' U' L D
U2 L' U' F' U' L D'
U2 L' U' F' U' L D2
U2 L' U' F' U' D L
U2 L' U' F' U' D' L
U2 L' U' F' U' D2 L
U2 L' U' F' D U' L
U2 L' U' F' D' U' L
U2 L' U' F' D2 U' L
U2 L' U2 L U F' U'
U2 L' D U' F' U' L
F L' D F' R2 D2 L2
U2 L' D' U' F' U' L
U2 L' D2 U' F' U' L
U L' F' L2 B' L' U'
L' R2 U' D' F2 B U
L' R2 U' D' B F2 U
L' R2 U' D2 B U L2
L' R2 U' B U D2 L2
L2 R2 U' D' F2 B U
L' R2 U' B U' R2 U2
L2 R2 U' D' B F2 U
L' R2 U' B D' F2 U
R2 L2 U' D' F2 B U
L' R2 U' B D2 U L2
R2 L2 U' D' B F2 U
L R2 U' D' F2 B U
L R2 U' D' B F2 U
L2 R2 U' D2 B U L2
R2 L2 U' D2 B U L2
L R2 U' D2 B U L2
L2 R2 U' B U D2 L2
L2 R2 U' B U' R2 U2
R2 L2 U' B U D2 L2
L2 R2 U' B D' F2 U
R2 L2 U' B U' R2 U2
L2 R2 U' B D2 U L2
R2 L2 U' B D' F2 U
R2 L2 U' B D2 U L2
R' L2 U2 R U' F' U'
L R2 U' B U D2 L2
L R2 U' B U' R2 U2
L R2 U' B D' F2 U
L R2 U' B D2 U L2
L' R2 U2 R2 U' F' U'
L2 R2 U2 R2 U' F' U'
R2 L2 U2 R2 U' F' U'
L R2 U2 R2 U' F' U'
L' R2 D' U' F2 B U
L' R2 D' U' B F2 U
L2 R2 D' U' F2 B U
L2 R2 D' U' B F2 U
R2 L2 D' U' F2 B U
R2 L2 D' U' B F2 U
L R2 D' U' F2 B U
L R2 D' U' B F2 U
L' R2 D2 L2 U' B U
L2 R2 D2 L2 U' B U
L' R2 D2 U' B U L2
R2 L2 D2 L2 U' B U
L R2 D2 L2 U' B U
L2 R2 D2 U' B U L2
R2 L2 D2 U' B U L2
L R2 D2 U' B U L2
U2 L2 R2 U B U L2
D2 L2 U F' U2 F U
D' L2 U F' U2 F U
D L2 U F' U2 F U
U2 L2 U' D' F' B2 U'
U2 L2 U' D' B2 F' U'
U2 L2 U' F' U' L2 D
U2 L2 U' F' U' L2 D'
U2 L2 U' F' U' L2 D2
U2 L2 U' F' D' B2 U'
U2 L2 U' F' B U' L2
U2 L2 U' F' B' U' L2
U2 L2 U' F' B2 U' L2
U2 L2 U' B F' U' L2
U2 L2 U' B' F' U' L2
U2 L2 U' B2 F' U' L2
U2 L2 U2 L2 U F' U'
F L2 D F' R2 D2 L2
U2 L2 D' U' F' B2 U'
U2 L2 D' U' B2 F' U'
U2 L2 D2 R2 U B U
B L2 F U' F2 U' F
B L2 F U2 D F' R2
L' U L2 F' L2 B' U'
B L2 F D U2 F' R2
B L2 F D' L2 U2 F'
L2 U L2 F' L2 B' U'
L U L2 F' L2 B' U'
U L2 F' L2 D B' U'
U L2 F' L2 D' B' U'
U L2 F' L2 D2 B' U'
U L2 F' L2 B' U' D
U L2 F' L2 B' U' D'
U L2 F' L2 B' U' D2
U L2 F' L2 B' D U'
U L2 F' L2 B' D' U'
U L2 F' L2 B' D2 U'
U L2 F' B L2 B' U'
U L2 F' B' L2 B' U'
U L2 F' B2 L2 B' U'
U L2 B F' L2 B' U'
L' U D F' U2 F U
L2 U D F' U2 F U
L U D F' U2 F U
U L2 B' F' L2 B' U'
R2 U D B2 U2 B' U
L' U D' F' U2 F U
L2 U D' F' U2 F U
L U D' F' U2 F U
L' U D2 F' U2 F U
U L2 B2 F' L2 B' U'
L2 U D2 F' U2 F U
L U D2 F' U2 F U
L' U F' L2 B' L2 U'
R U F U R' U2 R2
R U F U' R D2 L2
L2 U F' L2 B' L2 U'
L' U F' U2 D F U
L' U F' U2 D' F U
L' U F' U2 D2 F U
L' U F' U2 F U D
L' U F' U2 F U D'
L' U F' U2 F U D2
L' U F' U2 F D U
L' U F' U2 F D' U
L' U F' U2 F D2 U
L' U F' D U2 F U
L' U F' D' U2 F U
R U F B2 U' L R
R U F B2 U' R L
L' U F' D2 U2 F U
L' U F' B U2 F U
L U F' L2 B' L2 U'
L' U F' B' U2 F U
L2 U F' U2 D F U
L2 U F' U2 D' F U
L2 U F' U2 D2 F U
L2 U F' U2 F U D
L2 U F' U2 F U D'
L2 U F' U2 F U D2
L2 U F' U2 F D U
L2 U F' U2 F D' U
L2 U F' U2 F D2 U
L' U F' B2 U2 F U
L2 U F' D U2 F U
L2 U F' D' U2 F U
L2 U F' D2 U2 F U
R U F' U L' R' U2
L2 U F' B U2 F U
R U F' U R' L' U2
L U F' U2 D F U
L U F' U2 D' F U
L U F' U2 D2 F U
L U F' U2 F U D
L U F' U2 F U D'
L U F' U2 F U D2
L U F' U2 F D U
L U F' U2 F D' U
L U F' U2 F D2 U
L2 U F' B' U2 F U
L U F' D U2 F U
L2 U F' B2 U2 F U
L U F' D' U2 F U
L U F' D2 U2 F U
L U F' B U2 F U
L U F' B' U2 F U
L U F' B2 U2 F U
L' U F2 D' F U' L2
L' U F2 D2 F B2 U'
L' U F2 D2 B2 F U'
L2 U F2 D' F U' L2
L2 U F2 D2 F B2 U'
L2 U F2 D2 B2 F U'
L U F2 D' F U' L2
L U F2 D2 F B2 U'
L U F2 D2 B2 F U'
R2 U B U R2 U2 R2
L' U B F' U2 F U
L2 U B F' U2 F U
L U B F' U2 F U
L' U B' F' U2 F U
L2 U B' F' U2 F U
R2 U B' D2 F2 U' L2
L U B' F' U2 F U
L' U B2 F' U2 F U
L2 U B2 F' U2 F U
L U B2 F' U2 F U
R U B2 F U' L R
R U B2 F U' R L
F' R B2 U' F L B2
R2 U' D B U2 B U'
R2 U' D' F2 D B U
R2 U' D' F2 D' B U
R2 U' D' F2 D2 B U
R2 U' D' F2 B U D
R2 U' D' F2 B U D'
R2 U' D' F2 B U D2
R2 U' D' F2 B D U
R2 U' D' F2 B D' U
R2 U' D' F2 B D2 U
R2 U' D' B U D' L2
R2 U' D' B D' U L2
R2 U' D' B F2 U D
R2 U' D' B F2 U D'
R2 U' D' B F2 U D2
R2 U' D' B F2 D U
R2 U' D' B F2 D' U
R2 U' D' B F2 D2 U
R2 U' D2 F B U L2
R2 U' D2 F' B U L2
R2 U' D2 F2 B U L2
R2 U' D2 B U L2 D
R2 U' D2 B U L2 D'
R2 U' D2 B U L2 D2
R2 U' D2 B D F2 U
R2 U' D2 B F U L2
R2 U' D2 B F' U L2
R2 U' D2 B F2 U L2
R2 U' F D' F2 B U
R2 U' F D' B F2 U
R2 U' F D2 B U L2
R2 U' F B U D2 L2
R2 U' F B U' R2 U2
R2 U' F B D' F2 U
R2 U' F B D2 U L2
R2 U' F' D' F2 B U
R2 U' F' D' B F2 U
R2 U' F' D2 B U L2
R2 U' F' B U D2 L2
R2 U' F' B U' R2 U2
R2 U' F' B D' F2 U
R2 U' F' B D2 U L2
F2 R' U F U' F L'
R2 U' F2 D' F2 B U
R2 U' F2 D' B F2 U
R2 U' F2 D2 B U L2
R2 U' F2 B U D2 L2
R2 U' F2 B U' R2 U2
R2 U' F2 B D' F2 U
R2 U' F2 B D2 U L2
L' U' B U2 F' B' U'
L' U' B U2 B' F' U'
D2 R' U2 R U' F' U'
D' R' U2 R U' F' U'
L2 U' B U2 F' B' U'
L2 U' B U2 B' F' U'
R2 U' B U L D2 L2
R2 U' B U L' D2 L2
R2 U' B U L2 D2 L2
R2 U' B U D2 L2 D
R2 U' B U D2 L2 D'
R2 U' B U D2 L2 D2
R2 U' B U' R2 U2 D
R2 U' B U' R2 U2 D'
R2 U' B U' R2 U2 D2
R2 U' B U' R2 D U2
R2 U' B U' R2 D' U2
R2 U' B U' R2 D2 U2
R2 U' B U2 D B2 U'
R2 U' B D U2 B2 U'
R2 U' B D' F2 U D
R2 U' B D' F2 U D'
R2 U' B D' F2 U D2
D R' U2 R U' F' U'
R2 U' B D' F2 D U
R2 U' B D' F2 D' U
R2 U' B D' F2 D2 U
R2 U' B D2 U L2 D
R2 U' B D2 U L2 D'
R2 U' B D2 U L2 D2
R2 U' B D2 F U L2
R2 U' B D2 F' U L2
R2 U' B D2 F2 U L2
L U' B U2 F' B' U'
R2 U' B F U D2 L2
R2 U' B F U' R2 U2
L U' B U2 B' F' U'
R2 U' B F D' F2 U
R2 U' B F D2 U L2
R2 U' B F' U D2 L2
R2 U' B F' U' R2 U2
R2 U' B F' D' F2 U
R2 U' B F' D2 U L2
R2 U' B F2 U D2 L2
R2 U' B F2 U' R2 U2
R2 U' B F2 D' F2 U
R2 U' B F2 D2 U L2
L' U' B' U2 F' B U'
L' U' B' U2 B F' U'
L2 U' B' U2 F' B U'
L2 U' B' U2 B F' U'
R2 U' B' D' F2 U R2
L U' B' U2 F' B U'
L U' B' U2 B F' U'
L' U' B2 U2 F' B2 U'
L' U' B2 U2 B2 F' U'
R' U2 L R U' F' U'
L2 U' B2 U2 F' B2 U'
L2 U' B2 U2 B2 F' U'
R2 U' B2 D' F2 B' U
R2 U' B2 D' B' F2 U
R2 U' B2 D2 B' U L2
