U F' U R F2 U
F L D2 R2 B U B
L2 R' D2 B' L U' B'
R' L2 D2 B' L U' B'
L2 R2 D2 B' L U' B2
R2 L2 D2 B' L U' B2
D2 L2 R2 B' L U' B2
F' L2 U R F2 B' U
F' L2 U R B' F2 U
F' L2 U B' R F2 U
D2 L2 B' L R2 U' B
D2 L2 B' L U F' U2
D2 L2 B' R2 L U' B
L U D F' R U2 F'
U2 R F U2 L' U' B'
U2 R F' R F2 U B
F' R' U F2 R2 B U
U2 R' D' F L' U F
R' U2 D' F L' U F
R2 U2 F U2 L' U' B
D2 R2 L2 B' L U' B2
U2 R2 F U2 L' U' B
L D U F' R U2 F'
F' U R F2 U2 F' U'
F' U R' F2 R2 B U
B' U F' U R F2 U
B2 U F' U R F2 U
B U F' U R F2 U
F' U F2 U2 L' F' U'
R' D' U2 F L' U F
R2 D2 L2 B' L U' B2
L2 D2 R2 B' L U' B2
F U2 L' D F' R2 U'
F U2 L' D2 F' U' B2
F U2 L' F' R2 U' B
F U2 L' F' U F' U2
L2 D2 B' L R2 U' B
L2 D2 B' L U F' U2
L2 D2 B' R2 L U' B
F U2 D L' F' R2 U'
U2 F L D2 R2 U B2
U2 F L' U' F2 U2 F2
F U2 D2 L' F' U' B2
U2 F U' F2 U R U
U2 F U2 L' U F2 U2
U2 F U2 L' U' D2 B2
U2 F U2 L' D R2 U'
U2 F U2 L' D2 U' B2
U2 F U2 D L' R2 U'
U2 F U2 D R2 L' U'
R2 F U2 L' F' U' B
U2 F U2 D2 L' U' B2
R F U2 L' F' U' B'
U2 F D U2 L' R2 U'
U2 F D U2 R2 L' U'
U2 F D' L2 U2 L U'
U2 F D2 U2 L' U' B2
F D U2 L' F' R2 U'
U2 F' R F2 U D2 B2
U2 F' R F2 U' F2 U2
U2 F' R F2 D' L2 U
U2 F' R F2 D2 U B2
U F' R U F2 U F2
U F' R' U R2 F2 U
U F' R' U F2 R2 U
U F' R' U2 D' L2 F2
U F' R' U2 D' F2 L2
U F' R' D R2 B2 U2
U F' R' D B2 R2 U2
U F' R' D' U2 L2 F2
U F' R' D' U2 F2 L2
U2 F' U R F2 U R'
U F' R2 U R' F2 U
U F' R2 U F2 R' U
U F' U R U D' L2
U F' U R D' U L2
U F' U R F2 U D
U F' U R F2 U D'
U F' U R F2 U D2
U F' U R F2 D U
U F' U R F2 D' U
U F' U R F2 D2 U
U F' U R' F2 R2 U
U F' U R2 F2 R' U
U F' U D' R U L2
U F' U F2 U2 L' U'
U F' D R2 U R' U
F D' L2 U2 L F' U'
F D' L2 U2 F' L U'
U F' D' U R U L2
U F' B U R F2 U
U F' B' U R F2 U
U F' B2 U R F2 U
F D2 U2 L' F' U' B2
U B F' U R F2 U
L2 B' U F' U R U
U B' F' U R F2 U
U B2 F' U R F2 U
