U R' F' B L B
U R' B L F' B
U R' B L B F'
U R' B F' L B
L F U R' F' B2
L F U R' B2 F'
U' L R F R2 B2 L
U' L R' F' L' F2 B2
U' L R' F' L' B2 F2
U' L R' F' B2 L' F2
U L R' F' B L B
U' L R' B2 F' L' F2
U L R' B L F' B
U L R' B L B F'
U L R' B F' L B
B L U2 F U B R
D L F L U R' F'
U' L F R' B2 D2 L2
F' L F U R' F' B2
F' L F U R' B2 F'
U' L F R2 B2 L R
U' L F R2 B2 R L
F2 L F U R' F' B2
F2 L F U R' B2 F'
F L F U R' F' B2
F L F U R' B2 F'
U' L F' L' R' F2 B2
U' L F' L' R' B2 F2
U' L F' L' F2 R' B2
U' L F' R' L' F2 B2
U' L F' R' L' B2 F2
U' L F' R' B2 L' F2
U' L' R B2 R2 F' L'
U L' R' F' B L B
U L' R' B L F' B
U L' R' B L B F'
U L' R' B F' L B
L2 R' B2 D L' F L'
L2 R' B2 D F L' F
B L' B D L2 F2 R
B L' B' L2 U' R' B2
U' L2 R' F' L' F B2
U' L2 R' F' L' B2 F
U' L2 R' F' B2 L' F
U' L2 R' B2 F' L' F
U L2 R' F' B L B
U L2 R' B L F' B
U L2 R' B L B F'
U L2 R' B F' L B
B2 L2 D F L' F R
R' L2 B2 D L' F L'
R' L2 B2 D F L' F
U' L2 F' L' R' F B2
U' L2 F' L' R' B2 F
U' L2 F' L' F R' B2
U' L2 F' R' L' F B2
U' L2 F' R' L' B2 F
U' L2 F' R' B2 L' F
L U R' F' B2 D' L2
L U R' B2 F' D' L2
U' R L F R2 B2 L
U' R L' B2 R2 F' L'
U R U2 R2 F' L' B2
U R U2 R2 F' B2 L'
U R U2 R2 B2 F' L'
R U' L F R2 B2 L
U' R F R2 B2 L F
U' R F' L' B2 R2 F'
R U' L' B2 R2 F' L'
U R B U2 L B R2
U' R' L F' L' F2 B2
U' R' L F' L' B2 F2
U' R' L F' B2 L' F2
U' R' L B2 F' L' F2
U R' L F' B L B
U R' L B L F' B
U R' L B L B F'
U R' L B F' L B
U' R' L2 F' L' F B2
U' R' L2 F' L' B2 F
U' R' L2 F' B2 L' F
R U' F R2 B2 L F
U R' L' F' B L B
U R' L' B L F' B
U R' L' B L B F'
U R' L' B F' L B
U' R' L2 B2 F' L' F
R U' F' L' B2 R2 F'
U R' L2 F' B L B
U R' L2 B L F' B
U R' L2 B L B F'
U R' L2 B F' L B
B' R' U B L R' B2
B' R' U B R' L B2
U R' U2 F' L' B2 R'
U' R' F' L F L2 B2
U' R' F' L F B2 L2
U' R' F' L B2 F L2
U R' F B L F2 B
U R' F B L B F2
U' R' F' B2 L F L2
U R' F' L B L B
U' R' F2 L F L' B2
U' R' F2 L F B2 L'
U' R' F2 L B2 F L'
U R' F' L' B L B
U R' F' L2 B L B
U R' F' B L D B
U R' F' B L D' B
U R' F' B L D2 B
U R' F' B L B D
U R' F' B L B D'
U R' F' B L B D2
U R' F' B L' B L2
U R' F' B L2 B L'
U R' F' B D L B
U R' F' B D' L B
U R' F' B D2 L B
U' R' F2 B2 L F L'
U R' F2 B2 D2 F L'
U R' B L D F' B
U R' B L D B F'
U R' B L D' F' B
U R' B L D' B F'
U R' B L D2 F' B
U R' B L D2 B F'
U R' B L F' D B
U R' B L F' D' B
U R' B L F' D2 B
U R' B L F' B D
U R' B L F' B D'
U R' B L F' B D2
U R' B L B D F'
U R' B L B D' F'
U R' B L B D2 F'
U R' B L B F' D
U R' B L B F' D'
U R' B L B F' D2
U R' B L' F' L2 B
U R' B L' F' B L2
U R' B L' B L2 F'
U R' B L' B F' L2
U R' B L2 B L' F'
U R' B D L F' B
U R' B D L B F'
U R' B D F' L B
U R' B D' L F' B
U R' B D' L B F'
U R' B D' F' L B
U R' B D2 L F' B
U R' B D2 L B F'
U R' B D2 F' L B
U R' B F L F2 B
U R' B F L B F2
U R' B F' L D B
U R' B F' L D' B
U R' B F' L D2 B
U R' B F' L B D
U R' B F' L B D'
U R' B F' L B D2
U R' B F' L' B L2
U R' B F' L2 B L'
U R' B F' D L B
U R' B F' D' L B
U R' B F' D2 L B
U' R' B2 L F' L' F2
U' R' B2 L2 F' L' F
U' R' B2 F' L F L2
U' R' B2 F2 L F L'
U R' B2 D2 F L' F2
U R' B2 F2 D2 F L'
L U2 F R U R2 B2
L U2 F R U B2 R2
U R2 U2 R F' L' B2
U R2 U2 R F' B2 L'
U R2 U2 R B2 F' L'
U R2 U2 B2 R F' L'
L' D L2 F U R' F'
U R2 B L B R F'
L D F L2 U R' F'
F' U R' F' B L B
