B' L F' D R2 B U'
R2 L' F2 B R' U B2
R2 L' B R' F2 U B2
R2 L' B F2 R' U B2
L' R2 F2 B R' U B2
L' R2 B R' F2 U B2
L' R2 B F2 R' U B2
F L2 F2 B' L U' B'
F L2 B' L F2 U' B'
F2 L2 B' U2 L U' B'
F L2 B' F2 L U' B'
R2 U F2 B L R' U
R2 U F2 B R' L U
R2 U B L R' F2 U
R2 U B L F2 R' U
R2 U B R' L F2 U
R2 U B R' F2 L U
R2 U B F2 L R' U
R2 U B F2 R' L U
U2 R2 F2 B R' U B
U2 R2 B R' F2 U B
U R2 F2 B L R' U
U R2 F2 B R' L U
U R2 B L R' F2 U
U R2 B L F2 R' U
U2 R2 B F2 R' U B
U R2 B R' L F2 U
U R2 B R' F2 L U
U R2 B F2 L R' U
U R2 B F2 R' L U
F' U2 D2 F' R U B
D2 F L' F2 B2 U' B
D2 F L' B2 F2 U' B
F2 D L' U F B' R'
F2 D L' U B' R' F
F2 D L' U B' F R'
D2 F B2 L' F2 U' B'
D2 F' B2 U2 R U B
R2 F2 L' B R' U B2
R2 F2 B L' R' U B'
R2 F2 B R' L' U B'
F' D2 U2 F' R U B
R2 B L' R' F2 U B'
R2 B L' F2 R' U B'
R2 B R' L' F2 U B'
R2 B R' F2 L' U B'
F2 B L' R' U B' R'
F2 B R' L' U B' R'
R2 B F2 L' R' U B'
R2 B F2 R' L' U B'
B2 F2 L' U B' R' F'
F2 B2 L' U B' R' F'
B F2 L' R' U B' R'
B F2 R' L' U B' R'
D2 B2 F L' F2 U' B'
D2 B2 F' U2 R U B
