B' L F' R B U L2
D' L' R' F D B R2
D' L' R' F B D R2
D' L' R' B F D R2
F L' B R' F' U' L'
D' R' L' F D B R2
D' R' L' F B D R2
D' R' L' B F D R2
D' R' B L' F D R2
D' U L' R' F B R
D' U L' R' B F R
D' U L' R2 F R B
D' U L' F R' B R2
D' U R' L' F B R
D' U R' L' B F R
D' U R' B L' F R
D' U R2 L' F R B
B2 U D' L' F R B
U' D' L' F B' R' B
D' U' L' F B' R' B
U' D' L' B' R' F B
U' D' L' B' R' B F
D' U' L' B' R' F B
D' U' L' B' R' B F
U' D' L' B' F R' B
D' U' L' B' F R' B
U D' L' R' F B R
U D' L' R' B F R
U D' L' R2 F R B
U D' L' F R' B R2
U D' R' L' F B R
U D' R' L' B F R
U D' R' B L' F R
U D' R2 L' F R B
B2 U' D' L' F B' R'
B2 U' D' L' B' R' F
B2 U' D' L' B' F R'
U' D' B' L' R' F B
U' D' B' L' R' B F
D' U' B' L' R' F B
D' U' B' L' R' B F
U' D' B' L' F R' B
D' U' B' L' F R' B
U' D' B' R' L' F B
U' D' B' R' L' B F
D' U' B' R' L' F B
D' U' B' R' L' B F
U' D' B' R' B L' F
D' U' B' R' B L' F
B' D' L U L2 F R
B2 D' U L' F R B
B2 D' U' L' F B' R'
B2 D' U' L' B' R' F
B2 D' U' L' B' F R'
B F L' R' F' U' L'
F B L' R' F' U' L'
B F R' L' F' U' L'
F B R' L' F' U' L'
