F2 L U' D L B'
F2 L D U' L B'
D' L B2 U' R' B
L U' D L R2 B'
L U' D L B' R2
L U' D R2 L B'
L' D L' F2 R2 B
L D U' L R2 B'
L D U' L B' R2
L D U' R2 L B'
L F2 U' D L B'
L F2 D U' L B'
F2 L R U' D L B'
F2 L R D U' L B'
F2 L R' U' D L B'
F2 L R' D U' L B'
R' L U' D L R2 B'
R' L U' D L B' R2
R' L U' D R2 L B'
R2 L U' D L R2 B'
R2 L U' D L B' R2
R2 L U' D R2 L B'
L R U' D L R2 B'
L R U' D L B' R2
L R U' D R2 L B'
D' L R' B2 U' R' B'
R L U' D L R2 B'
R L U' D L B' R2
R L U' D R2 L B'
F2 L R2 U' D L B'
F2 L R2 D U' L B'
L' R D L' F2 R2 B
R' L D U' L R2 B'
R' L D U' L B' R2
R' L D U' R2 L B'
R2 L D U' L R2 B'
R2 L D U' L B' R2
R2 L D U' R2 L B'
L R D U' L R2 B'
L R D U' L B' R2
L R D U' R2 L B'
R L D U' L R2 B'
R L D U' L B' R2
R L D U' R2 L B'
U' L U' D L R2 B'
U' L U' D L B' R2
U' L U' D R2 L B'
U2 L U' D L R2 B'
U2 L U' D L B' R2
U2 L U' D R2 L B'
F2 L U' D L D B'
F2 L U' D L D' B'
F2 L U' D L D2 B'
F2 L U' D L B' D
F2 L U' D L B' D'
F2 L U' D L B' D2
D L U' R2 D' B' L2
D L U' R2 B' D' L2
U L U' D L R2 B'
U L U' D L B' R2
U L U' D R2 L B'
D L U' B' R2 D' L2
D L U2 F2 U R2 B'
D L U2 F2 U B' R2
F2 L D R U' L B'
F2 L D R' U' L B'
F2 L D R2 U' L B'
U' L D U' L R2 B'
U' L D U' L B' R2
U2 L D U' L R2 B'
U2 L D U' L B' R2
U' L D U' R2 L B'
F2 L D U' L D B'
F2 L D U' L D' B'
F2 L D U' L D2 B'
F2 L D U' L B' D
F2 L D U' L B' D'
F2 L D U' L B' D2
U2 L D U' R2 L B'
F' L D F' U' L B'
U L D U' L R2 B'
U L D U' L B' R2
U L D U' R2 L B'
F2 L D' R' U' L B
D L D' F2 U' B' L2
F' L D2 F' R U' L
R' L F2 U' D L B'
R' L F2 D U' L B'
L R F2 U' D L B'
R2 L F2 U' D L B'
R L F2 U' D L B'
R2 L F2 D U' L B'
L R F2 D U' L B'
R L F2 D U' L B'
D' L F B2 U' R' B
F' L F' U' D L B'
F' L F' D U' L B'
D' L F' B2 U' R' B
D L F2 U B' R2 F'
U' L F2 U' D L B'
U2 L F2 U' D L B'
U' L F2 D U' L B'
U2 L F2 D U' L B'
U L F2 U' D L B'
D' L F2 B2 U' R' B
U L F2 D U' L B'
F2 L B R' B' U' L
F2 L B D' R' B U'
L R' U' D L R2 B'
L R' U' D L B' R2
L R' U' D R2 L B'
D' L B2 R U' R2 B
D' L B2 U' R' D B
D' L B2 U' R' D' B
D' L B2 U' R' D2 B
D' L B2 U' R' B D
D' L B2 U' R' B D'
D' L B2 U' R' B D2
F2 L B2 U R' F' U2
D' L B2 F U' R' B
D' L B2 F' U' R' B
D' L B2 F2 U' R' B
R' L' D L' F2 R2 B
L' R' D L' F2 R2 B
R2 L' D L' F2 R2 B
R L' D L' F2 R2 B
L R' D U' L R2 B'
L R' D U' L B' R2
L R' D U' R2 L B'
U' L' D L' F2 R2 B
U2 L' D L' F2 R2 B
U L' D L' F2 R2 B
L R' F2 U' D L B'
L R' F2 D U' L B'
L R2 U' D L R2 B'
L R2 U' D L B' R2
L R2 U' D R2 L B'
F2 L' B L2 R' U' L
F2 L' B R' L2 U' L
L' R2 D L' F2 R2 B
L R2 D U' L R2 B'
L R2 D U' L B' R2
L R2 D U' R2 L B'
L R2 F2 U' D L B'
L R2 F2 D U' L B'
F2 L2 B L' R' U' L
F2 L2 B R' L' U' L
L' U D L' F2 R2 B
L U D L B' R2 F'
F2 R L U' D L B'
F2 R L D U' L B'
L U' R D L R2 B'
L U' R D L B' R2
L U' R D R2 L B'
L U' R' D L R2 B'
L U' R' D L B' R2
L U' R' D R2 L B'
L' U' D L' F2 R2 B
L U' R2 D L R2 B'
L U' R2 D L B' R2
L U' R2 D R2 L B'
L U' D L R B' R
L U' D L R2 D B'
L U' D L R2 D' B'
L U' D L R2 D2 B'
L U' D L R2 B' D
L U' D L R2 B' D'
L U' D L R2 B' D2
L U' D L B R2 B2
L U' D L B' R2 D
L U' D L B' R2 D'
L U' D L B' R2 D2
L U' D R L B' R
L U' D R2 L D B'
L U' D R2 L D' B'
L U' D R2 L D2 B'
L U' D R2 L B' D
L U' D R2 L B' D'
L U' D R2 L B' D2
L U' D' L B2 R' B
F2 R' L U' D L B'
F2 R' L D U' L B'
D' R' L B2 U' R' B'
B R' F2 B' L U' L
L' U2 D L' F2 R2 B
B R' B' L F2 U' L
B R' B' F2 L U' L
F2 R2 L U' D L B'
F2 R2 L D U' L B'
L' D L R2 F2 B' L2
L' D L R2 B' L2 F2
L' D L R2 B' F2 L2
L' D L F2 R2 B' L2
L' D L F2 B' L2 R2
L' D L F2 B' R2 L2
L' D L B' L2 R2 F2
L' D L B' L2 F2 R2
L' D L B' R2 L2 F2
L' D L B' R2 F2 L2
L' D L B' F2 L2 R2
L' D L B' F2 R2 L2
L' D L' F2 R2 D B
L' D L' F2 R2 D' B
L' D L' F2 R2 D2 B
L' D L' F2 R2 B D
L' D L' F2 R2 B D'
L' D L' F2 R2 B D2
L' D L' F2 B R2 B
L' D L' F2 B' R2 B
L' D L' F2 B2 R2 B
L' D L' B F2 R2 B
L' D L' B' F2 R2 B
L' D L' B2 F2 R2 B
B2 R2 F2 L' U' L' B'
L D R U' L R B'
L D R U' L B' R
L D R U' R L B'
L' D R2 L F2 B' L2
L' D R2 L B' L2 F2
L' D R2 L B' F2 L2
L D R' U' L R' B'
L D R' U' R' L B'
L' D U L' F2 R2 B
L' D U' L' F2 R2 B
L D U L B' R2 F'
L' D U2 L' F2 R2 B
L D U' L R B' R
L D U' L R2 D B'
L D U' L R2 D' B'
L D U' L R2 D2 B'
L D U' L R2 B' D
L D U' L R2 B' D'
L D U' L R2 B' D2
L D U' L B R2 B2
L D U' L B' R2 D
L D U' L B' R2 D'
L D U' L B' R2 D2
L D U' R L B' R
D' U L B2 U' R' B
L D U' R2 L D B'
L D U' R2 L D' B'
L D U' R2 L D2 B'
L D U' R2 L B' D
L D U' R2 L B' D'
L D U' R2 L B' D2
L D F U' L R2 B'
L D F U' L B' R2
L D F U' R2 L B'
L' D F2 R2 B2 L B'
L D F' U' L R2 B'
L D F' U' L B' R2
L D F' U' R2 L B'
L' D B L' F2 R2 B
L D F2 U' L R2 B'
L D F2 U' L B' R2
L D F2 U' R2 L B'
L' D B' L' F2 R2 B
L' D B2 L' F2 R2 B
R' D' L B2 U' R' B
R2 D' L B2 U' R' B
R D' L B2 U' R' B
L' D' L2 B2 R' U2 B
D' U' L B2 U' R' B
U' D' L B2 U' R' B
U2 D' L B2 U' R' B
U D' L B2 U' R' B
L D' U' L B2 R' B
D' U2 L B2 U' R' B
D' F L B2 U' R' B
F2 D L U' D' B' L2
F2 D L U' B' D' L2
F2 D L U2 F2 U B'
F2 D L D' U' B' L2
F2 D L D2 B2 U' B
L F D F U' L B'
D' F' L B2 U' R' B
F2 D' L R' B2 U' B'
F2 D' L B2 R' U' B
L F' D F' U' L B'
F2 D' R' L B2 U' B'
L F' D2 F' R U' L
