D L' F R U R'
B' L U' L2 R' U F'
B' L U' R' L2 U F'
U L D2 R2 U' F L'
B' L F U' L2 R U
B' L F U' R L2 U
U' L' R U' B R' U2
D L' R F R U R2
D L' R2 F R U R
U L' U B' U2 L B
D L' D F R U R'
D L' D' F R U R'
R' L' B' U L R F
R' L' B' U R L F
L' R' B' U L R F
L' R' B' U R L F
R2 L' B' U L R2 F
R2 L' B' U L F R2
R2 L' B' U R2 L F
D L' D2 F R U R'
D2 L' F R U L' R'
D2 L' F R U R' L'
D' L' F R F' U R'
B' L' F R U L2 R'
B' L' F R U R' L2
D L' F R U R' D
D L' F R U R' D'
D L' F R U R' D2
D L' F R U D R'
D L' F R U D' R'
D L' F R U D2 R'
D L' F R D U R'
D L' F R D' U R'
D L' F R D2 U R'
D L' F D R U R'
D L' F D' R U R'
D L' F D2 R U R'
D L' F B R U R'
D L' F B' R U R'
D L' F B2 R U R'
D L' B F R U R'
D L' B' F R U R'
D L' B2 F R U R'
L' R2 B' U L R2 F
L' R2 B' U L F R2
L' R2 B' U R2 L F
U' R L' U' B R' U2
D R L' F R U R2
F R U L' R' B' L
F R U R' L' B' L
U' R' D L' F U F2
D R2 L' F R U R
U' R2 D2 L' U F L'
R2 D L' F R B2 U
R2 D L' F B2 R U
R2 D L' B2 F R U
R D L' F R U R2
U' D L' R' F U F2
U' D L' F R' U F'
U' D R' L' F U F2
R2 D B2 L' F R U
D U' L' R' F U F2
D U' L' F R' U F'
B' U' L' R' U L2 F'
B' U' L' R' U F' L2
L' D' F R F' U R'
D U' R' L' F U F2
B' U' R' L' U L2 F'
B' U' R' L' U F' L2
F U' R U B' L B2
F U' D' R F' U B
L' D2 F R U L' R'
L' D2 F R U R' L'
D2 F L' U' R U B
D2 F R U L' R' B'
D2 F R U R' L' B'
D' F R F' L' U R'
D' F U' R F' U B
D2 F U' R U L' B
D2 F U' R U B L'
L' F D' R F' U R'
L' F B' R U L R'
L' F B' R U R' L
F' D' L D F2 B' L
F' D' L D B' L F2
F' D' L D B' F2 L
F D' R F' L' U R'
F D' U' R F' U B
D B L' F R U R'
B' F L U' R U B
B' F U' R U L B
B2 F U' R U B L
D B' L' F R U R'
L' B' R U L R' F
L' B' R U L F R'
L' B' R U R' L F
L' B' R' U L R F
L' B' R' U R L F
L' B' R2 U L R2 F
L' B' R2 U L F R2
L' B' R2 U R2 L F
U2 B' U L' R' U L2
U2 B' U R' L' U L2
F B' L U' R U B
L' B' F R U L R'
L' B' F R U R' L
F B' U' R U L B
B' F' D' L D F2 B'
B' F' D' L D B' F2
B' F' D' L B' D F2
F' B' D' L D F2 B'
F' B' D' L D B' F2
F' B' D' L B' D F2
D B2 L' F R U R'
F B2 U' R U B L
