F2 R D' F L' B'
L' U' B U' F' B2
L' U' B U' B2 F'
L' U2 F' B' D L2
L' U2 B' D L2 F'
L' U2 B' D F' L2
L' U2 B' F' D L2
L' R U2 D B' L F
B L U L2 U2 F' B'
B L U L2 U2 B' F'
B L U F L2 U2 F2
L' R D U2 B' L F
B L U' F' D2 R2 B2
B L U' F' D2 B2 R2
R L' U2 D B' L F
F2 L' R D B' L F
R L' D U2 B' L F
D2 L' U' B U' F' B2
D2 L' U' B U' B2 F'
D' L' U' B U' F' B2
D' L' U' B U' B2 F'
D L' U' B U' F' B2
D L' U' B U' B2 F'
B' L' U' B2 U' F' B
B' L' U' B2 U' B F'
B' L' U2 D F' B' L2
B' L' U2 D B' L2 F'
B' L' U2 D B' F' L2
D2 L' U2 F' B' D L2
B2 L' U2 D' F' B' L
B2 L' U2 D' B' L F'
B2 L' U2 D' B' F' L
D' L' U2 F' B' D L2
B' L' U2 F' D B' L2
D2 L' U2 B' D L2 F'
D2 L' U2 B' D F' L2
D2 L' U2 B' F' D L2
B2 L' U2 F' D' B' L
D' L' U2 B' D L2 F'
D' L' U2 B' D F' L2
D' L' U2 B' F' D L2
D L' U2 F' B' D L2
D L' U2 B' D L2 F'
D L' U2 B' D F' L2
D L' U2 B' F' D L2
B' L' D U2 F' B' L2
B' L' D U2 B' L2 F'
B' L' D U2 B' F' L2
B' L' D' R2 B U2 B2
R2 L' B U F' U B2
B2 L' D' U2 F' B' L
B2 L' D' U2 B' L F'
B2 L' D' U2 B' F' L
B L2 U L U2 F' B'
B L2 U L U2 B' F'
L' R2 B U F' U B2
F2 R L' D B' L F
F2 R D L' B' L F
F2 R D F L' B' L
F2 R D' F L' D B'
F2 R D' F L' D' B'
F2 R D' F L' D2 B'
F2 R D' F L' B' D
F2 R D' F L' B' D'
F2 R D' F L' B' D2
F2 R D' F D L' B'
F2 R D' F D' L' B'
F2 R D' F D2 L' B'
F2 R D' F B L' B'
F2 R D' F B' L' B'
F2 R D' F B2 L' B'
F2 R D' B F L' B'
F2 R D' B' F L' B'
F2 R D' B2 F L' B'
F2 R F L' D B' L
F2 R F D L' B' L
F2 R B D' F L' B'
F2 R B' D' F L' B'
L' U' D B U' F' B2
L' U' D B U' B2 F'
L' U' D' B U' F' B2
L' U' D' B U' B2 F'
F2 R B2 D' F L' B'
L' U' D2 B U' F' B2
L' U' D2 B U' B2 F'
L' U' B L U' F' B2
L' U' B L U' B2 F'
L' U' B L' U' F' B2
L' U' B L' U' B2 F'
L' U' B L2 U' F' B2
L' U' B L2 U' B2 F'
L' U' B U' F' B2 D
L' U' B U' F' B2 D'
L' U' B U' F' B2 D2
L' U' B U' B2 D F'
L' U' B U' B2 D' F'
L' U' B U' B2 D2 F'
L' U' B U' B2 F' D
L' U' B U' B2 F' D'
L' U' B U' B2 F' D2
L' U2 D F' B' D L2
L' U2 D B' D L2 F'
L' U2 D B' D F' L2
L' U2 D B' F' D L2
L' U2 D' F' B' D L2
L' U2 D' B' D L2 F'
L' U2 D' B' D F' L2
L' U2 D' B' F' D L2
L' U2 D2 F' B' D L2
L' U2 D2 B' D L2 F'
L' U2 D2 B' D F' L2
L' U2 D2 B' F' D L2
L' U2 F' U B U' B2
L' U2 F' D B' D L2
L' U2 F' D' B' D L2
L' U2 F' D2 B' D L2
L' U2 F' B' L D L2
L' U2 F' B' L' D L2
L' U2 F' B' L2 D L2
L' U2 F' B' U B2 U'
L' U2 F' B' D L2 D
L' U2 F' B' D L2 D'
L' U2 F' B' D L2 D2
L' U2 F2 B' D F L2
F' R2 U' F' L' U R
L' U2 B' L D L2 F'
L' U2 B' L D F' L2
L' U2 B' L F' D L2
L' U2 B' L' D L2 F'
L' U2 B' L' D F' L2
L' U2 B' L' F' D L2
L' U2 B' L2 D L2 F'
L' U2 B' L2 D F' L2
L' U2 B' L2 F' D L2
L' U2 B' U B2 U' F'
L' U2 B' D L F' L
L' U2 B' D L2 D F'
L' U2 B' D L2 D' F'
L' U2 B' D L2 D2 F'
L' U2 B' D L2 F' D
L' U2 B' D L2 F' D'
L' U2 B' D L2 F' D2
L' U2 B' D F L2 F2
L' U2 B' D F' L2 D
L' U2 B' D F' L2 D'
L' U2 B' D F' L2 D2
L' U2 B' D' F' D2 L2
L' U2 B' F' L D L2
L' U2 B' F' L' D L2
L' U2 B' F' L2 D L2
L' U2 B' F' U B2 U'
L' U2 B' F' D L2 D
L' U2 B' F' D L2 D'
L' U2 B' F' D L2 D2
L' U2 B' F2 D F L2
R D L' U2 B' L F
L' D U' B U' F' B2
L' D U' B U' B2 F'
L' D U2 F' B' D L2
L' D U2 B' D L2 F'
L' D U2 B' D F' L2
L' D U2 B' F' D L2
L' D' U' B U' F' B2
L' D' U' B U' B2 F'
L' D' U2 F' B' D L2
L' D' U2 B' D L2 F'
L' D' U2 B' D F' L2
L' D' U2 B' F' D L2
F2 U' B U' R F B
F2 U' B U' R B F
L' D2 U' B U' F' B2
L' D2 U' B U' B2 F'
L' D2 U2 F' B' D L2
L' D2 U2 B' D L2 F'
L' D2 U2 B' D F' L2
L' D2 U2 B' F' D L2
F2 U2 R D' F L' B
F2 U2 R D' F B L'
F2 U2 R D' B F L'
F2 U2 R B D' F L'
L F L2 U' B U' F2
L' F U' B U' F2 B2
L' F U' B U' B2 F2
B' D L' U2 B' L' F'
L' F U2 F2 B' D L2
L' F U2 B' F2 D L2
F2 D R D' F L' B'
B' D' L' R2 B U2 B2
F2 D' R D' F L' B'
B' D' R2 L' B U2 B2
B' D' R2 B L' U2 B'
L' F' B' D L2 D2 R2
D2 F2 R D' F L' B'
D' F2 R D' F L' B'
U2 F2 R D' F L' B
U2 F2 R D' F B L'
U2 F2 R D' B F L'
U2 F2 R B D' F L'
D F2 R D' F L' B'
L' F2 U' B U' F B2
L' F2 U' B U' B2 F
L' F2 U2 F B' D L2
L' F2 U2 B' D F L2
L' F2 U2 B' F D L2
F2 D2 R D' F L' B'
L' B L' U' F' B2 R'
L' B L' U' B2 F' R'
R2 B L' U F' U B'
U' B U L' U2 F' B'
U' B U L' U2 B' F'
U' B U' F2 R F B
U' B U' F2 R B F
L B U L2 U2 F' B'
L B U L2 U2 B' F'
L B U F L2 U2 F2
L B U' F' D2 R2 B2
L B U' F' D2 B2 R2
L' B' U2 D F' L2 B'
L' B' U2 F' D L2 B'
L' B' D L2 D2 F' R2
L' B' D L2 F' D2 R2
L' B' D U2 F' L2 B'
L' B' D F' L2 D2 R2
L' B' D' R2 B U2 B'
L' B' F' D L2 D2 R2
L' B2 U' B' U' F' B2
L' B2 U' B' U' B2 F'
L' B2 U2 F' B D L2
L' B2 U2 B D L2 F'
L' B2 U2 B D F' L2
L' B2 U2 B F' D L2
