D' L' U' B' L' F'
D2 L' B2 U' F' B
D2 L' B2 U' B F'
L' U' D' F' B' L2
L' U' D' B' L2 F'
L' U' D' B' F' L2
L U' D' L2 F' B'
L U' D' L2 B' F'
L' U' B' D' L2 F'
L' U' B' D' F' L2
L' U2 F2 U F B'
L' U2 F2 U B' F
L' D' U' F' B' L2
L' D' U' B' L2 F'
L' D' U' B' F' L2
L D' U' L2 F' B'
L D' U' L2 B' F'
L' D2 B2 U' F' B
L' D2 B2 U' B F'
U' F' U' L' F' U
U2 F2 R U F B
U2 F2 R U B F
D2 B2 L' U' F' B'
D2 B2 L' U' B' F'
D L U R2 F B U2
D L U R2 B F U2
D' L U F U2 L F2
D' L U F U2 F2 L
D L U F R2 U2 F2
D' L U' L2 B' L' F'
D2 L U' D L2 F' B'
D2 L U' D L2 B' F'
B' L U' D' L2 F' B'
B' L U' D' L2 B' F'
B2 L U' D' L2 F' B'
B2 L U' D' L2 B' F'
B L U' D' L2 F' B'
B L U' D' L2 B' F'
D' L U' F' L D2 B2
D L U' D2 L2 F' B'
D L U' D2 L2 B' F'
D' L U' F' D2 L B2
D L U' F' D2 L2 B2
D L U' F' D2 B2 L2
D2 L D U' L2 F' B'
D2 L D U' L2 B' F'
B' L D' U' L2 F' B'
B' L D' U' L2 B' F'
B2 L D' U' L2 F' B'
B2 L D' U' L2 B' F'
B L D' U' L2 F' B'
B L D' U' L2 B' F'
D L D2 U' L2 F' B'
D L D2 U' L2 B' F'
U' L F' U' L' F' U
U2 L F2 R U F B
U2 L F2 R U B F
U L F2 U R F B
U L F2 U R B F
D2 L B2 L2 U' F' B'
D2 L B2 L2 U' B' F'
D2 L B2 U F U2 F2
D2 L B2 U' F' D2 B2
D L' U R2 B U2 B2
D2 L' U' D F' B' L2
D2 L' U' D B' L2 F'
D2 L' U' D B' F' L2
D' L' U' D B' L' F'
D' L' U' D' B' L' F'
D' L' U' D2 B' L' F'
B' L' U' D' F' B' L2
B' L' U' D' B' L2 F'
B' L' U' D' B' F' L2
D2 L' U' F' D B' L2
D' L' U' F' D2 B' L
B2 L' U' D' F' B' L2
B2 L' U' D' B' L2 F'
B2 L' U' D' B' F' L2
D L' U' D2 F' B' L2
D L' U' D2 B' L2 F'
D' L' U' B L' F' B2
D' L' U' B L' B2 F'
D L' U' D2 B' F' L2
B L' U' D' F' B' L2
B L' U' D' B' L2 F'
B L' U' D' B' F' L2
D' L' U' B' L F' L2
D' L' U' B' L' D F'
D' L' U' B' L' D' F'
D' L' U' B' L' D2 F'
D' L' U' B' L' F' D
D' L' U' B' L' F' D'
D' L' U' B' L' F' D2
D' L' U' B' L2 F' L
D' L' U' B' D L' F'
D' L' U' B' D' L' F'
D' L' U' B' D2 L' F'
D L' U' F' D2 B' L2
D L' U' F' B' D2 L2
D' L' U' B2 L' F' B
D' L' U' B2 L' B F'
B' L' U' B' D' L2 F'
B' L' U' B' D' F' L2
B2 L' U' B' D' L2 F'
B2 L' U' B' D' F' L2
D L' U' B' D2 L2 F'
D L' U' B' D2 F' L2
D L' U' B' F' D2 L2
B L' U' B' D' L2 F'
B L' U' B' D' F' L2
B' L' U2 F2 U F B'
B' L' U2 F2 U B' F
B2 L' U2 F2 U F B'
B2 L' U2 F2 U B' F
B L' U2 F2 U F B'
B L' U2 F2 U B' F
D2 L' D U' F' B' L2
D2 L' D U' B' L2 F'
D2 L' D U' B' F' L2
D' L' D U' B' L' F'
D L' D B2 U' F' B
D L' D B2 U' B F'
D' L' D' U' B' L' F'
B' L' D' U' F' B' L2
B' L' D' U' B' L2 F'
B' L' D' U' B' F' L2
B2 L' D' U' F' B' L2
B2 L' D' U' B' L2 F'
B2 L' D' U' B' F' L2
B L' D' U' F' B' L2
B L' D' U' B' L2 F'
B L' D' U' B' F' L2
D' L' D2 U' B' L' F'
D L' D2 U' F' B' L2
D L' D2 U' B' L2 F'
D L' D2 U' B' F' L2
B' L' D2 B2 U' F' B
B' L' D2 B2 U' B F'
B2 L' D2 B2 U' F' B
B2 L' D2 B2 U' B F'
B L' D2 B2 U' F' B
B L' D2 B2 U' B F'
F' L' F' U F B' R'
F' L' F' U B' R' F
F' L' F' U B' F R'
U' L' F' U' L' F' U
F L' F' U' F' B' L'
F L' F' U' B' F' L'
U2 L' F2 R U F B
U2 L' F2 R U B F
D' L' B U' L' F' B2
D' L' B U' L' B2 F'
D' L' B U' B2 L' F'
D2 L' B2 L U' F' B
D2 L' B2 L U' B F'
D2 L' B2 L' U' F' B
D2 L' B2 L' U' B F'
D2 L' B2 L2 U' F' B
D2 L' B2 L2 U' B F'
D' L' B2 U' L' F' B
D' L' B2 U' L' B F'
