F' R D' L2 R2 B
F' R D' R2 L2 B
F' R D' R2 B L2
F' R' D' L2 B R2
F' R' D' B L2 R2
F' R' D' B R2 L2
F R' B2 U F2 B'
F R' B2 U B' F2
D' F L' U R2 F2
D' F L' U F2 R2
B2 D' F L' U F2
B2 F R' U F2 B
B2 F R' U B F2
F B2 R' U F2 B
F B2 R' U B F2
F' L R D' L2 R2 B
F' L R D' R2 L2 B
F' L R D' R2 B L2
F' L R' D' L2 B R2
F' L R' D' B L2 R2
F' L R' D' B R2 L2
F L R' B2 U F2 B'
F L R' B2 U B' F2
F L B2 R' U F2 B
F L B2 R' U B F2
F' L' R D' L2 R2 B
F' L' R D' R2 L2 B
F' L' R D' R2 B L2
F' L' R' D' L2 B R2
F' L' R' D' B L2 R2
F' L' R' D' B R2 L2
F L' R' B2 U F2 B'
F L' R' B2 U B' F2
F L' B2 R' U F2 B
F L' B2 R' U B F2
F' L2 R D' L2 R2 B
F' L2 R D' R2 L2 B
F' L2 R D' R2 B L2
F' L2 R' D' L2 B R2
F' L2 R' D' B L2 R2
F' L2 R' D' B R2 L2
F L2 R' B2 U F2 B'
F L2 R' B2 U B' F2
F L2 B2 R' U F2 B
F L2 B2 R' U B F2
F' R L D' L2 R2 B
F' R L D' R2 L2 B
F' R L D' R2 B L2
F' R L' D' L2 R2 B
F' R L' D' R2 L2 B
F' R L' D' R2 B L2
F' R L2 D' L2 R2 B
F' R L2 D' R2 L2 B
F' R L2 D' R2 B L2
F' R D' L' R2 B L'
F' R D' L2 R2 D B
F' R D' L2 R2 D' B
F' R D' L2 R2 D2 B
F' R D' L2 R2 B D
F' R D' L2 R2 B D'
F' R D' L2 R2 B D2
F' R D' L2 B R2 B
F' R D' L2 B' R2 B
F' R D' L2 B2 R2 B
F' R D' R2 L' B L'
F' R D' R2 L2 D B
F' R D' R2 L2 D' B
F' R D' R2 L2 D2 B
F' R D' R2 L2 B D
F' R D' R2 L2 B D'
F' R D' R2 L2 B D2
F' R D' R2 B L2 D
F' R D' R2 B L2 D'
F' R D' R2 B L2 D2
F' R D' R2 B' L2 B2
F' R D' B L2 R2 B
F' R D' B R2 L2 B
F' R D' B R2 B L2
F' R D' B' L2 R2 B
F' R D' B' R2 L2 B
F' R D' B' R2 B L2
F' R D' B2 L2 R2 B
F' R D' B2 R2 L2 B
F' R D' B2 R2 B L2
F R F2 D' L2 R2 B'
F R F2 D' L2 B' R2
F R F2 D' R2 L2 B'
F R B2 R2 U F2 B
F R B2 R2 U B F2
F R B2 U' F' U2 F'
F' R' L D' L2 B R2
F' R' L D' B L2 R2
F' R' L D' B R2 L2
F R B2 D R2 U B
F' R' L' D' L2 B R2
F' R' L' D' B L2 R2
