D L' U R F U B2
F2 L' B' R2 U' L R'
F2 L' B' R2 U' R' L
B R D' F2 L' U R
D' R F' U' F' U2 R
B' R F2 L' U L2 R
B' R F2 L' U R L2
R' D' R' B U' F2 R
D2 F D' L' F R B2
D2 F D' L' F B2 R
D2 F D' L' B2 F R
D2 F D' B2 L' F R
R F2 L' B' U L R
R F2 L' B' U R L
R F2 B' L' U L2 R
R F2 B' L' U R L2
R2 B U L' R' U2 F'
R2 B U R' L' U2 F'
F2 B' L D R F2 B2
F2 B' L D R B2 F2
F2 B' L D B2 R F2
F2 B' L' R2 U' L2 R'
F2 B' L' R2 U' R' L2
F2 B' R2 L' U' L2 R'
F2 B' R2 L' U' R' L2
R B' F2 L' U L2 R
R B' F2 L' U R L2
B' F2 L D R F2 B2
B' F2 L D R B2 F2
B' F2 L D B2 R F2
B' F2 L' R2 U' L2 R'
B' F2 L' R2 U' R' L2
B' F2 R2 L' U' L2 R'
B' F2 R2 L' U' R' L2
