R B2 U' R' F' L'
F L U R F L' U
U' L U' R B L U'
B' L' R B' U' R' F'
R U L U2 F' L' F2
R U L B U2 F L
R U L B' R' U2 F
R U L' B' L2 R' U2
R U L' B' R' L2 U2
B' R L' B' U' R' F'
B2 R U' R' F' L' R'
B2 R U' R' F' R' L'
B' R F' L' B' U' R'
B2 R F' L' B' U' R2
R U' R' F' L' D2 R2
B R B U' R' F' L'
B' R B' U' R' F' L'
R' U' D B2 R' F' L'
D2 R B2 U' R' F' L'
D' R B2 U' R' F' L'
D R B2 U' R' F' L'
U' R' D F' B2 L' R'
U' R' D F' B2 R' L'
U' R' D B2 F' L' R'
U' R' D B2 F' R' L'
R U' B2 R' F' L' B2
R U' B2 R' F' B2 L'
R U' B2 R' B2 F' L'
U' R' F' D B2 L' R'
U' R' F' D B2 R' L'
R' D U' B2 R' F' L'
R D B2 U' R' F' L'
B2 U' R' D F' L' B2
B2 U' R' D F' B2 L'
B2 U' R' D B2 F' L'
B2 U' R' F' L' D B2
B2 U' R' F' D L' B2
B2 U' R' F' D B2 L'
R D' B2 U' R' F' L'
B2 U2 R B L U' R2
B U2 R B L U' R'
R D2 B2 U' R' F' L'
R F' L' D F2 B' U'
R F' L' D B' F2 U'
R F' L' D2 B' U' R2
R F' L' B' U L2 U2
R F' L' B' U' D2 R2
R F' L' B' D F2 U'
R F' L' B' D2 U' R2
B D' R F' L' B' U'
R F' B' L' B' U' R'
L F2 U L' F' R U
U2 B L R B U' R'
U2 B R L B U' R'
R B' L' B' U' R' F'
R B' F' L' B' U' R'
R2 B2 L F R U R2
U' B2 R' D F' L' B2
U' B2 R' D F' B2 L'
U' B2 R' D B2 F' L'
U' B2 R' F' L' D B2
U' B2 R' F' D L' B2
U' B2 R' F' D B2 L'
R B2 U' L R' F' L'
R B2 U' L' R' F' L'
R B2 U' L2 R' F' L'
R B2 U' R' L F' L'
R B2 U' R' L' F' L'
R B2 U' R' L2 F' L'
R B2 U' R' D F' L'
R B2 U' R' D' F' L'
R B2 U' R' D2 F' L'
R B2 U' R' F' L' D
R B2 U' R' F' L' D'
R B2 U' R' F' L' D2
R B2 U' R' F' D L'
R B2 U' R' F' D' L'
R B2 U' R' F' D2 L'
R B2 U' D R' F' L'
R B2 U' D' R' F' L'
R B2 U' D2 R' F' L'
R B2 U' F' L' R' F'
R B2 U' F' R' L' F'
R B2 D U' R' F' L'
R B2 D' U' R' F' L'
R B2 D2 U' R' F' L'
