U L2 F B' L' U'
U L2 B' F L' U'
L2 U F B' L' U'
L2 U B' F L' U'
F' R F2 B' U B
F' R B' F2 U B
F' U' R F2 B' U
F' U' R B' F2 U
F' U' B' R F2 U
U' F B' U2 L' U'
L2 F B' L' U' B
U' F' R F2 B' U
U' F' R B' F2 U
U' F' B' R F2 U
B' F U2 L' U' B
U' B' F U2 L' U'
L2 B' F L' U' B
U' B' F' R F2 U
F B' U2 L' U' B
L2 R U F B' L' U'
L2 R U B' F L' U'
L2 R F B' L' U' B
L2 R B' F L' U' B
L2 R' U F B' L' U'
L2 R' U B' F L' U'
L2 R' F B' L' U' B
L2 R' B' F L' U' B
U L' F L' F B' U'
U L' F L' B' F U'
R' L2 U F B' L' U'
R' L2 U B' F L' U'
L2 R2 U F B' L' U'
R2 L2 U F B' L' U'
R L2 U F B' L' U'
L2 R2 U B' F L' U'
R2 L2 U B' F L' U'
R L2 U B' F L' U'
B' L' F2 U B L F
R' L2 F B' L' U' B
L2 R2 F B' L' U' B
R2 L2 F B' L' U' B
R L2 F B' L' U' B
D2 L2 U F B' L U'
D2 L2 U B' F L U'
F L2 U F L U' L'
U2 L2 U' F B' L' U'
U2 L2 U' B' F L' U'
R' L2 B' F L' U' B
L2 R2 B' F L' U' B
R2 L2 B' F L' U' B
R L2 B' F L' U' B
U L2 D2 F B' L U'
U L2 D2 B' F L U'
D2 L2 F B' L U' B
R' U L2 F B' L' U'
R' U L2 B' F L' U'
U L2 F D B' L' U'
U L2 F D' B' L' U'
U L2 F D2 B' L' U'
R2 U L2 F B' L' U'
U L2 F B L' B2 U'
U L2 F B' L' U' D
U L2 F B' L' U' D'
U L2 F B' L' U' D2
U L2 F B' L' D U'
U L2 F B' L' D' U'
U L2 F B' L' D2 U'
U L2 F B' D L' U'
U L2 F B' D' L' U'
U L2 F B' D2 L' U'
U L2 F B2 L' B U'
R U L2 F B' L' U'
R2 U L2 B' F L' U'
R U L2 B' F L' U'
U L2 B F L' B2 U'
D2 L2 B' F L U' B
U L2 B' F L' U' D
U L2 B' F L' U' D'
U L2 B' F L' U' D2
U L2 B' F L' D U'
U L2 B' F L' D' U'
U L2 B' F L' D2 U'
U L2 B' F D L' U'
U L2 B' F D' L' U'
U L2 B' F D2 L' U'
U L2 B2 F L' B U'
L2 U D2 F B' L U'
L2 U D2 B' F L U'
L2 U F D B' L' U'
L2 U F D' B' L' U'
L2 U F D2 B' L' U'
L2 U F B L' B2 U'
L2 U F B' L' U' D
L2 U F B' L' U' D'
L2 U F B' L' U' D2
L2 U F B' L' D U'
L2 U F B' L' D' U'
L2 U F B' L' D2 U'
L2 U F B' D L' U'
L2 U F B' D' L' U'
L2 U F B' D2 L' U'
L2 U F B2 L' B U'
D R U' F B' U F2
D R U' B' F U F2
L2 U B F L' B2 U'
L2 U B' F L' U' D
L2 U B' F L' U' D'
L2 U B' F L' U' D2
L2 U B' F L' D U'
L2 U B' F L' D' U'
L2 U B' F L' D2 U'
L2 U B' F D L' U'
L2 U B' F D' L' U'
L2 U B' F D2 L' U'
B' R D' F L' U F
