U2 D' B R F' R2
D' U2 B R F' R2
D F L' U2 F B
D F L' U2 B F
D' L U2 B R F' R2
D L D2 B' L U2 B2
D L D2 B' U2 B2 R'
D L F B' L' U2 B2
D L F' B' U2 R B2
D L F' B' U2 B2 R
U L B R' B2 U B2
U L B' U2 L U' B2
D L B' F L' U2 B2
D L B' F' U2 R B2
D L B' F' U2 B2 R
B' L' U' F L2 U' B2
D L' U2 D2 F B R'
D L' U2 D2 B R' F
D L' U2 D2 B F R'
D' L' U2 B R F' R2
D L' U2 F' B R F2
D L' U2 B F' R F2
U' L' D2 F L' U' B
D L' D2 U2 F B R'
D L' D2 U2 B R' F
D L' D2 U2 B F R'
D L' F' U2 B R F2
D L2 U2 R' F' R B
D' L2 U2 B R F' R2
D L2 U2 D2 B R' F'
D L2 U2 B R' F' R
D L2 D2 U2 B R' F'
D L2 F L' B' U2 B2
U L2 B2 U B' R' F'
L U B R' B2 U B2
L U B' U2 L U' B2
D' R F' B R' B L
D' R B F' R' B L
L' U' D2 F L' U' B
U2 R' D' R F' B R'
U2 R' D' R B F' R'
D R' F2 L' F R B
D' R' B R U2 B R2
L U2 B R D' R2 F2
L U2 B R D' F2 R2
L U2 B U' R' B2 U
U2 R2 D' R2 B R' F'
R' D F2 L' F R B
U2 D F' D2 B R F'
U2 D F' B D2 R F'
R' D' R U2 F' B R'
R' D' R U2 B F' R'
U2 D B F' D2 R F'
B' U' L U2 B' U B'
B' U' L' F L2 U' B2
U2 D' R F' R' B R'
U2 D' R F' B R' B
U2 D' R B F' R' B
U2 D' F B R F' R2
U2 D' F' B R F' R2
U2 D' F2 B R F' R2
U2 D' B R F R2 F2
U2 D' B R F' R2 D
U2 D' B R F' R2 D'
U2 D' B R F' R2 D2
U2 D' B R F2 R2 F
U2 D' B R' U2 B U2
U2 D' B F R F' R2
U2 D' B F' R F' R2
U2 D' B F2 R F' R2
U2 D' B' R F' B2 R'
U2 D' B' R B2 F' R'
U2 D' B' R2 B2 R' F'
U2 D' B2 R F' B' R'
U2 D' B2 R B' F' R'
U2 D' B2 R2 B' R' F'
D' U2 R F' R' B R'
D' U2 R F' B R' B
D' U2 R B F' R' B
L' D2 U' F L' U' B
D' U2 F B R F' R2
D' U2 F' B R F' R2
D' U2 F2 B R F' R2
D U2 F' D2 B R F'
D U2 F' B D2 R F'
D' U2 B R F R2 F2
D' U2 B R F' R2 D
D' U2 B R F' R2 D'
D' U2 B R F' R2 D2
D' U2 B R F2 R2 F
D' U2 B R' U2 B U2
D' U2 B F R F' R2
D' U2 B F' R F' R2
D' U2 B F2 R F' R2
D' U2 B' R F' B2 R'
D' U2 B' R B2 F' R'
D' U2 B' R2 B2 R' F'
D' U2 B2 R F' B' R'
D U2 B F' D2 R F'
D' U2 B2 R B' F' R'
D' U2 B2 R2 B' R' F'
F' U2 D' B R F' R2
F2 U2 D' B R F' R2
F U2 D' B R F' R2
D F L B' L2 U2 B2
D F L' U2 D F B
D F L' U2 D B F
D F L' U2 D' F B
D F L' U2 D' B F
D F L' U2 D2 F B
D F L' U2 D2 B F
D F L' U2 F D B
D F L' U2 F D' B
D F L' U2 F D2 B
D F L' U2 F B D
D F L' U2 F B D'
D F L' U2 F B D2
D F L' U2 B D F
D F L' U2 B D' F
D F L' U2 B D2 F
D F L' U2 B F D
D F L' U2 B F D'
D F L' U2 B F D2
D F L' D U2 F B
D F L' D U2 B F
D F L' D' U2 F B
D F L' D' U2 B F
D F L' D2 U2 F B
D F L' D2 U2 B F
D F L' F' U2 F2 B
D F L' F' U2 B F2
D F L' F2 U2 F' B
D F L' F2 U2 B F'
D F L' B' U2 F B2
D F L' B' U2 B2 F
D F L' B2 U2 F B'
D F L' B2 U2 B' F
D' F U2 B R F' R2
U2 F D' B R F' R2
D F B' L' U2 F B2
D F B' L' U2 B2 F
F' D F L' U2 F B
F' D F L' U2 B F
F2 D F L' U2 F B
F2 D F L' U2 B F
D F' L B' U2 R B2
D F' L B' U2 B2 R
D F' L' U2 B R F
F D F L' U2 F B
F D F L' U2 B F
D' F' U2 B R F' R2
D F' U2 D2 B R F'
D F' U2 B D2 R F'
U2 F' D' B R F' R2
D F' D2 U2 B R F'
F' D' U2 B R F' R2
F2 D' U2 B R F' R2
F D' U2 B R F' R2
D' F2 U2 B R F' R2
U2 F2 D' B R F' R2
U B L R' B' U B
D' B R F R2 F2 L'
D' B R' U2 B R U2
L B R D' R2 F2 L'
U B R' L B' U B
D B R' F2 L' F R
U2 B U' D2 R' B U
U2 B D F' R D' F2
D' B D2 R' F2 L' F
U2 B D2 U' R' B U
U B D2 R' B U B'
D' B' R F' B2 L R'
D' B' R F' B2 R' L
D' B' R B2 L F' R'
D' B' R B2 F' L R'
D' B' R B2 F' R' L
L' B' U' F L U' B2
D' B' U2 R F' B2 R'
D' B' U2 R B2 F' R'
D' B' U2 R2 B2 R' F'
D' B' U2 B2 R F' R2
L B' U2 L U' L' B2
L B' U2 L U' B2 L'
D' B' D2 L F2 B' U2
D' B' D2 L B' F2 U2
D' B' D2 F2 L B' U2
D B' F L' U2 F B2
D B' F L' U2 B2 F
D B2 L2 F L' B' U2
D' B2 U2 F R F' B'
D' B2 U2 F R B' F'
D' B2 U2 F B' R F'
D' B2 U2 B' F R F'
