R B2 U B L U
B2 L R D' F L' U2
L' R B2 U2 D' B R'
L' R B2 D' U2 B R'
B' L' U F2 B' L' F
B' L' U B' F2 L' F
R L' B2 U2 D' B R'
R L' B2 D' U2 B R'
B' L' F2 U B' L' F
B2 R L D' F L' U2
D R U' L2 F R U'
B2 R U' F R F' U'
B2 R U2 D R B R'
U2 R U2 B D' R2 F'
B2 R D U2 R B R'
B2 R D' L F L' U2
B2 R D' F L' U2 B'
B2 R D' F' U2 R B
L U' R F B2 U2 R
L U' R B2 F U2 R
B' R B' U B L U
R U' D L2 F R U'
U2 R B2 U B U B2
U2 R B2 U2 B' D' R2
L U' B2 R F U2 R
R U2 R B D' R2 F'
D' R2 B' L' U B' L
R D U' L2 F R U'
B2 U F2 B L U L2
B2 U B L U' R U2
B2 U B L F2 U L'
B2 U B F2 L U L2
D2 U' B' U F2 L' B'
U' D2 B' U F2 L' B'
F2 D L2 F U' L B'
R F B2 U B L U
B D' R U2 R F' B
B D' R U2 R B F'
D2 F2 L' D' B R' B2
R F' B2 U B L U
D2 F2 L' B2 D' B R'
D F2 L2 F U' L B'
B D' F' R2 F' L' B'
B D' F2 L' R2 F' B'
B D' F2 L' R2 B' F'
B D' F2 R2 L' F' B'
B D' F2 R2 L' B' F'
B D' B R U2 R B
D2 F2 U' B' U L' B'
D2 F2 B L' D' R2 B'
D2 F2 B L' D' B' R2
D2 F2 B D' L' R2 B'
D2 F2 B D' L' B' R2
D2 F2 B D' R2 L' B'
D2 F2 B2 L' B' D' R2
R F2 B2 U B L U
F2 B L' D' R2 F' B'
F2 B L' D' R2 B' F'
D' B D' F2 L' R2 B'
D' B D' F2 L' B' R2
D' B D' F2 R2 L' B'
D2 B F2 L' D' R2 B'
D2 B F2 L' D' B' R2
D2 B F2 D' L' R2 B'
D2 B F2 D' L' B' R2
D2 B F2 D' R2 L' B'
D2 B' L' U F2 B' L'
D2 B' L' U B' F2 L'
F' B D' R2 F' L' B'
F2 B D' L' R2 F' B'
F2 B D' L' R2 B' F'
F2 B D' R2 L' F' B'
F2 B D' R2 L' B' F'
U' B' U' R B' U2 B2
U' B' U' B' R U2 B
F2 B' L2 U F L B'
B2 F' U B L F U
B F' D' R2 F' L' B'
R B2 L F U B U
R B2 L' U B U B2
R B2 L' U2 B' D' R2
U2 B2 R U2 D B R'
U2 B2 R D U2 B R'
B' F2 L2 U F L B'
B2 F2 L' B' D' R2 F'
F2 B2 L' B' D' R2 F'
B F2 L' D' R2 F' B'
B F2 L' D' R2 B' F'
R B2 U L B L U
R B2 U L' B L U
R B2 U L2 B L U
R B2 U D B L U
R B2 U D' B L U
R B2 U D2 B L U
F' B2 U B L F U
R B2 U B L U D
R B2 U B L U D'
R B2 U B L U D2
R B2 U B L D U
R B2 U B L D' U
R B2 U B L D2 U
R B2 U B D L U
R B2 U B D' L U
R B2 U B D2 L U
B2 F2 U B L U L2
F2 B2 U B L U L2
R B2 U2 R D B R'
R B2 D U B L U
R B2 D' U B L U
D2 B2 F2 L' B' D' R2
B F2 D' L' R2 F' B'
B F2 D' L' R2 B' F'
R B2 D2 U B L U
B F2 D' R2 L' F' B'
B F2 D' R2 L' B' F'
R B2 F U B L U
R B2 F' U B L U
R B2 F2 U B L U
