U2 L' F' U L' F
U' L U' F L2 R U
U' L U' F R L2 U
B L D2 F2 D R2 B2
B L D2 F2 D B2 R2
U2 L' R F' U L' F
U2 L' R' F' U L' F
U2 L' R2 F' U L' F
B L' U L2 D2 R2 F2
B L' U L2 D2 F2 R2
B2 L' U B R' U2 B'
B L' U B2 U2 L2 B2
B L' U B2 U2 B2 L2
U L' U' L B' R' U2
B2 L' U' B R' U2 R
U2 L' D F' R U L'
U2 L' F U F2 L' F
U2 L' F' R U L' F
U2 L' F' R' U L' F
U2 L' F' R2 U L' F
U2 L' F' U L' D F
U2 L' F' U L' D' F
U2 L' F' U L' D2 F
U2 L' F' U L' F D
U2 L' F' U L' F D'
U2 L' F' U L' F D2
U2 L' F2 U L' F L'
U2 L' F2 U F L' F
U' L2 D F L' D' B2
U2 L2 F' L U L2 F2
U2 L2 F' L U F2 L2
U2 R L' F' U L' F
U2 R' L' F' U L' F
B' R' U L' U' L U2
B' R' U L' B2 U R'
B' R' U' F2 R U' R'
L2 U2 L F' U L' F
R' U2 L' F' U L' F
R2 U2 L' F' U L' F
R U2 L' F' U L' F
B' R' F2 U' R F2 U'
U R' B' U L' F' U
U2 R2 L' F' U L' F
L2 U2 F' L U L2 F2
L2 U2 F' L U F2 L2
B' U L' U' L R' U2
B' U L' U' R' L U2
B' U L' B2 U L R'
B' U L' B2 U R' L
U2 D L' F' U L' F
B' U R' U L' R U
B' U R' U R L' U
B2 U B R' U L' U
U2 D' L' F' U L' F
B U B2 R' U L' U
B U' L D' B2 D' F2
B U' L D2 F2 D B2
B U' D' L D' F2 B2
B U' D' L D' B2 F2
B U' D2 L F2 D' B2
D' U2 L' F' U L' F
D2 U2 L' F' U L' F
U2 D2 L' F' U L' F
D U2 L' F' U L' F
B2 U2 L' U' B R' U2
B U2 L' U L2 D2 F2
B U2 L' U' B2 U2 L2
B U2 D' L' R2 U L2
B U2 D' R2 L' U L2
B U2 D2 L' U L2 F2
B U2 D2 L' U F2 L2
B' U2 B2 L D' R2 B2
B' U2 B2 L D' B2 R2
U2 F U' R B' U2 B2
U2 F U' B' R U2 B
L' F U2 F' U' L' F
B D L2 U' L' D' B2
B D L2 U2 L U L2
B D L2 B' U' L' B'
B D L2 B2 R' U' L'
B D' U' L D' F2 B2
B D' U' L D' B2 F2
B D' U2 L' R2 U L2
B D' U2 R2 L' U L2
B D2 U' L F2 D' B2
B D2 U2 L' U L2 F2
B D2 U2 L' U F2 L2
L2 B U' D F L B'
L2 B U' F D L B'
L2 B D U' F L B'
U B' R' U L' F' U
L2 B' U R' F' U2 F2
U B' U L' F' U L'
F2 B' R' U' R2 F2 U'
F2 B' R' U' F2 R2 U'
F2 B' R' U2 D R2 B2
F2 B' R' U2 D B2 R2
F2 B' R' D U2 R2 B2
F2 B' R' D U2 B2 R2
F2 B' R' D' L2 F2 U2
F2 B' R' D' F2 L2 U2
L2 B2 R' U' D2 F L'
L2 B2 R' D2 U' F L'
L2 B2 R' B' U' F L
B' F2 R' U' R2 F2 U'
B' F2 R' U' F2 R2 U'
B' F2 R' U2 D R2 B2
B' F2 R' U2 D B2 R2
B' F2 R' D U2 R2 B2
B' F2 R' D U2 B2 R2
B' F2 R' D' L2 F2 U2
B' F2 R' D' F2 L2 U2
L2 B2 D' R' B U' F
L2 B2 D2 R' U' F L'
