F' B' U L' R' F2
F' B' U L' F2 R'
F' B' U R' L' F2
B' F' U L' R' F2
B' F' U L' F2 R'
B' F' U R' L' F2
B' R F' U L' R2 F2
B' R F' U L' F2 R2
B' R F' U R2 L' F2
F' R B' U L' R' F2
F' R B' U L' F2 R'
F' R B' U R' L' F2
F' R' B' U L' R' F2
F' R' B' U L' F2 R'
F' R' B' U R' L' F2
F' R2 B' U L' R' F2
F' R2 B' U L' F2 R'
F' R2 B' U R' L' F2
F U2 R U' R' F' U'
F2 U2 F U' L' R F2
F2 U2 F U' R L' F2
B2 U2 B U' R' F L
B2 U2 B U' F L R'
B2 U2 B U' F R' L
F' D R2 B' U L' R'
F' D R2 B' U R' L'
B' D F' U L' R' F2
B' D F' U L' F2 R'
B' D F' U R' L' F2
F' D B' R2 U L' R
F' D B' R2 U R L'
R' F' B' U L' R' F2
R' F' B' U L' F2 R'
R' F' B' U R' L' F2
D2 F' B' U L' R' F2
D2 F' B' U L' F2 R'
D2 F' B' U R' L' F2
D' F' B' U L' R' F2
D' F' B' U L' F2 R'
D' F' B' U R' L' F2
U2 F' B U' F2 L R
U2 F' B U' F2 R L
R2 F' B' U L' R' F2
R2 F' B' U L' F2 R'
R2 F' B' U R' L' F2
D F' B' U L' R' F2
D F' B' U L' F2 R'
D F' B' U R' L' F2
R F' B' U L' R' F2
R F' B' U L' F2 R'
R F' B' U R' L' F2
B' D' F' U L' R' F2
B' D' F' U L' F2 R'
B' D' F' U R' L' F2
U2 F2 B U' L F' R
U2 F2 B U' F' L R
U2 F2 B U' F' R L
B' D2 F' U L' R' F2
B' D2 F' U L' F2 R'
B' D2 F' U R' L' F2
B2 D2 F' U L' R F2
B2 D2 F' U R L' F2
F2 D2 B' U L F' R'
F2 D2 B' U F' L R'
F2 D2 B' U F' R' L
B' F R' D2 L2 D' B2
F' B U L' F2 D2 R2
F' B U L2 F2 L R
F' B U L2 F2 R L
U2 B F' U' F2 L R
U2 B F' U' F2 R L
F' B U' L U2 L2 F2
F' B U' L U2 F2 L2
U2 B F2 U' L F' R
U2 B F2 U' F' L R
U2 B F2 U' F' R L
B' F' R U L' R2 F2
B' F' R U L' F2 R2
B' F' R U R2 L' F2
F' B' R U L' R2 F2
F' B' R U L' F2 R2
F' B' R U R2 L' F2
U B' U F B L R
U B' U F B R L
U B' U B F L R
U B' U B F R L
B' F' R2 U L' R F2
B' F' R2 U R L' F2
F' B' R2 U L' R F2
F' B' R2 U R L' F2
B' F' U L R' F2 L2
B' F' U L F2 L2 R'
B' F' U L F2 R' L2
B' F' U L' R F2 R2
B' F' U L' R' F2 D
B' F' U L' R' F2 D'
B' F' U L' R' F2 D2
B' F' U L' F R' F
B' F' U L' F2 R' D
B' F' U L' F2 R' D'
B' F' U L' F2 R' D2
B' F' U L' F2 D R'
B' F' U L' F2 D' R'
B' F' U L' F2 D2 R'
B' F' U L2 R' F2 L
B' F' U L2 F2 L R'
B' F' U L2 F2 R' L
B' F' U R L' F2 R2
B' F' U R' L F2 L2
B' F' U R' L' F2 D
B' F' U R' L' F2 D'
B' F' U R' L' F2 D2
B' F' U R' L2 F2 L
F' B' U L R' F2 L2
F' B' U L F2 L2 R'
F' B' U L F2 R' L2
F' B' U L' R F2 R2
F' B' U L' R' F2 D
F' B' U L' R' F2 D'
F' B' U L' R' F2 D2
F' B' U L' F R' F
F' B' U L' F2 R' D
F' B' U L' F2 R' D'
F' B' U L' F2 R' D2
F' B' U L' F2 D R'
F' B' U L' F2 D' R'
F' B' U L' F2 D2 R'
F' B' U L2 R' F2 L
F' B' U L2 F2 L R'
F' B' U L2 F2 R' L
F' B' U R L' F2 R2
F' B' U R' L F2 L2
F' B' U R' L' F2 D
F' B' U R' L' F2 D'
F' B' U R' L' F2 D2
F B' R' D2 L2 D' B2
F' B' U R' L2 F2 L
B' F' U F2 R' D2 L2
F' B' U F2 R' D2 L2
F2 B' U F L' R' F2
F2 B' U F L' F2 R'
F2 B' U F R' L' F2
F2 B' U F' R' D2 L2
B F' U L' F2 D2 R2
B F' U L2 F2 L R
B F' U L2 F2 R L
D2 B' F' U L' R' F2
R' B' F' U L' R' F2
D2 B' F' U L' F2 R'
R' B' F' U L' F2 R'
D2 B' F' U R' L' F2
R' B' F' U R' L' F2
D' B' F' U L' R' F2
D' B' F' U L' F2 R'
D' B' F' U R' L' F2
B F' U' L U2 L2 F2
B F' U' L U2 F2 L2
B' F' D R2 U L' R
B' F' D R2 U R L'
F' B' D R2 U L' R
F' B' D R2 U R L'
R2 B' F' U L' R' F2
R2 B' F' U L' F2 R'
R2 B' F' U R' L' F2
D B' F' U L' R' F2
D B' F' U L' F2 R'
D B' F' U R' L' F2
R B' F' U L' R' F2
R B' F' U L' F2 R'
R B' F' U R' L' F2
B' F2 U F L' R' F2
B' F2 U F L' F2 R'
B' F2 U F R' L' F2
B' F2 U F' R' D2 L2
