B U' R F' U' L
B L' U' R F' U' L2
B' R D L2 F' B2 U'
B' R D L2 B2 F' U'
B' R D F' L2 B2 U'
B' R D F' B2 L2 U'
B' R D B2 L2 F' U'
B' R D B2 F' L2 U'
B' R D2 F' U' L2 F'
B' R D2 F' U' F' L2
U2 R D2 F' U' L' F
B' R F' U R2 B2 U2
B' R F' U B2 R2 U2
B' R F' U' D2 L2 F2
B' R F' U' D2 F2 L2
B' R F' D L2 B2 U'
B' R F' D B2 L2 U'
B2 R F' U B' U2 L
B' R F' D2 U' L2 F2
B' R F' D2 U' F2 L2
U2 R F' U' D2 L' F
U2 R F' D2 U' L' F
B R' U' R2 F' U' L
B U' R D F' U' L
B U' R D' F' U' L
B U' R D2 F' U' L
B U' R F' U' L D
B U' R F' U' L D'
B U' R F' U' L D2
B U' R F' U' D L
B U' R F' U' D' L
B U' R F' U' D2 L
B U' R F' D U' L
B U' R F' D' U' L
B U' R F' D2 U' L
B U2 L U R F' U'
B U2 R F' U' F L
F D R' B L R' F'
F D R' B R' L F'
F D R' B R' F' L
F D B U2 L R' B
F D B U2 R' L B
R F' B' U R' B U2
U' B U' R F' U' L'
L' B U' R F' U' L
U2 B U' R F' B U'
U2 B U' R B F' U'
L2 B U' R F' U' L
D B U' R U' L R2
D B U' R U' R2 L
L B U' R F' U' L
D B U2 L R' D B2
D B U2 R' L D B2
D B U2 R' D L B2
R B' F' U R' B U2
