B' U2 L B2 U
B' R U2 L B2 U
B' R' U2 L B2 U
B R' B2 U' D' R2
B R' B2 U2 B2 U
B R' B2 D' U' R2
B R' B2 D2 F2 U'
B' R2 U2 L B2 U
D2 R2 F' R B' U'
D2 R2 F' B' R U'
D2 R2 B' F' R U'
B' U2 L U D' R2
B' U2 L D' U R2
B' U2 L B2 U D
B' U2 L B2 U D'
B' U2 L B2 U D2
B' U2 L B2 D U
B' U2 L B2 D' U
B' U2 L B2 D2 U
B' U2 L' B2 L2 U
R2 D2 F' R B' U'
B' U2 L2 B2 L' U
R2 D2 F' B' R U'
R2 D2 B' F' R U'
B' U2 D' L U R2
B' U2 B2 U2 R' U'
R2 F' B R' B2 U'
R2 F' B' U2 L U
B' D' U2 L U R2
R' B R' F' B2 U'
R' B R' B2 F' U'
B' D2 F2 U2 L U
U2 B U2 R' B2 U'
R2 B F' R' B2 U'
B' F U2 L B2 U
F' B' U2 L B2 U
B' F' U2 L B2 U
F2 B' U2 L B2 U
R2 B' F' U2 L U
F B' U2 L B2 U
B' F2 U2 L B2 U
B L U2 L' R' B2 U'
B L U2 R' L' B2 U'
B L U2 R' B2 L' U'
U2 L B' L F B2 U
U2 L B' L B2 F U
B' L B2 U2 L' B2 U'
B' L B2 U2 B2 L' U'
B' L B2 D2 F2 R U
B L' U2 L R' B2 U'
B L' U2 R' L B2 U'
B' L' U2 B2 L2 R' U
B' L' U2 B2 R' L2 U
B' L' D' L U' R2 B2
B' L' D' L U' B2 R2
B' L' D2 L R2 F2 U'
B' L' D2 L F2 R2 U'
B' L' D2 R2 L F2 U'
B' L' D2 R2 F2 L U'
B' L' D2 F2 L R2 U'
B' L' D2 F2 R2 L U'
B L2 U2 L2 R' B2 U'
B L2 U2 R' L2 B2 U'
B L2 U2 R' B2 L2 U'
U2 L2 D2 F L' B U
B L2 D2 R2 F2 L' U
U2 L2 D2 F B L' U
U2 L2 D2 B F L' U
U2 L2 F B U2 R' U'
U2 L2 F B' L B2 U
U2 L2 B F U2 R' U'
U2 L2 B' F L B2 U
B' R U2 L U D' R2
B' R U2 L D' U R2
B' R U2 L B2 U D
B' R U2 L B2 U D'
B' R U2 L B2 U D2
B' R U2 L B2 D U
B' R U2 L B2 D' U
B' R U2 L B2 D2 U
B' R U2 L' B2 L2 U
B' R U2 L2 B2 L' U
B' R U2 D' L U R2
B' R U2 B2 U2 R' U'
B' R D' U2 L U R2
B' R D2 F2 U2 L U
