U2 F U' F' L'
R U2 F B U' F'
R U2 B F U' F'
U2 D F U' F' L'
U2 D' F U' F' L'
U2 D2 F U' F' L'
D2 U2 F U' F' L'
D' U2 F U' F' L'
D U2 F U' F' L'
U2 F L' B' U' F'
U2 F U' L F' L'
U2 F U' L' F' L'
U2 F U' L2 F' L'
U2 F U' D F' L'
U2 F U' D' F' L'
U2 F U' D2 F' L'
U2 F U' F' L' D
U2 F U' F' L' D'
U2 F U' F' L' D2
U2 F U' F' D L'
U2 F U' F' D' L'
U2 F U' F' D2 L'
U2 F D U' F' L'
U2 F D' U' F' L'
U2 F D2 U' F' L'
U2 F B U' F' L'
U2 F B' U' F' L'
U2 F B2 U' F' L'
R' F' U2 F2 U' F2
U2 B F U' F' L'
U2 B' F U' F' L'
U2 B2 F U' F' L'
U' L U' L' F B' U'
U' L U' L' B' F U'
L2 R' U F' B' L2 U
L2 R' U B' L2 F' U
L2 R' U B' F' L2 U
F L' U2 L F U F'
R' L2 U F' B' L2 U
R' L2 U B' L2 F' U
R' L2 U B' F' L2 U
U2 L' F' B' U' F R
U2 L' B' L F U' F'
U2 L' B' F' U' F R
R' U L2 F' B' U B
R' U L2 B' F' U B
U L2 F' B' U L' B
U L2 F' B' U B L'
U L2 B' F' U L' B
U L2 B' F' U B L'
R' U F' D2 B2 U B2
L2 U F' B' L2 U L
U' R U' F U' F' L'
D2 R U2 F B U' F'
D' R U2 F B U' F'
D2 R U2 B F U' F'
D' R U2 B F U' F'
F' R U2 F2 B U' F2
F' R U2 B F2 U' F2
D R U2 F B U' F'
L2 U B' L2 F' U L'
D R U2 B F U' F'
L2 U B' F' L2 U L
F R B U B' U2 B
R2 U' F R2 U' B L
R U' F B R2 U' B
R U' F B U F' U2
U' R' U' F U' F' L'
R U' B F R2 U' B
R U' B F U F' U2
D2 R' F' U2 F2 U' F2
D' R' F' U2 F2 U' F2
F' R' F' U2 F' U' F
B2 R' F' D2 B2 U F2
D R' F' U2 F2 U' F2
F R' F' U2 F U' F'
R U2 D F B U' F'
R U2 D B F U' F'
R2 U2 D' F U' L' F'
R U2 D' F B U' F'
R U2 D' B F U' F'
R' U2 F U' D' L2 F'
R' U2 F U' D' F' L2
R' U2 F U2 F2 U F
R' U2 F D' U' L2 F'
R' U2 F D' U' F' L2
R' U2 F D2 B2 U' F'
R U2 D2 F B U' F'
R U2 D2 B F U' F'
R U2 F L B U' F'
R U2 F L' B U' F'
R U2 F L2 B U' F'
R U2 F D B U' F'
R U2 F D' B U' F'
R U2 F D2 B U' F'
R U2 F B L U' F'
R U2 F B L' U' F'
R U2 F B L2 U' F'
R U2 F B U' D F'
R U2 F B U' D' F'
R U2 F B U' D2 F'
R U2 F B U' F' D
R U2 F B U' F' D'
R U2 F B U' F' D2
