L2 B' L' R' U'
L2 B' R' L' U'
L2 R B' L' R' U'
L2 R B' R' L' U'
L2 R' B' L' R' U'
L2 R' B' R' L' U'
R' L2 B' L' R' U'
R' L2 B' R' L' U'
L2 R2 B' L' R' U'
L2 R2 B' R' L' U'
R2 L2 B' L' R' U'
R2 L2 B' R' L' U'
R L2 B' L' R' U'
R L2 B' R' L' U'
D' L2 B' L' R' U'
D2 L2 B' L' R' U'
D' L2 B' R' L' U'
D2 L2 B' R' L' U'
D L2 B' L' R' U'
D L2 B' R' L' U'
L U' D' L' B' L
B' R' U2 F R U
L U2 F' L' F U
L2 D B' L' R' U'
L2 D B' R' L' U'
L D' U' L' B' L
L2 D' B' L' R' U'
L2 D' B' R' L' U'
L D' B' R' U' L
L2 D2 B' L' R' U'
L2 D2 B' R' L' U'
L D2 B' R' B U'
U2 F U2 L R U'
U2 F U2 R L U'
L2 B' L' R' U' D
L2 B' L' R' U' D'
L2 B' L' R' U' D2
L2 B' L' R' U' D2
L2 B' L' R' D U'
L2 B' L' R' D' U'
L2 B' L' R' D2 U'
L2 B' L' D R' U'
L2 B' L' D' R' U'
L2 B' L' D2 R' U'
L2 B' R' L' U' D
L2 B' R' L' U' D'
L2 B' R' L' U' D2
L2 B' R' L' D U'
L2 B' R' L' D' U'
L2 B' R' L' D2 U'
L2 B' R' D L' U'
L2 B' R' D L' U'
L2 B' R' D' L' U'
L2 B' R' D2 L' U'
L2 B' D L' R' U'
L2 B' D R' L' U'
L2 B' D' L' R' U'
L2 B' D' R' L' U'
L2 B' D2 L' R' U'
L2 B' D2 R' L' U'
L B' D2 R' B U'
L2 B2 L' B R' U'
B' L R' B L B' U'
R' L U' D' L' B' L
R2 L U' D' L' B' L
L R U' D' L' B' L
R L U' D' L' B' L
R' L U2 F' L' F U
R2 L U2 F' L' F U
L R U2 F' L' F U
R L U2 F' L' F U
L2 R D B' L' R' U'
L2 R D B' R' L' U'
D' L U' D' L' B' L
D2 L U' D' L' B' L
D L U' D' L' B' L
R' L D' U' L' B' L
R2 L D' U' L' B' L
L R D' U' L' B' L
R L D' U' L' B' L
R' L D' B' R' U' L
L2 R D' B' L' R' U'
R2 L D' B' R' U' L
L2 R D' B' R' L' U'
L R D' B' R' U' L
R L D' B' R' U' L
D2 L U2 F' L' F U
D' L U2 F' L' F U
D L U2 F' L' F U
R' L D2 B' R' B U'
R2 L D2 B' R' B U'
L2 R D2 B' L' R' U'
L R D2 B' R' B U'
L2 R D2 B' R' L' U'
R L D2 B' R' B U'
D' L D' U' L' B' L
D2 L D' U' L' B' L
D L D' U' L' B' L
D' L D' B' R' U' L
D2 L D' B' R' U' L
D L D' B' R' U' L
B' L D2 R' B L U'
D' L D2 B' R' B U'
D2 L D2 B' R' B U'
D L D2 B' R' B U'
L2 R B' L' R' U' D
L2 R B' L' R' U' D'
L2 R B' L' R' U' D2
L2 R B' L' R' D U'
L2 R B' L' R' D' U'
L2 R B' L' R' D2 U'
L2 R B' L' D R' U'
L2 R B' L' D' R' U'
L2 R B' L' D2 R' U'
L2 R B' R' L' U' D
L2 R B' R' L' U' D'
L2 R B' R' L' U' D2
L2 R B' R' L' D U'
L2 R B' R' L' D' U'
L2 R B' R' L' D2 U'
L2 R B' R' D L' U'
L2 R B' R' D' L' U'
L2 R B' R' D2 L' U'
R' L B' D2 R' B U'
L2 R B' D L' R' U'
L2 R B' D R' L' U'
L2 R B' D' L' R' U'
L2 R B' D' R' L' U'
L2 R B' D2 L' R' U'
L R B' D2 R' B U'
R2 L B' D2 R' B U'
L2 R B' D2 R' L' U'
R L B' D2 R' B U'
L2 R B2 L' B R' U'
B' L B L B' R' U'
D2 L B' D2 R' B U'
D' L B' D2 R' B U'
D L B' D2 R' B U'
L R' U' D' L' B' L
B2 L B2 L B' R' U'
L R' U2 F' L' F U
L2 R' D B' L' R' U'
L2 R' D B' R' L' U'
L R' D' U' L' B' L
L2 R' D' B' L' R' U'
L R' D' B' R' U' L
L2 R' D' B' R' L' U'
L2 R' D2 B' L' R' U'
L R' D2 B' R' B U'
L2 R' D2 B' R' L' U'
L2 R' B' L' R' U' D
L2 R' B' L' R' U' D'
L2 R' B' L' R' U' D2
L2 R' B' L' R' D U'
L2 R' B' L' R' D' U'
L2 R' B' L' R' D2 U'
L2 R' B' L' D R' U'
L2 R' B' L' D' R' U'
L2 R' B' L' D2 R' U'
L2 R' B' R' L' U' D
L2 R' B' R' L' U' D'
L2 R' B' R' L' U' D2
L2 R' B' R' L' D U'
L2 R' B' R' L' D' U'
L2 R' B' R' L' D2 U'
L2 R' B' R' D L' U'
L2 R' B' R' D' L' U'
L2 R' B' R' D2 L' U'
F L' D2 R2 B L U
L2 R' B' D L' R' U'
L2 R' B' D R' L' U'
L2 R' B' D' L' R' U'
L2 R' B' D' R' L' U'
L2 R' B' D2 L' R' U'
L2 R' B' D2 R' L' U'
L R' B' D2 R' B U'
L2 R' B2 L' B R' U'
F L' F' L2 B' R' U'
F2 L' F2 L2 B' R' U'
L R2 U' D' L' B' L
L R2 U2 F' L' F U
R' L2 D B' L' R' U'
R' L2 D B' R' L' U'
L2 R2 D B' L' R' U'
L2 R2 D B' R' L' U'
R2 L2 D B' L' R' U'
R2 L2 D B' R' L' U'
R L2 D B' L' R' U'
R L2 D B' R' L' U'
R' L2 D' B' L' R' U'
R' L2 D' B' R' L' U'
L R2 D' U' L' B' L
