F2 R U F' R2 B'
F2 R U F' B' R2
F2 R U B' F' R2
F2 U R F' R2 B'
F2 U R F' B' R2
F2 U R B' F' R2
R' D B' D2 L2 F2
R' D B' D2 F2 L2
F2 U R' B' D2 F2
R' D' B' L2 D2 F2
R' D' B2 L2 F B
R' D' B2 L2 B F
R F' R2 B' D L2
R F2 U R2 F B'
R F2 U R2 B' F
R F2 U F R2 B'
R F2 U F B' R2
R F2 U B' R2 F
R F2 U B' F R2
R' B' D' L2 D' F2
R' B' D2 F2 D L2
R' B2 D' L2 F B
R' B2 D' L2 B F
L2 R F2 U R2 F B
L2 R F2 U R2 B F
L2 R' D' L2 B' D2 F2
L2 R' D' B2 L2 F B'
L2 R' D' B2 L2 B' F
L2 R' B2 D' L2 F B'
L2 R' B2 D' L2 B' F
R' L2 D' L2 B' D2 F2
R' L2 D' B2 L2 F B'
R' L2 D' B2 L2 B' F
R L2 F2 U R2 F B
R L2 F2 U R2 B F
R' L2 B2 D' L2 F B'
R' L2 B2 D' L2 B' F
B2 L2 F2 U B R F'
F2 R U R2 B' D2 F2
F' R U F' R2 B' L'
R U F' R2 B' D L2
F' R U F' B' L' R2
F' R U F' B' R2 L'
F2 R U F R2 F2 B'
F2 R U F R2 B' F2
F2 R U F B' R2 F2
F2 R U F' R B' R
F' R U B' F' L' R2
F' R U B' F' R2 L'
F2 R U F' R2 D B'
F2 R U F' R2 D' B'
F2 R U F' R2 D2 B'
F2 R U F' R2 B' D
F2 R U F' R2 B' D'
F2 R U F' R2 B' D2
F2 R U F' B R2 B2
F2 R U F' B' R2 D
F2 R U F' B' R2 D'
F2 R U F' B' R2 D2
F2 R U F2 R2 F B'
F2 R U F2 R2 B' F
F2 R U F2 B' R2 F
F2 R U B F' R2 B2
F2 R U B' F R2 F2
F2 R U B' F' R2 D
F2 R U B' F' R2 D'
F2 R U B' F' R2 D2
F2 R U B' F2 R2 F
R U F2 U R2 F B'
R U F2 U R2 B' F
R U F2 U F R2 B'
R U F2 U F B' R2
R U F2 U B' R2 F
R U F2 U B' F R2
B' R D' L2 D' F' R
F2 R D B2 U F' B
F2 R D B2 U B F'
B' R D2 F' R D L2
B' R D2 F' D L2 R
B' R D2 F' D R L2
F R F U R2 F2 B'
F R F U R2 B' F2
F R F U F2 R2 B'
F R F U F2 B' R2
F R F U B' R2 F2
F R F U B' F2 R2
F' R F' R2 D B' L
U' R F' R2 B' D L2
U2 R F' R2 B' D L2
F R F' R2 D' B' L2
F R F' R2 B' D' L2
U R F' R2 B' D L2
U' R F2 U R2 F B'
U' R F2 U R2 B' F
U' R F2 U F R2 B'
U' R F2 U F B' R2
U' R F2 U B' R2 F
U' R F2 U B' F R2
F R F' B' R2 D' L2
U2 R F2 U R2 F B'
U2 R F2 U R2 B' F
U2 R F2 U F R2 B'
U2 R F2 U F B' R2
U2 R F2 U B' R2 F
U2 R F2 U B' F R2
U R F2 U R2 F B'
U R F2 U R2 B' F
U R F2 U F R2 B'
U R F2 U F B' R2
U R F2 U B' R2 F
U R F2 U B' F R2
F2 R B U F' R2 B2
F2 R B U F' B2 R2
F2 R B U B2 F' R2
R' U' R2 F2 U F B'
R' U' R2 F2 U B' F
F R B' F' R2 D' L2
F2 R B2 U F' B R2
F2 R B2 U B F' R2
R' U' F2 R2 U F' B'
R' U' F2 R2 U B' F'
R' U' F2 U B' D2 F2
R U' F' R2 B' D L2
R' U' F2 U' B U2 B2
R U' F2 U R2 F B'
R U' F2 U R2 B' F
R U' F2 U F R2 B'
R U' F2 U F B' R2
R U' F2 U B' R2 F
R U' F2 U B' F R2
R2 U' B' R D' L2 F2
R2 U' B' R D' F2 L2
F' R' D B' L D2 F2
U' R' D B' D2 L2 F2
U' R' D B' D2 F2 L2
F' R' D B' D2 L F2
F' R' D B' D2 F2 L
U2 R' D B' D2 L2 F2
U2 R' D B' D2 F2 L2
U R' D B' D2 L2 F2
U R' D B' D2 F2 L2
U' R' D' B' L2 D2 F2
U' R' D' B2 L2 F B
U' R' D' B2 L2 B F
U2 R' D' B' L2 D2 F2
U2 R' D' B2 L2 F B
U2 R' D' B2 L2 B F
U R' D' B' L2 D2 F2
U R' D' B2 L2 F B
U R' D' B2 L2 B F
D2 R' B' L' D F L'
D' R' B' L' D' L' F
R' U2 D R2 U2 F' B'
R' U2 D R2 U2 B' F'
U' R' B' D' L2 D' F2
U' R' B' D2 F2 D L2
R' U2 D B R2 U2 B2
U2 R' B' D' L2 D' F2
F2 R' B' D2 F2 D' L2
U2 R' B' D2 F2 D L2
R' U2 D' B U2 L2 B2
U' R' B2 D' L2 F B
U' R' B2 D' L2 B F
R' U2 D' B U2 B2 L2
U R' B' D' L2 D' F2
U R' B' D2 F2 D L2
U2 R' B2 D' L2 F B
U2 R' B2 D' L2 B F
U R' B2 D' L2 F B
U R' B2 D' L2 B F
R U2 F' R2 B' D L2
R' U2 B U F2 U B2
R' U2 B U2 B2 D' L2
R U2 F2 U R2 F B'
R U2 F2 U R2 B' F
R U2 F2 U F R2 B'
R U2 F2 U F B' R2
R U2 F2 U B' R2 F
R U2 F2 U B' F R2
D R2 U2 D' R F' B'
D R2 U2 D' R B' F'
D R2 U2 D' B' R F'
D R2 D' U2 R F' B'
D R2 D' U2 R B' F'
D R2 D' U2 B' R F'
R2 D R B' D2 F2 L'
R' D R2 U2 F' R2 B'
R' D R2 U2 F' B' R2
R' D R2 U2 B' F' R2
D' R2 B' L2 D R F'
R' D U2 R2 U2 F' B'
R' D U2 R2 U2 B' F'
R' D U2 B R2 U2 B2
R' D F B' D2 L2 F2
R' D F B' D2 F2 L2
R' D F' B' D2 L2 F2
R' D F' B' D2 F2 L2
R' D F2 B' D2 L2 F2
R' D F2 B' D2 F2 L2
F2 U R F R2 F2 B'
F2 U R F R2 B' F2
F2 U R F B' R2 F2
F2 U R F' R B' R
F2 U R F' R2 D B'
F2 U R F' R2 D' B'
F2 U R F' R2 D2 B'
F2 U R F' R2 B' D
F2 U R F' R2 B' D'
F2 U R F' R2 B' D2
F2 U R F' B R2 B2
F2 U R F' B' R2 D
F2 U R F' B' R2 D'
F2 U R F' B' R2 D2
F2 U R F2 R2 F B'
F2 U R F2 R2 B' F
F2 U R F2 B' R2 F
R' D B R2 U2 R2 B2
R' D B R2 U2 B2 R2
F2 U R B F' R2 B2
F2 U R B' F R2 F2
F2 U R B' F' R2 D
F2 U R B' F' R2 D'
F2 U R B' F' R2 D2
F2 U R B' F2 R2 F
F2 U R' U2 B U2 B2
F2 U R' D B' D2 F2
R' D B' L D2 L2 F2
R' D B' L D2 F2 L2
F2 U R' D' B' D2 F2
R' D B' L' D2 L2 F2
R' D B' L' D2 F2 L2
F2 U R' D2 B' D2 F2
R' D B' L2 D2 L2 F2
R' D B' L2 D2 F2 L2
F2 U R' F B' D2 F2
F2 U R' F' B' D2 F2
F2 U R' F2 B' D2 F2
F2 U R' B' U2 B2 U2
F2 U R' B' D2 F2 D
F2 U R' B' D2 F2 D'
F2 U R' B' D2 F2 D2
F2 U R' B' F D2 F2
F2 U R' B' F' D2 F2
F2 U R' B' F2 D2 F2
R' D B' U2 R2 B2 U2
R' D B' U2 B2 R2 U2
R' D B' D2 L F2 L
R' D B' D2 L2 F2 D
R' D B' D2 L2 F2 D'
R' D B' D2 L2 F2 D2
R' D B' D2 F' L2 F'
R' D B' D2 F2 L2 D
R' D B' D2 F2 L2 D'
R' D B' D2 F2 L2 D2
R' D B' F D2 L2 F2
R' D B' F D2 F2 L2
R' D B' F' D2 L2 F2
R' D B' F' D2 F2 L2
R' D B' F2 D2 L2 F2
R' D B' F2 D2 F2 L2
F2 U R2 B' R' F' R2
R' D B2 D2 L2 F B
R' D B2 D2 L2 B F
F2 U F R F' R2 B'
F2 U F R F' B' R2
F2 U F R B' F' R2
R' D' L2 U2 F B U2
R' D' L2 U2 B F U2
F2 U F R' B' D2 F2
F2 U F' R F' R2 B'
F2 U F' R F' B' R2
F2 U F' R B' F' R2
F2 U F' R' B' D2 F2
F2 U F2 R F' R2 B'
F2 U F2 R F' B' R2
F2 U F2 R B' F' R2
F2 U F2 R' B' D2 F2
R2 D' R B' L2 D2 F2
R2 D' R B2 L2 F B
R2 D' R B2 L2 B F
R' D' R2 F' R2 B' L2
R2 D' R' F' R2 B' L2
R' D' R2 F' B' L2 R2
R' D' R2 F' B' R2 L2
R2 D' R' F' B' L2 R2
R2 D' R' F' B' R2 L2
R' D' R2 B' L2 F' R2
R2 D' R' B' L2 F' R2
R' D' R2 B' F' L2 R2
R' D' R2 B' F' R2 L2
R2 D' R' B' F' L2 R2
R2 D' R' B' F' R2 L2
F2 U B' R D2 F' R
R' D' U2 B U2 L2 B2
R' D' U2 B U2 B2 L2
R' D' F B' L2 D2 F2
R' D' F B2 L2 F B
R' D' F B2 L2 B F
R' D' F' B' L2 D2 F2
R' D' F' B2 L2 F B
R' D' F' B2 L2 B F
R' D' F2 B' L2 D2 F2
R' D' F2 B2 L2 F B
R' D' F2 B2 L2 B F
R' D' B L2 B2 D2 F2
R' D' B' L D2 L F2
R' D' B' L D2 F2 L
R' D' B' L' D2 L' F2
R' D' B' L2 U2 B2 U2
R' D' B' L2 D2 F2 D
R' D' B' L2 D2 F2 D'
R' D' B' L2 D2 F2 D2
R' D' B' L2 F D2 F2
R' D' B' L2 F' D2 F2
R' D' B' L2 F2 D2 F2
R2 D' B R B2 L2 F
R D' F2 U' F B' L2
R D' F2 U' B' F L2
F2 U' R' B' D2 F2 L'
R' D' B' U2 B2 U2 L2
R' D' B' D2 F2 D2 L2
R' D' B' F L2 D2 F2
R' D' B' F' L2 D2 F2
R' D' B' F2 L2 D2 F2
R' D' B2 L' B L' F
R' D' B2 L2 D F B
R' D' B2 L2 D B F
R' D' B2 L2 D' F B
R' D' B2 L2 D' B F
R' D' B2 L2 D2 F B
R' D' B2 L2 D2 B F
R' D' B2 L2 F D B
R' D' B2 L2 F D' B
R' D' B2 L2 F D2 B
R' D' B2 L2 F B D
R' D' B2 L2 F B D'
R' D' B2 L2 F B D2
R2 D' B' L2 R' F' R2
R' D' B2 L2 B D F
R' D' B2 L2 B D' F
R' D' B2 L2 B D2 F
R' D' B2 L2 B F D
R' D' B2 L2 B F D'
R' D' B2 L2 B F D2
R2 D' B' R' L2 F' R2
R2 D' B' R' F' L2 R2
R2 D' B' R' F' R2 L2
R' D' B2 F L2 F B
R' D' B2 F L2 B F
R' D' B2 F' L2 F B
R' D' B2 F' L2 B F
R' D' B2 F2 L2 F B
R' D' B2 F2 L2 B F
R D' B' L2 D F' R2
F2 U2 R U' F' R2 B'
F2 U2 R U' F' B' R2
F2 U2 R U' B' F' R2
D' F' R U R2 B' L2
D' F' R U B' L2 R2
D' F' R U B' R2 L2
D' F' R' B' L2 D' F2
R F' R' D R' B' L
R F' R2 U B U' B2
R F' R2 D B' D L2
R F' R2 D' B' D L2
R F' R2 D2 B' D L2
R F' R2 B' L D L2
R F' R2 B' L' D L2
R F' R2 B' L2 D L2
R F' R2 B' U B2 U'
R F' R2 B' D L2 D
R F' R2 B' D L2 D'
R F' R2 B' D L2 D2
R F' U' F' U R2 B'
R F' U' F' U B' R2
R F' B' R2 U B U'
R F' B' U' F' U R2
F' D' F' R U R2 B'
F' D' F' R U B' R2
U' F2 R U F' R2 B'
U' F2 R U F' B' R2
U' F2 R U B' F' R2
U2 F2 R U F' R2 B'
U2 F2 R U F' B' R2
U2 F2 R U B' F' R2
R' F2 R2 U F' R2 B'
R' F2 R2 U F' B' R2
R' F2 R2 U B' F' R2
U F2 R U F' R2 B'
U F2 R U F' B' R2
U F2 R U B' F' R2
R F2 R U R F B'
R F2 R U R B' F
R F2 R U B' R F
U' F2 U R F' R2 B'
U' F2 U R F' B' R2
U' F2 U R B' F' R2
U' F2 U R' B' D2 F2
R F2 R' U R' F B'
R F2 R' U R' B' F
R F2 R' U F R' B'
U2 F2 U R F' R2 B'
U2 F2 U R F' B' R2
U2 F2 U R B' F' R2
U2 F2 U R' B' D2 F2
D' F2 U' R' F' B' L2
D' F2 U' R' B' L2 F'
D' F2 U' R' B' F' L2
U F2 U R F' R2 B'
U F2 U R F' B' R2
U F2 U R B' F' R2
U F2 U R' B' D2 F2
R F2 U R B' R F
R F2 U R' F R' B'
R F2 U R2 D F B'
R F2 U R2 D B' F
R F2 U R2 D' F B'
R F2 U R2 D' B' F
R F2 U R2 D2 F B'
