L2 R F' U R U2
R L2 F' U R U2
R F L2 F2 U' L
R F' L2 U R U2
R F' U' D F2 L'
R F' D U' F2 L'
L R D' L F' B' U'
L R D' L B' F' U'
R L D' L F' B' U'
R L D' L B' F' U'
L R D' F' L B' U'
R L D' F' L B' U'
L2 R D2 F' B' U' L
L2 R D2 B' F' U' L
L R F L F2 U' L2
R L F L F2 U' L2
L2 R F U' L' D R2
L2 R F U' D L' R2
L2 R F U' D R2 L'
L2 R F D U' L' R2
L2 R F D U' R2 L'
L R F' L U R U2
R L F' L U R U2
L2 R F' U R U2 D
L2 R F' U R U2 D'
L2 R F' U R U2 D2
L2 R F' U R D U2
L2 R F' U R D' U2
L2 R F' U R D2 U2
L2 R F' U D R U2
L2 R F' U D' R U2
L2 R F' U D2 R U2
L2 R F' U' F2 L' F2
L2 R F' U2 F2 U L'
L2 R F' D U R U2
L2 R F' D' U R U2
L2 R F' D2 U R U2
L2 R F' B U R U2
L2 R F' B' U R U2
L2 R F' B2 U R U2
L2 R B F' U R U2
L2 R B' F' U R U2
L2 R B2 F' U R U2
L2 R' F2 R2 F' U' L'
L2 R2 D R' F' B U'
L2 R2 D R' B F' U'
R2 L2 D R' F' B U'
R2 L2 D R' B F' U'
B' L2 R F' U R U2
U' L2 R F' U R U2
B2 L2 R F' U R U2
U2 L2 R F' U R U2
B L2 R F' U R U2
F L2 R F' R U' L
U L2 R F' U R U2
R L2 D2 F' B' U' L
R L2 D2 B' F' U' L
R L2 F U' L' D R2
R L2 F U' D L' R2
R L2 F U' D R2 L'
R L2 F D U' L' R2
R L2 F D U' R2 L'
R L2 F' U R U2 D
R L2 F' U R U2 D'
R L2 F' U R U2 D2
R L2 F' U R D U2
R L2 F' U R D' U2
R L2 F' U R D2 U2
R L2 F' U D R U2
R L2 F' U D' R U2
R L2 F' U D2 R U2
R L2 F' U' F2 L' F2
R L2 F' U2 F2 U L'
R L2 F' D U R U2
R' L2 F2 R2 F' U' L'
R L2 F' D' U R U2
R L2 F' D2 U R U2
R L2 F' B U R U2
R L2 F' B' U R U2
R L2 F' B2 U R U2
L2 R2 F2 R' F' U' L'
R2 L2 F2 R' F' U' L'
R L2 B F' U R U2
R L2 B' F' U R U2
R L2 B2 F' U R U2
F L2 F' R F' U' L
B' R L2 F' U R U2
U' R L2 F' U R U2
B2 R L2 F' U R U2
U2 R L2 F' U R U2
B R L2 F' U R U2
F R L2 F' R U' L
U R L2 F' U R U2
B' R F L2 F2 U' L
U' R F L2 F2 U' L
