D' R2 B' L F B2
D' R2 B' L B2 F
D' B' L R2 F B
D' B' L R2 B F
D' B' R2 L F B
D' B' R2 L B F
D' B2 R2 B L F
D' L R2 D2 F L' B
D' L R2 D2 F B L'
D' L R2 D2 B F L'
D' L R2 F B' L B2
D' L R2 B' F L B2
D L F L' D2 R2 B2
D L F L' D2 B2 R2
D L F D2 B2 L' R'
D L F D2 B2 R' L'
D L F' L R U2 F2
D L F' L U2 F2 L'
D L F' R L U2 F2
D' L B' R2 F L B
D' L B2 R2 F B L
D' L B2 R2 B F L
B2 L' F U' F2 B' U2
B2 L' F U' B' F2 U2
B2 L' F D' L2 U F
D' L' F' B' U2 L R2
D' L' F' B' U2 R2 L
D L' B' L' F' R U2
F' L' B' U F B' U
F' L' B' U B' F U
D' L' B' U2 L R2 B
D' L' B' U2 R2 L B
D' L' B' F' U2 L R2
D' L' B' F' U2 R2 L
D' L' B2 R2 F' B L
D' L' B2 R2 B L F'
D' L' B2 R2 B F' L
B2 L2 U' F' U2 L' F
D L2 F' U2 F2 L' F
D L2 F' D2 R U2 F'
D' R B' L R F B
D' R B' L R B F
D' R B' R L F B
D' R B' R L B F
D' R B2 R B L F
D' R2 L D2 F L' B
D' R2 L D2 F B L'
D' R2 L D2 B F L'
D' R2 L F B' L B2
D' R2 L B' F L B2
D' R2 D2 L F L' B
D' R2 D2 L F B L'
D' R2 D2 L B F L'
D' R2 D2 B L F L'
D' R2 F B' L F B2
D' R2 F B' L B2 F
D' R2 F' B' L F B2
D' R2 F' B' L B2 F
D' R2 F2 B' L F B2
D' R2 F2 B' L B2 F
D' R2 B U2 R' U2 F'
D' R2 B' L F B2 D
D' R2 B' L F B2 D'
D' R2 B' L F B2 D2
D' R2 B' L B2 D F
D' R2 B' L B2 D' F
D' R2 B' L B2 D2 F
D' R2 B' L B2 F D
D' R2 B' L B2 F D'
D' R2 B' L B2 F D2
D' R2 B' L2 B2 L' F
D' R2 B' F L F B2
D' R2 B' F L B2 F
D' R2 B' F' L F B2
D' R2 B' F' L B2 F
D' R2 B' F2 L F B2
D' R2 B' F2 L B2 F
U2 D L2 F' R B U2
U2 D F' L2 R B U2
U2 D F' R L2 B U2
U2 D F' R B L2 U2
L D' R2 F B D L2
L D' R2 B D F L2
L D' R2 B F D L2
R2 D' B' L R2 F B2
R2 D' B' L R2 B2 F
R2 D' B' L F R2 B2
R2 D' B' L F B2 R2
R2 D' B' L B2 R2 F
R2 D' B' L B2 F R2
R2 D' B' R2 L F B2
R2 D' B' R2 L B2 F
L D' B' U' R2 F B
L D' B' U' R2 B F
D U2 L2 F' R B U2
D U2 F' L2 R B U2
D U2 F' R L2 B U2
D U2 F' R B L2 U2
F' D L2 U2 L' F L'
F' D L2 U2 F L' F
L' F D' L2 U R2 F
L' F D' L2 U F R2
D F D2 L' B2 R2 F'
L' F B2 U' F2 B U2
L' F B2 U' B F2 U2
D' F' L' B' U2 L R2
D' F' L' B' U2 R2 L
D F' L' R B' L' U2
D F' L' B' L' R U2
D F' L' B' R L' U2
D F' L2 U2 F2 L' F
D F' L2 D2 R U2 F'
D F' R L' B' L' U2
L' F' U2 D' L2 R2 F
L' F' U2 D' L2 F R2
L' F' U2 D' R2 L2 F
L' F' D L2 R2 U2 F
L' F' D R2 L2 U2 F
L' F' D R2 B' L2 U2
F' D' L' B' U2 L R2
F' D' L' B' U2 R2 L
L' F' D B' L2 R2 U2
