B2 R' B L U'
B2 L R' B L U'
B' L B' R' B U'
B2 L' R' B L U'
B2 L2 R' B L U'
B2 R' L B L U'
B2 R' L' B L U'
B2 R' L2 B L U'
B2 R' D B L U'
B2 R' D' B L U'
B2 R' D2 B L U'
B2 R' B L U' D
B2 R' B L U' D'
B2 R' B L U' D2
B2 R' B L D U'
B2 R' B L D' U'
B2 R' B L D2 U'
B2 R' B D L U'
B2 R' B D' L U'
B2 R' B D2 L U'
B' D2 L B' R' U'
B' L R U2 F' L' U
U2 L R D2 F' R U
B2 L R' D B L U'
B2 L R' D' B L U'
B2 L R' D2 B L U'
B' L R' B U2 L U
B2 L R' B L U' D
B2 L R' B L U' D'
B2 L R' B L U' D2
B2 L R' B L D U'
B2 L R' B L D' U'
B2 L R' B L D2 U'
B' L R' B' R' B2 U'
B2 L R' B D L U'
B2 L R' B D' L U'
B2 L R' B D2 L U'
F L R2 B R' F' U
D L U B' U2 L B
B' L U' L' D B' L
B' L U' D L' B' L
B' L D U' L' B' L
B' L D B' R' U' L
B L B R' B L U'
B' L B' R' D B U'
B' L B' R' D' B U'
B' L B' R' D2 B U'
B' L B' R' B U' D
B' L B' R' B U' D'
B' L B' R' B U' D2
B' L B' R' B D U'
B' L B' R' B D' U'
B' L B' R' B D2 U'
B' L B2 R' B R' U'
B2 L' R' D B L U'
B2 L' R' D' B L U'
B2 L' R' D2 B L U'
B2 L' R' B L U' D
B2 L' R' B L U' D'
B2 L' R' B L U' D2
B2 L' R' B L D U'
B2 L' R' B L D' U'
B2 L' R' B L D2 U'
B2 L' R' B D L U'
B2 L' R' B D' L U'
B2 L' R' B D2 L U'
R' L' B U2 L2 R' U
R' L' B U2 R' L2 U
L' R' B U2 L2 R' U
L' R' B U2 R' L2 U
L2 R' B U2 L' R' U
L2 R' B U2 R' L' U
R' L' B' L B2 R' U'
L' R' B' L B2 R' U'
D L' D2 R2 U' F L'
B L' B R' B L U'
B' L' B' L2 R' B U'
B' L' B' R' L2 B U'
B' L' B' R' B L2 U'
B2 L2 R' D B L U'
B2 L2 R' D' B L U'
B2 L2 R' D2 B L U'
B2 L2 R' B L U' D
B2 L2 R' B L U' D'
B2 L2 R' B L U' D2
B2 L2 R' B L D U'
B2 L2 R' B L D' U'
B2 L2 R' B L D2 U'
B2 L2 R' B D L U'
B2 L2 R' B D' L U'
B2 L2 R' B D2 L U'
R' L2 B U2 L' R' U
R' L2 B U2 R' L' U
B L2 B R' B L U'
B' L2 B' L' R' B U'
B' L2 B' R' L' B U'
B' L2 B' R' B L' U'
B' R L U2 F' L' U
U2 R L D2 F' R U
U2 R D2 L F' R U
U2 R D2 F' L R U
U2 R D2 F' R L U
B2 R B L R2 B U'
B2 R B R2 L B U'
B2 R' L D B L U'
B2 R' L D' B L U'
B2 R' L D2 B L U'
B' R' L B U2 L U
B' R' L B' R' B2 U'
B2 R' L B L U' D
B2 R' L B L U' D'
B2 R' L B L U' D2
B2 R' L B L D U'
B2 R' L B L D' U'
B2 R' L B L D2 U'
B2 R' L B D L U'
B2 R' L B D' L U'
B2 R' L B D2 L U'
B2 R' L' D B L U'
B2 R' L' D' B L U'
B2 R' L' D2 B L U'
B2 R' L' B L U' D
B2 R' L' B L U' D'
B2 R' L' B L U' D2
B2 R' L' B L D U'
B2 R' L' B L D' U'
B2 R' L' B L D2 U'
B2 R' L' B D L U'
B2 R' L' B D' L U'
B2 R' L' B D2 L U'
B2 R' L2 D B L U'
B2 R' L2 D' B L U'
B2 R' L2 D2 B L U'
B2 R' L2 B L U' D
B2 R' L2 B L U' D'
B2 R' L2 B L U' D2
B2 R' L2 B L D U'
B2 R' L2 B L D' U'
B2 R' L2 B L D2 U'
B2 R' L2 B D L U'
B2 R' L2 B D' L U'
B2 R' L2 B D2 L U'
B2 R' D L B L U'
B2 R' D L' B L U'
B2 R' D L2 B L U'
B2 R' D B L U' D
B2 R' D B L U' D'
B2 R' D B L U' D2
B2 R' D B L D U'
B2 R' D B L D' U'
B2 R' D B L D2 U'
B2 R' D B D L U'
B2 R' D B D' L U'
B2 R' D B D2 L U'
B2 R' D' L B L U'
B2 R' D' L' B L U'
B2 R' D' L2 B L U'
B2 R' D' B L U' D
B2 R' D' B L U' D'
B2 R' D' B L U' D2
B2 R' D' B L D U'
B2 R' D' B L D' U'
B2 R' D' B L D2 U'
B2 R' D' B D L U'
B2 R' D' B D' L U'
B2 R' D' B D2 L U'
B2 R' D2 L B L U'
B2 R' D2 L' B L U'
B2 R' D2 L2 B L U'
R U2 L D2 F' R U
B2 R' D2 B L U' D
B2 R' D2 B L U' D'
B2 R' D2 B L U' D2
B2 R' D2 B L D U'
B2 R' D2 B L D' U'
B2 R' D2 B L D2 U'
B2 R' D2 B D L U'
B2 R' D2 B D' L U'
B2 R' D2 B D2 L U'
B2 R' F B L F' U'
B2 R' F2 B L F2 U'
B2 R' B L' U' D F2
B2 R' B L' D U' F2
B2 R' B L2 D L' U'
B2 R' B L2 D' L' U'
B2 R' B L2 D2 L' U'
B2 R' B D L U' D
B2 R' B D L U' D'
B2 R' B D L U' D2
B2 R' B D L D U'
B2 R' B D L D' U'
