F2 U' F R B'
F2 U' F B' R
F2 U' B' F R
U' F R F2 B'
U' F R B' F2
U' F B' R F2
U' B' F R F2
F2 R U' F R B'
F2 R U' F B' R
F2 R U' B' F R
R2 U B L U2 B2
R2 U B U2 B2 R'
R' U' F R F' B'
R' U' F R B' F'
R' U' F B' R F'
F2 R' U' F R B'
F2 R' U' F B' R
F2 R' U' B' F R
R' U' B' F R F'
U' R' F R F' B'
U' R' F R B' F'
U' R' F B' R F'
U' R' B' F R F'
F2 R2 U' F R B'
F2 R2 U' F B' R
F2 R2 U' B' F R
U' D F R F2 B'
U' D F R B' F2
U' D F B' R F2
U' D B' F R F2
F U B' R' F2 L'
U' D' F R F2 B'
U' D' F R B' F2
D2 U' F R F2 B'
D2 U' F R B' F2
F2 U' R F R B'
F2 U' R F B' R
D' U' F R F2 B'
D' U' F R B' F2
U' D' F B' R F2
F2 U' R B' F R
D2 U' F B' R F2
D' U' F B' R F2
F2 U' R' F R B'
F2 U' R' F B' R
D U' F R F2 B'
D U' F R B' F2
F2 U' R' B' F R
D U' F B' R F2
F2 U' R2 F R B'
F2 U' R2 F B' R
F2 U' R2 B' F R
F2 U' D F R B'
F2 U' D F B' R
F2 U' D B' F R
F2 U' D' F R B'
F2 U' D' F B' R
F2 U' D' B' F R
U' D' B' F R F2
F2 U' D2 F R B'
F2 U' D2 F B' R
D2 U' B' F R F2
D' U' B' F R F2
F2 U' D2 B' F R
F2 U' F R D B'
F2 U' F R D' B'
F2 U' F R D2 B'
F2 U' F R B' D
F2 U' F R B' D'
F2 U' F R B' D2
F2 U' F R' B' R2
F2 U' F D R B'
F2 U' F D B' R
F2 U' F D' R B'
F2 U' F D' B' R
F2 U' F D2 R B'
F2 U' F D2 B' R
F2 U' F B R B2
F2 U' F B' R D
F2 U' F B' R D'
F2 U' F B' R D2
F2 U' F B' D R
F2 U' F B' D' R
F2 U' F B' D2 R
D U' B' F R F2
F U' F R F B'
F U' F R B' F
F U' F B' R F
F2 U' B F R B2
F2 U' B' R F R
F2 U' B' R' F R
F2 U' B' R2 F R
F2 U' B' D F R
F2 U' B' D' F R
F2 U' B' D2 F R
F2 U' B' F R D
F2 U' B' F R D'
F2 U' B' F R D2
F2 U' B' F D R
F2 U' B' F D' R
F2 U' B' F D2 R
F2 U' B' F D2 R
F U' B' F R F
U' D2 F R F2 B'
U' D2 F R B' F2
U' D2 F B' R F2
U' D2 B' F R F2
L F L' U' F2 B'
L F L' U' B' F2
U' F R F2 D B'
U' F R F2 D' B'
U' F R F2 D2 B'
U' F R F2 B' D
U' F R F2 B' D'
U' F R F2 B' D2
U' F R B' F2 D
U' F R B' F2 D'
U' F R B' F2 D2
U' F R' F2 R2 B'
U' F R' F2 B' R2
U' F R' B' R2 F2
U' F R' B' F2 R2
U' F R2 F2 R' B'
U' F B R F2 B2
U' F B R B2 F2
U' F B' R F2 D
U' F B' R F2 D'
U' F B' R F2 D2
U' F B' R' F2 R2
U' F B' R2 F2 R'
U F B' R' F2 L'
F2 D U' F R B'
F2 D U' F B' R
F2 D U' B' F R
U' F' B' U2 L' U2
F2 D' U' F R B'
F2 D' U' F B' R
F2 D' U' B' F R
D' F2 U' F R B'
D' F2 U' F B' R
D2 F2 U' F R B'
D2 F2 U' F B' R
D' F2 U' B' F R
D2 F2 U' B' F R
D F2 U' F R B'
D F2 U' F B' R
D F2 U' B' F R
U F2 U2 F R B'
U F2 U2 F B' R
U F2 U2 B' F R
F2 D2 U' F R B'
F2 D2 U' F B' R
F2 D2 U' B' F R
U B L U2 F' B2
U B L U2 B2 F'
U B U2 F' B2 R'
U B U2 B2 F' R'
U' B F R F2 B2
U' B F R B2 F2
U' B' R' F R F'
U' B' D F R F2
U' B' D' F R F2
U' B' D2 F R F2
U' B' F R F2 D
U' B' F R F2 D'
U' B' F R F2 D2
U' B' F R' F2 R2
U' B' F R2 F2 R'
U' B' F R2 F2 R'
U' B' F' U2 L' U2
U' B' F' U2 L' U2
U B' F R' F2 L'
U B2 U2 F' B R'
U B2 U2 B F' R'
B' L U F B U' F2
B' L U B F U' F2
R' L D' F L' U' B'
U L U2 F R F2 B
U L U2 F R B F2
F2 L D F L' U' B'
D' L F L' U' F2 B'
D' L F L' U' B' F2
D2 L F L' U' F2 B'
D2 L F L' U' B' F2
F' L F L' U' F' B'
F' L F L' U' B' F'
F2 L F L' U' F B'
F2 L F L' U' B' F
D L F L' U' F2 B'
D L F L' U' B' F2
B' L F B U' F2 B'
B' L F B U' B' F2
B2 L F B2 U' F2 B'
B2 L F B2 U' B' F2
B' L F' U F2 B U'
B' L F' U B F2 U'
B2 L F' D L2 B R2
B2 L F' D B L2 R2
B2 L F' D B R2 L2
U L F2 U2 F R B
U L B L F U2 F2
B' L B F U' F2 B'
B' L B F U' B' F2
B2 L B2 F U' F2 B'
B2 L B2 F U' B' F2
L R' D' F L' U' B'
U' L' U2 L F' B' R'
U' L' U2 L B' F' R'
U' L' U2 F' L B' R'
U' L' F L R F2 B'
U' L' F L R B' F2
U' L' F L B' R F2
U' L' F R L F2 B'
U' L' F R L B' F2
U' L' F R F2 L B'
U' L' F' L D2 R2 B'
U' L' F' L D2 B' R2
U' L' F' L B' D2 R2
U L' B L U2 F' B'
U L' B L U2 B' F'
U' L2 U2 L2 F' B' R'
U' L2 U2 L2 B' F' R'
B2 L2 D L2 F' B R
B2 L2 D L2 B F' R
B2 L2 D F' L2 B R
B2 L2 D F' B L2 R
B2 L2 D F' B R L2
B2 L2 D B L2 F' R
B2 L2 D B F' L2 R
B2 L2 D B F' R L2
R2 U L B L F U2
U' L2 F U2 L2 R F2
U' L2 F U2 R L2 F2
