U' L U2 D L' F
U' L D U2 L' F
U' D L B' U2 L'
U D L B' U2 B
D U L B' U2 B
B2 U R' D L2 F'
B2 U R' D F' L2
B2 U R' F' D L2
B2 U D L2 R' F'
B2 U D R' L2 F'
B2 U D R' F' L2
D U' L B' U2 L'
B2 D U L2 R' F'
B2 D U R' L2 F'
B2 D U R' F' L2
B2 D2 F2 U R' F'
U' L R U2 D L' F
U' L R D U2 L' F
U' L R' U2 D L' F
U' L R' D U2 L' F
U' L R2 U2 D L' F
U' L R2 D U2 L' F
U' L U' B' L U' L2
U' L U2 D L' D F
U' L U2 D L' D' F
U' L U2 D L' D2 F
U' L U2 D L' F D
U' L U2 D L' F D'
U' L U2 D L' F D2
U' L D R U2 L' F
U' L D R' U2 L' F
U' L D R2 U2 L' F
U' L D U2 L' D F
U' L D U2 L' D' F
U' L D U2 L' D2 F
U' L D U2 L' F D
U' L D U2 L' F D'
U' L D U2 L' F D2
U' L D B U2 L' F
U' L D B' U2 L' F
U' L D B2 U2 L' F
U' L D' R U2 L' F'
U' L D' R' B U2 L'
U' L B U R' U L'
U L B U R' U B'
U' L B' U' L U' L2
U' L B' U2 L' D F2
U L B' U' L U' B
R' U D L B' U2 B
L2 U D L' F2 U2 F'
R2 U D L B' U2 B
R U D L B' U2 B
U' R L U2 D L' F
U' R L D U2 L' F
D R U L B' U2 B
D' R U' L U2 L' F'
D R U' L B' U2 L'
U' R D L B' U2 L'
R' U' L U2 D L' F
R' U' L D U2 L' F
R2 U' L U2 D L' F
R2 U' L D U2 L' F
R U' L U2 D L' F
R U' L D U2 L' F
R' U' D L B' U2 L'
R2 U' D L B' U2 L'
U2 R B2 L U R' F'
R U' D L B' U2 L'
L2 U' D' F2 R F' B2
L2 U' D' F2 R B2 F'
U' R' L U2 D L' F
L2 U' D' F2 B2 R F'
U' R' L D U2 L' F
L2 U' D' B2 F2 R F'
D' R' U L B U2 B'
D R' U L B' U2 B
D' R' U' L B U2 L'
L2 U' F2 D' R F' B2
L2 U' F2 D' R B2 F'
L2 U' F2 D' B2 R F'
D R' U' L B' U2 L'
U' R' D L B' U2 L'
B R' U2 B' U L U2
L' U2 L B2 U R' F'
L U2 L' B R' U R
L2 U2 L2 B2 U R' F'
B R' B U R' D L2
B R' B U D L2 R'
B R' B U D R' L2
B R' B D U L2 R'
B R' B D U R' L2
B R' B D2 F2 U R'
B' R' B' U R' F' L'
B R' B' U' L U2 L'
U' R2 L U2 D L' F
U' R2 L D U2 L' F
D R2 U L B' U2 B
D R2 U' L B' U2 L'
L U2 B L' R' U R
L U2 B R' L' U R
U' R2 D L B' U2 L'
B' R2 F' B' U R' F'
R' D U L B' U2 B
B' R2 B' F' U R' F'
R' D U' L B' U2 L'
L2 D U L' F2 U2 F'
R2 D U L B' U2 B
R D U L B' U2 B
U' D L R B' U2 L'
U' D L R' B' U2 L'
R2 D U' L B' U2 L'
U' D L R2 B' U2 L'
U' D L U2 L2 F L
B2 U L R' D L2 F'
B2 U L R' D F' L2
B2 U L R' F' D L2
U' D L D B' U2 L'
U' D L D' B' U2 L'
U' D L D2 B' U2 L'
B2 U L D L2 R' F'
B2 U L D R' L2 F'
B2 U L D R' F' L2
R D U' L B' U2 L'
B' U L B U' B' R'
U' D L B' R U2 L'
U' D L B' R' U2 L'
U' D L B' R2 U2 L'
U' D L B' U2 L' D
U' D L B' U2 L' D'
U' D L B' U2 L' D2
U' D L B' U2 D L'
U' D L B' U2 D' L'
U' D L B' U2 D2 L'
U' D L B' D U2 L'
U' D L B' D' U2 L'
U' D L B' D2 U2 L'
D U L D B' U2 B
B2 U L' R' D L2 F'
B2 U L' R' D F' L2
D U L D' B' U2 B
B2 U L' R' F' D L2
D U L D2 B' U2 B
D U L F B' U2 B
D U L F' B' U2 B
D U L F2 B' U2 B
B2 U L' D L2 R' F'
B2 U L' D R' L2 F'
B2 U L' D R' F' L2
U D L D B' U2 B
D U L B' U2 D B
D U L B' U2 D' B
D U L B' U2 D2 B
D U L B' U2 B D
D U L B' U2 B D'
D U L B' U2 B D2
D U L B' D U2 B
D U L B' D' U2 B
D U L B' D2 U2 B
D U L B' F U2 B
U D L D' B' U2 B
D U L B' F' U2 B
D U L B' F2 U2 B
U D L D2 B' U2 B
U D L F B' U2 B
U D L F' B' U2 B
U D L F2 B' U2 B
U D L B' U2 D B
U D L B' U2 D' B
U D L B' U2 D2 B
U D L B' U2 B D
U D L B' U2 B D'
U D L B' U2 B D2
U D L B' D U2 B
U D L B' D' U2 B
U D L B' D2 U2 B
U D L B' F U2 B
U D L B' F' U2 B
U D L B' F2 U2 B
B2 U L2 R' D L2 F'
B2 U L2 R' D F' L2
B2 U L2 R' F' D L2
B2 U L2 D L2 R' F'
B2 U L2 D R' L2 F'
B2 U L2 D R' F' L2
U' D R L B' U2 L'
U' D R' L B' U2 L'
B2 U R' L D L2 F'
B2 U R' L D F' L2
B2 U R' L F' D L2
B2 U R' L' D L2 F'
B2 U R' L' D F' L2
B2 U R' L' F' D L2
B2 U R' L2 D L2 F'
B2 U R' L2 D F' L2
B2 U R' L2 F' D L2
B2 U R' U B2 U' F'
B2 U R' D L F' L
B2 U R' D L2 D F'
B2 U R' D L2 D' F'
B2 U R' D L2 D2 F'
B2 U R' D L2 F' D
B2 U R' D L2 F' D'
B2 U R' D L2 F' D2
B2 U R' D F L2 F2
B2 U R' D F' L2 D
B2 U R' D F' L2 D'
B2 U R' D F' L2 D2
B2 U R' D' F' D2 L2
B2 U R' F' L D L2
B2 U R' F' L' D L2
B2 U R' F' L2 D L2
B2 U R' F' U B2 U'
B2 U R' F' D L2 D
B2 U R' F' D L2 D'
B2 U R' F' D L2 D2
U' D R2 L B' U2 L'
B2 U R' F2 D F L2
F' U D L B' U2 B
B2 U D L R' F' L
B2 U D L2 R' D F'
B2 U D L2 R' D' F'
B2 U D L2 R' D2 F'
B2 U D L2 R' F' D
B2 U D L2 R' F' D'
B2 U D L2 R' F' D2
F2 U D L B' U2 B
B2 U D L2 D R' F'
B2 U D L2 D' R' F'
B2 U D L2 D2 R' F'
B2 U D L2 F R' F'
B2 U D L2 F' R' F'
B2 U D L2 F2 R' F'
B2 U D R' L F' L
B2 U D R' L2 D F'
B2 U D R' L2 D' F'
B2 U D R' L2 D2 F'
B2 U D R' L2 F' D
B2 U D R' L2 F' D'
B2 U D R' L2 F' D2
B2 U D R' F L2 F2
B2 U D R' F' L2 D
B2 U D R' F' L2 D'
B2 U D R' F' L2 D2
B2 U D F L2 R' F'
B2 U D F R' L2 F'
B2 U D F R' F' L2
B2 U D F' L2 R' F'
B2 U D F' R' L2 F'
B2 U D F' R' F' L2
B2 U D F2 L2 R' F'
B2 U D F2 R' L2 F'
B2 U D F2 R' F' L2
D U F L B' U2 B
F U D L B' U2 B
U D F L B' U2 B
D U F' L B' U2 B
B2 U D2 R' D' L2 F'
B2 U D2 R' D' F' L2
U D F' L B' U2 B
D U F2 L B' U2 B
B2 U F R' D L2 F'
B2 U F R' D F' L2
B2 U F R' F' D L2
B2 U F D L2 R' F'
B2 U F D R' L2 F'
B2 U F D R' F' L2
U D F2 L B' U2 B
B2 U F' R' D L2 F'
B2 U F' R' D F' L2
B2 U F' R' F' D L2
B2 U F' D L2 R' F'
B2 U F' D R' L2 F'
B2 U F' D R' F' L2
B2 U F2 R' D L2 F'
B2 U F2 R' D F' L2
B2 U F2 R' F' D L2
B2 U F2 D L2 R' F'
B2 U F2 D R' L2 F'
B2 U F2 D R' F' L2
D' U' L R U2 L' F'
U' D' L R U2 L' F'
D' U' L R' B U2 L'
U' D' L R' B U2 L'
D' U' L U2 D2 L' F
U' D' L U2 D2 L' F
D2 U' L U2 D' L' F
D' U' L D2 U2 L' F
D2 U' L D' U2 L' F
U' D' L D2 U2 L' F
D U' L R B' U2 L'
D U' L R' B' U2 L'
D U' L R2 B' U2 L'
D U' L U2 L2 F L
D U' L D B' U2 L'
D U' L D' B' U2 L'
D U' L D2 B' U2 L'
D U' L B' R U2 L'
D U' L B' R' U2 L'
D U' L B' R2 U2 L'
D U' L B' U2 L' D
D U' L B' U2 L' D'
D U' L B' U2 L' D2
D U' L B' U2 D L'
D U' L B' U2 D' L'
D U' L B' U2 D2 L'
D U' L B' D U2 L'
D U' L B' D' U2 L'
D U' L B' D2 U2 L'
U' D' R L U2 L' F'
D' U' R L U2 L' F'
F' U' L U2 D L' F
L2 D' U' F2 R F' B2
L2 D' U' F2 R B2 F'
L2 D' U' F2 B2 R F'
F' U' L D U2 L' F
L2 D' U' B2 F2 R F'
F2 U' L U2 D L' F
F2 U' L D U2 L' F
U' D' R' L B U2 L'
D' U' R' L B U2 L'
D U' R L B' U2 L'
F U' L U2 D L' F
F U' L D U2 L' F
D U' R' L B' U2 L'
D U' R2 L B' U2 L'
L2 D' F2 U' R F' B2
L2 D' F2 U' R B2 F'
L2 D' F2 U' B2 R F'
F' U' D L B' U2 L'
F2 U' D L B' U2 L'
F U' D L B' U2 L'
U' D2 L U2 D' L' F
U' D2 L D' U2 L' F
B' U2 L F B U' R
B' U2 L B F U' R
L2 D2 F2 R2 U' R' F'
B' U2 F L B U' R
B2 U2 B2 U L U2 F
D F U L B' U2 B
D F U' L B' U2 L'
U F D L B' U2 B
F' D U L B' U2 B
B2 D U L R' F' L
B2 D U L2 R' D F'
B2 D U L2 R' D' F'
B2 D U L2 R' D2 F'
B2 D U L2 R' F' D
B2 D U L2 R' F' D'
B2 D U L2 R' F' D2
F2 D U L B' U2 B
B2 D U L2 D R' F'
B2 D U L2 D' R' F'
B2 D U L2 D2 R' F'
B2 D U L2 F R' F'
B2 D U L2 F' R' F'
B2 D U L2 F2 R' F'
B2 D U R' L F' L
B2 D U R' L2 D F'
B2 D U R' L2 D' F'
B2 D U R' L2 D2 F'
B2 D U R' L2 F' D
B2 D U R' L2 F' D'
B2 D U R' L2 F' D2
B2 D U R' F L2 F2
B2 D U R' F' L2 D
B2 D U R' F' L2 D'
B2 D U R' F' L2 D2
B2 D U F L2 R' F'
B2 D U F R' L2 F'
B2 D U F R' F' L2
B2 D U F' L2 R' F'
B2 D U F' R' L2 F'
B2 D U F' R' F' L2
B2 D U F2 L2 R' F'
B2 D U F2 R' L2 F'
B2 D U F2 R' F' L2
F' D U' L B' U2 L'
F2 D U' L B' U2 L'
F D U L B' U2 B
F D U' L B' U2 L'
B2 D F U L2 R' F'
B2 D F U R' L2 F'
B2 D F U R' F' L2
D2 F' R U' L U2 L'
B2 D F' U L2 R' F'
B2 D F' U R' L2 F'
B2 D F' U R' F' L2
B2 D F2 U L2 R' F'
B2 D F2 U R' L2 F'
B2 D F2 U R' F' L2
D F' U L B' U2 B
D F' U' L B' U2 L'
U F' D L B' U2 B
B D' R' B U D L2
B D' R' B U2 B2 U'
B D' R' B D U L2
B D' R' B D2 F2 U
D F2 U L B' U2 B
L2 F2 U' D' R F' B2
L2 F2 U' D' R B2 F'
L2 F2 U' D' B2 R F'
D F2 U' L B' U2 L'
U F2 D L B' U2 B
L2 F2 D' U' R F' B2
L2 F2 D' U' R B2 F'
L2 F2 D' U' B2 R F'
B2 D2 U R' D' L2 F'
B2 D2 U R' D' F' L2
B2 D2 F2 U R' D F'
B2 D2 F2 U R' D' F'
B2 D2 F2 U R' D2 F'
B2 D2 F2 U R' F' D
B2 D2 F2 U R' F' D'
B2 D2 F2 U R' F' D2
B2 D2 F2 U D R' F'
B2 D2 F2 U D' R' F'
B2 D2 F2 U D2 R' F'
B2 D2 F2 U F R' F'
B2 D2 F2 U F' R' F'
B2 D2 F2 U F2 R' F'
B2 D2 F2 D U R' F'
B2 D2 F2 D' U R' F'
B2 D2 F2 D2 U R' F'
B2 F U R' D L2 F'
B2 F U R' D F' L2
B2 F U R' F' D L2
B2 F U D L2 R' F'
B2 F U D R' L2 F'
B2 F U D R' F' L2
B2 F D U L2 R' F'
B2 F D U R' L2 F'
B2 F D U R' F' L2
B2 F D2 F2 U R' F'
U B' U' L F U' B
B2 F' U R' D L2 F'
B2 F' U R' D F' L2
B2 F' U R' F' D L2
B2 F' U D L2 R' F'
B2 F' U D R' L2 F'
