F R D B2 L' R'
F R D B2 R' L'
R' U' F L' D2 R2
B2 R' F L' D' B2
R F D B2 L' R'
R F D B2 R' L'
B2 F L' R' D' B2
B2 F L' D' R' B2
B2 F R' L' D' B2
F B2 L' R' D' B2
F B2 L' D' R' B2
R' B2 U' R' F L'
R' B2 U' F L' R'
R' B2 U' F R' L'
F B2 R' L' D' B2
F' L R U' R2 U' F2
F' L R U2 F2 D B2
B2 L U L' R' F L'
B2 L U L' F L' R'
B2 L U L' F R' L'
B2 L U R' L' F L'
B2 L U R' F L' F
B2 L U F L' R' F
B2 L U F L' F R'
B2 L U F R' L' F
B2 L F U L' R' F
B2 L F U L' F R'
B2 L F U R' L' F
F L' R D B2 D R2
F L' R D2 R2 D' B2
F L' R' D2 R2 D B2
F L' U R' U L2 U2
F L' U R' U' D2 R2
F L' U R' D F2 U'
F L' U R' D2 U' R2
F L' U D R' F2 U'
F L' U D F2 R' U'
F L' U D2 R' U' R'
F L' U' D' B2 L U
F L' U2 L2 U' R' U'
F L' D R D R2 B2
F L' D R D B2 R2
F L' D U R' F2 U'
F L' D U F2 R' U'
F L' D' U' B2 L U
F L' D2 R D R B2
F L' D2 R D B2 R
F L' D2 R2 U R U'
F L' D2 U R' U' R'
R' U L U2 L' F L'
R' U L U2 F L' F
F' L2 F2 L' R D B2
F' L2 F2 R L' D B2
F' L2 F2 R D L' B2
F' L2 F2 R D B2 L'
F' R L U' R2 U' F2
F' R L U2 F2 D B2
R' U F L' D2 R2 B
F R L' D B2 D R2
F R L' D2 R2 D' B2
R U F D B2 L' R'
R U F D B2 R' L'
F' R U2 F2 D B2 R'
R' U B' U2 F L' R
R' U B' U2 F R L'
D' R D F B2 L' R'
D' R D F B2 R' L'
F R D L' B2 D2 R2
D' R D B2 R' F L'
F R D R B2 L' R'
F R D R B2 R' L'
D' R D B2 F L' R'
D' R D B2 F R' L'
R' U B2 U2 R' F L'
R' U B2 U2 F L' R'
R' U B2 U2 F R' L'
F R D R' B2 L' R'
F R D R' B2 R' L'
F R D R2 B2 L' R'
F R D R2 B2 R' L'
F2 R D B2 R' F' L'
F R D B L' B R'
F R D B2 L' R' D
F R D B2 L' R' D'
F R D B2 L' R' D2
F R D B2 L' D R'
F R D B2 L' D' R'
F R D B2 L' D2 R'
F R D B2 R' L' D
F R D B2 R' L' D'
F R D B2 R' L' D2
F R D B2 R' D L'
F R D B2 R' D' L'
F R D B2 R' D2 L'
F R D B2 D L' R'
F R D B2 D R' L'
F R D B2 D' L' R'
F R D B2 D' R' L'
F R D B2 D2 L' R'
F R D B2 D2 R' L'
F R D' L' D2 R2 B2
F R D' L' D2 B2 R2
L U' L' R' U' F L'
B2 R F L' R2 D' B2
B2 R F R2 L' D' B2
U' R F D B2 L' R'
U' R F D B2 R' L'
U2 R F D B2 L' R'
U2 R F D B2 R' L'
U R F D B2 L' R'
U R F D B2 R' L'
R' U' R F L' D2 R2
R' U' R' F L' D2 R2
L U' R' L' U' F L'
L U' R' U' L' F L'
L U' R' U' F L' F
R' U' R2 F L' D2 R2
F R B2 L' D R' B2
F R B2 D L' R' B2
F R B2 D R' L' B2
F R B2 D R' B2 L'
R' U' F L' R D2 R2
R' U' F L' R' D2 R2
R' U' F L' R2 D2 R2
R' U' F L' U2 L2 U2
R' U' F L' D2 R2 D
R' U' F L' D2 R2 D'
R' U' F L' D2 R2 D2
R' U' F R L' D2 R2
R' U' F R' L' D2 R2
R' U' F R2 L' D2 R2
R' U' F U2 L U2 L2
R' U' F D L' D2 R2
R' U' F D' L' D2 R2
R' U' F D2 L' D2 R2
R' U' F B2 L' R' B2
R' U' F B2 R' L' B2
R' U' F B2 R' B2 L'
R' U' F' L2 F2 L' R
R' U' F' L2 F2 R L'
F R' L' D2 R2 D B2
R U' F D B2 L' R'
R U' F D B2 R' L'
F' R' U L R2 U2 F2
F' R' U R2 L U2 F2
U' R' U' F L' D2 R2
U2 R' U' F L' D2 R2
U R' U' F L' D2 R2
R' U' B2 R' F L' B2
R' U' B2 R' F B2 L'
R' U' B2 R' B2 F L'
R' U' B2 F L' R' B2
R' U' B2 F R' L' B2
R' U' B2 F R' B2 L'
B2 R' F L' U' L2 U
B2 R' F L' D' B2 D
B2 R' F L' D' B2 D'
B2 R' F L' D' B2 D2
B2 R' F L' B D' B2
B2 R' F L' B' D' B2
B2 R' F L' B2 D' B2
B2 R' F U' L U L2
B2 R' F D L' D' B2
B2 R' F D' L' D' B2
B2 R' F D2 L' D' B2
U' R' B2 U' R' F L'
U' R' B2 U' F L' R'
U' R' B2 U' F R' L'
U2 R' B2 U' R' F L'
U2 R' B2 U' F L' R'
U2 R' B2 U' F R' L'
U R' B2 U' R' F L'
U R' B2 U' F L' R'
U R' B2 U' F R' L'
R U2 F D B2 L' R'
R U2 F D B2 R' L'
R' U2 B2 U R' F L'
R' U2 B2 U F L' R'
R' U2 B2 U F R' L'
F R2 B2 L' R' D B2
F R2 B2 R' L' D B2
F R2 B2 R' D L' B2
F R2 B2 R' D B2 L'
B U R F L' B R'
B U R F B L' R'
B U R F B R' L'
B U R F B R' L'
B U R B R' F L'
B U R B F L' R'
B U R B F R' L'
B2 U R' F L' D' B2
F U R' U L U2 L2
F U R' U' L' D2 R2
F U R' B2 U' L' R'
F U R' B2 U' R' L'
R D B2 D' R' F L'
R D B2 D' F L' R'
R D B2 D' F R' L'
B2 U F L' R' D' B2
B2 U F L' D' R' B2
B2 U F R' L' D' B2
B U F L' R B R'
B U F R L' B R'
B U F R B L' R'
B U F R B R' L'
B2 U' R' F L' D' B2
B2 U' F L' R' D' B2
B2 U' F L' D' R' B2
B2 U' F R' L' D' B2
B U' F L' B R' B2
B U' F B L' R' B'
B U' F B R' L' B'
B U' F B2 L' B' R'
B U' B R' F L' B'
B U' B F L' R' B'
B U' B F R' L' B'
F U' B2 L U L2 R'
F U' B2 L U R' L2
B U' B2 F L' B' R'
F U2 L U' R' U' L2
B2 U2 R' F L' D' B2
R' F L' D2 R2 D B2
B2 U2 F L' R' D' B2
B2 U2 F L' D' R' B2
B2 U2 F R' L' D' B2
U' F R D B2 L' R'
U' F R D B2 R' L'
R F L' D B2 D R2
R F L' D2 R2 D' B2
U2 F R D B2 L' R'
U2 F R D B2 R' L'
U F R D B2 L' R'
U F R D B2 R' L'
R' F R2 D B2 L' R'
R' F R2 D B2 R' L'
L F U' R' U' L' F
R2 F D B2 L' R' B
R2 F D B2 R' L' B
R2 F D B2 R' B L'
R F D L' B2 D2 R2
R F D R B2 L' R'
R F D R B2 R' L'
R F D R' B2 L' R'
R F D R' B2 R' L'
R F D R2 B2 L' R'
R F D R2 B2 R' L'
R F D B L' B R'
R F D B2 L' R' D
R F D B2 L' R' D'
R F D B2 L' R' D2
R F D B2 L' D R'
R F D B2 L' D' R'
R F D B2 L' D2 R'
R F D B2 R' L' D
R F D B2 R' L' D'
R F D B2 R' L' D2
R F D B2 R' D L'
R F D B2 R' D' L'
R F D B2 R' D2 L'
R F D B2 D L' R'
R F D B2 D R' L'
R F D B2 D' L' R'
R F D B2 D' R' L'
R F D B2 D2 L' R'
R F D B2 D2 R' L'
R F D' L' D2 R2 B2
R F D' L' D2 B2 R2
F D R D B2 L' R'
F D R D B2 R' L'
D2 F B' D L B' R'
U' F B2 L' R' D' B2
U' F B2 L' D' R' B2
U' F B2 R' L' D' B2
U2 F B2 L' R' D' B2
U2 F B2 L' D' R' B2
U2 F B2 R' L' D' B2
R2 F B2 L' D R' B
R2 F B2 D L' R' B
R2 F B2 D R' L' B
R2 F B2 D R' B L'
U F B2 L' R' D' B2
U F B2 L' D' R' B2
U F B2 R' L' D' B2
R F B2 L' D R' B2
R F B2 D L' R' B2
R F B2 D R' L' B2
R F B2 D R' B2 L'
R' F' L2 U' F2 L' R
R' F' L2 U' F2 R L'
R' F' U L R U2 F2
R' F' U L U2 F2 L'
R' F' U R L U2 F2
R' F' U' L2 F2 L' R
R' F' U' L2 F2 R L'
R' F' U' F2 L' D2 R2
F D B2 L' R' D' B2
F D B2 L' D' R' B2
F D B2 R' L' D' B2
F D' R D B2 L' R'
F D' R D B2 R' L'
R' F' B2 U' F2 L' R'
R' F' B2 U' F2 R' L'
F D' B2 L' R' D' B2
F D' B2 L' D' R' B2
F D' B2 R' L' D' B2
R F2 D F' B2 L' R'
R F2 D F' B2 R' L'
R F2 D B2 F' L' R'
R F2 D B2 F' R' L'
F D2 R D B2 L' R'
F D2 R D B2 R' L'
F D2 B2 L' R' D' B2
F D2 B2 L' D' R' B2
F D2 B2 R' L' D' B2
B' F L' D' B' R' B
B2 F L' R' U' L2 U
B2 F L' R' D' B2 D
B2 F L' R' D' B2 D'
B2 F L' R' D' B2 D2
B2 F L' R' B D' B2
B2 F L' R' B' D' B2
B2 F L' R' B2 D' B2
B2 F L' R2 D' R B2
B2 F L' R2 D' B2 R
B2 F L' U' L2 U R'
B2 F L' D R' D2 B2
B2 F L' D' R B2 R2
B2 F L' D' R' B2 D
B2 F L' D' R' B2 D'
B2 F L' D' R' B2 D2
B2 F L' D' R2 B2 R
B' F L2 D L B' R'
B2 F L' B2 D' B2 R'
B2 F R' L' U' L2 U
B2 F R' L' D' B2 D
B2 F R' L' D' B2 D'
B2 F R' L' D' B2 D2
B2 F R' L' B D' B2
B2 F R' L' B' D' B2
B2 F R' L' B2 D' B2
B2 F R' U' L U L2
B2 F R' D L' D' B2
B2 F R' D' L' D' B2
B2 F R' D2 L' D' B2
B2 F R2 L' D' R B2
B2 F R2 L' D' B2 R
B2 F U' L U L2 R'
B2 F U' L U R' L2
B' F D L B' L2 R'
B' F D L B' R' L2
B2 F D L' R' D' B2
B2 F D L' D' R' B2
B2 F D R' L' D' B2
B' F D' L' B' R' B
B2 F D' L' R' D' B2
B2 F D' L' D' R' B2
B' F D' B' L' R' B
B2 F D' R' L' D' B2
B' F D' B' R' L' B
B' F D' B' R' B L'
B2 F D2 L' R' D' B2
B2 F D2 L' D' R' B2
B2 F D2 R' L' D' B2
B2 F' L U F2 L' R'
B2 F' L U F2 R' L'
F B' L' D' B' R' B
F B' L2 D L B' R'
D2 B' D F L B' R'
D2 B' F D L B' R'
F B' D L B' L2 R'
F B' D L B' R' L2
F B' D' L' B' R' B
F' B2 L U F2 L' R'
F' B2 L U F2 R' L'
F B' D' B' L' R' B
F B' D' B' R' L' B
F B' D' B' R' B L'
U' B2 R' F L' D' B2
R2 B2 R U' R2 F L'
R2 B2 R U' F L' R2
R2 B2 R U' F R2 L'
U2 B2 R' F L' D' B2
F B2 L' R' U' L2 U
F B2 L' R' D' B2 D
F B2 L' R' D' B2 D'
F B2 L' R' D' B2 D2
F B2 L' R' B D' B2
F B2 L' R' B' D' B2
F B2 L' R' B2 D' B2
F B2 L' R2 D' R B2
F B2 L' R2 D' B2 R
F B2 L' U' L2 U R'
F B2 L' D R' D2 B2
R2 B2 R' F L' D B2
R2 B2 R' F D L' B2
R2 B2 R' F D B2 L'
F B2 L' D' R B2 R2
F B2 L' D' R' B2 D
F B2 L' D' R' B2 D'
F B2 L' D' R' B2 D2
F B2 L' D' R2 B2 R
F B2 L' B2 D' B2 R'
U B2 R' F L' D' B2
R' B2 U' R F L' R2
R' B2 U' R F R2 L'
R' B2 U' R' F L' D
R' B2 U' R' F L' D'
R' B2 U' R' F L' D2
R' B2 U' R' F D L'
R' B2 U' R' F D' L'
R' B2 U' R' F D2 L'
R' B2 U' F L' R' D
