R2 B U L B2
R2 L' B U L B'
L' R2 B U L B'
R2 D B U L B2
R2 D' B U L B2
R2 D2 B U L B2
R2 F B U L B2
R2 F' B U L B2
R2 F2 B U L B2
R2 B L' U L2 B2
R2 B L' U B2 L2
R2 B L2 U L' B2
R2 B L2 U B2 L'
R2 B U L B2 D
R2 B U L B2 D'
R2 B U L B2 D2
R2 B U L' B2 L2
R2 B U L2 B2 L'
R2 B D L2 U L'
R2 B F U L B2
R2 B F' U L B2
R2 B F2 U L B2
B L U' R2 B U B
R2 L B L' U B' L2
B L B2 U' R2 B U
B L' R2 B U L2 B
B L' R2 B U B L2
R2 L' F B U L B'
R2 L' F' B U L B'
R2 L' F2 B U L B'
R2 L' B L' U L2 B'
R2 L' B U L D B'
R2 L' B U L D' B'
R2 L' B U L D2 B'
R2 L' B U L B' D
R2 L' B U L B' D'
R2 L' B U L B' D2
R2 L' B F U L B'
R2 L' B F' U L B'
R2 L' B F2 U L B'
L' R2 F B U L B'
B L2 R2 B U L' B
B L2 R2 B U B L'
L' R2 F' B U L B'
L' R2 F2 B U L B'
L' R2 B L' U L2 B'
L' R2 B U L D B'
L' R2 B U L D' B'
L' R2 B U L D2 B'
L' R2 B U L B' D
L' R2 B U L B' D'
L' R2 B U L B' D2
L2 R2 B L2 U B' L'
R2 L2 B L2 U B' L'
L R2 B L' U B' L2
L2 R2 B U L2 B' L'
R2 L2 B U L2 B' L'
L' R2 B F U L B'
L2 R2 B U' F U2 L
L' R2 B F' U L B'
R2 L2 B U' F U2 L
L' R2 B F2 U L B'
R' U R' F' B U B2
R' U R' B F' U B2
U R' F' R' B U B2
F' R' B U' L F B2
F' R' B U' L B2 F
R2 U2 R2 F' U' B' L'
B R2 L' B U L2 B
B R2 L' B U B L2
B R2 L2 B U L' B
B R2 L2 B U B L'
B R2 D L2 B U L'
U R2 D B U B2 L
R2 D L' B U L B'
U2 R2 F' B U L' B2
U2 R2 F' B U B2 L'
B' R2 F2 B U B' L'
U' R2 B L F U B2
D' R2 B U L F2 B2
D' R2 B U L B2 F2
D' R2 B U F2 L B2
U' R2 B U B L B
B' R2 B U' R U2 B'
R D R B U L B2
B2 R2 B U' F' R' U2
B' R2 B F2 U B' L'
B R2 B U B' L B2
U2 R2 B F' U L' B2
U2 R2 B F' U B2 L'
R2 D F B U L B2
R2 D F' B U L B2
R2 D F2 B U L B2
R2 D B L' U L2 B2
R2 D B L' U B2 L2
R2 D B L2 U L' B2
R2 D B L2 U B2 L'
R2 D B U L B2 D
R2 D B U L B2 D'
R2 D B U L B2 D2
R2 D B U L' B2 L2
R2 D B U L2 B2 L'
R2 D B D L2 U L'
R2 D B F U L B2
R2 D B F' U L B2
R2 D B F2 U L B2
R2 D' L' B U L B'
R D' R B U L B2
R2 D' F B U L B2
R2 D' F' B U L B2
R2 D' F2 B U L B2
D' U' F' U' F' B' L'
U' D' F' U' F' B' L'
D' U' F' U' B' F' L'
U' D' F' U' B' F' L'
R2 D' B L' U L2 B2
R2 D' B L' U B2 L2
R2 D' B L2 U L' B2
R2 D' B L2 U B2 L'
R2 D' B U L B2 D
R2 D' B U L B2 D'
R2 D' B U L B2 D2
R2 D' B U L' B2 L2
R2 D' B U L2 B2 L'
R2 D' B D L2 U L'
U2 D' F' U' B' L' F'
R2 D' B F U L B2
R2 D' B F' U L B2
R2 D' B F2 U L B2
B' U' R2 F2 B U L'
B' U' R2 B U' R U2
B' U' R2 B F2 U L'
R2 D2 L' B U L B'
B' U' B R2 B U L
R D2 R B U L B2
D' U2 F' U' B' L' F'
R2 D2 F B U L B2
R2 D2 F' B U L B2
B' U2 R' U R' B U
R2 D2 F2 B U L B2
R2 D2 B L' U L2 B2
R2 D2 B L' U B2 L2
R2 D2 B L2 U L' B2
R2 D2 B L2 U B2 L'
R2 D2 B U L B2 D
R2 D2 B U L B2 D'
R2 D2 B U L B2 D2
R2 D2 B U L' B2 L2
R2 D2 B U L2 B2 L'
R2 D2 B D L2 U L'
R2 D2 B F U L B2
R2 D2 B F' U L B2
F' U2 R2 F' U B' L'
R2 D2 B F2 U L B2
R2 F L' B U L B'
F' U2 F' R2 U B' L'
R' F R' B U L B2
D2 F D B' R2 F2 L'
R2 F D B U L B2
R2 F D' B U L B2
R2 F D2 B U L B2
R2 F B L' U L2 B2
R2 F B L' U B2 L2
R2 F B L2 U L' B2
R2 F B L2 U B2 L'
D2 F B' D R2 F2 L'
R2 F B U L B2 D
R2 F B U L B2 D'
R2 F B U L B2 D2
R2 F B U L' B2 L2
R2 F B U L2 B2 L'
R2 F B D L2 U L'
R2 F' L' B U L B'
R' F' R' B U L B2
F D B L R2 F' B2
F D B L R2 B2 F'
F D B R2 L F' B2
F D B R2 L B2 F'
F D B R2 F' L B2
U2 F' U' D' B' L' F2
U2 F' U' B' L' D' F2
U2 F' U' B' D' L' F2
U2 F' U2 R2 U B' L'
R2 F' D B U L B2
U2 F' D' U' B' L' F2
R2 F' D' B U L B2
D2 F' B L2 U' L' B2
D2 F' B L2 U' B2 L'
D' F' B U' L F' B2
D' F' B U' L B2 F'
D' F' B U' F' L B2
R2 F' D2 B U L B2
R2 F' B L' U L2 B2
R2 F' B L' U B2 L2
R2 F' B L2 U L' B2
R2 F' B L2 U B2 L'
R2 F' B U L B2 D
R2 F' B U L B2 D'
R2 F' B U L B2 D2
R2 F' B U L' B2 L2
R2 F' B U L2 B2 L'
R2 F' B D L2 U L'
R2 F2 L' B U L B'
R' F2 R' B U L B2
F' D' B U' L F2 B2
F' D' B U' L B2 F2
F' D' B U' F2 L B2
F D' F2 B L B2 R'
F D' B L F2 B2 R'
F D' B L B2 R' F2
F D' B L B2 F2 R'
F D' B F2 L B2 R'
R2 F2 D B U L B2
R2 F2 D' B U L B2
R2 F2 D2 B U L B2
R2 F2 B L' U L2 B2
R2 F2 B L' U B2 L2
R2 F2 B L2 U L' B2
R2 F2 B L2 U B2 L'
R2 F2 B U L B2 D
R2 F2 B U L B2 D'
R2 F2 B U L B2 D2
R2 F2 B U L' B2 L2
R2 F2 B U L2 B2 L'
R2 F2 B D L2 U L'
R2 B L U B2 D L2
R2 B L D L2 U L2
B' D2 F D R2 F2 L'
R2 B L' U L' B2 L'
R2 B L' U L2 B2 D
R2 B L' U L2 B2 D'
R2 B L' U L2 B2 D2
R2 B L' U B L2 B
R2 B L' U B2 L2 D
R2 B L' U B2 L2 D'
R2 B L' U B2 L2 D2
R2 B L' D L2 F2 U
R2 B L' D F2 L2 U
R2 B L' F U L2 B2
R2 B L' F U B2 L2
R2 B L' F' U L2 B2
R2 B L' F' U B2 L2
R2 B L' F2 U L2 B2
R2 B L' F2 U B2 L2
R2 B L2 U L B2 L2
R2 B L2 U L' B2 D
R2 B L2 U L' B2 D'
R2 B L2 U L' B2 D2
R2 B L2 U B L' B
R2 B L2 U B2 L' D
R2 B L2 U B2 L' D'
R2 B L2 U B2 L' D2
R2 B L2 U B2 D L'
R2 B L2 U B2 D' L'
R2 B L2 U B2 D2 L'
R2 B L2 D L2 U L
F' D2 B L2 U' L' B2
F' D2 B L2 U' B2 L'
U' B R2 B U B L
R2 B U L R' B2 R
R2 B U L R2 B2 R2
R2 B U L B D B
R2 B U L B D' B
R2 B U L B D2 B
R2 B U L B' D B'
R2 B U L B' D' B'
R2 B U L B' D2 B'
R2 B U L' B L2 B
R2 B U L' B2 L2 D
R2 B U L' B2 L2 D'
R2 B U L' B2 L2 D2
R2 B U L2 B L' B
R2 B U L2 B2 L' D
R2 B U L2 B2 L' D'
R2 B U L2 B2 L' D2
R2 B U L2 B2 D L'
R2 B U L2 B2 D' L'
R2 B U L2 B2 D2 L'
R2 B U R' L B2 R
R2 B U R2 L B2 R2
R2 B U D' L D B2
R2 B U D2 L D2 B2
R2 B U F L F' B2
R2 B U F L B2 F'
R2 B U F2 L F2 B2
R2 B U F2 L B2 F2
R2 B U B2 U2 R' U2
R2 B U' R U2 L B2
R2 B U' R' U2 L B2
R2 B U' R2 U2 L B2
R2 B U' D2 F2 U2 L
R2 B U' F U2 L B2
R2 B U' F' U2 L B2
R2 B U' F2 U2 L B2
R2 B U2 R U' L B2
R2 B U2 R' U' L B2
R2 B U2 R2 U' L B2
R2 B U2 D' R2 U' L
R2 B D L2 U L' D
R2 B D L2 U L' D'
R2 B D L2 U L' D2
R2 B D L2 U D L'
R2 B D L2 U D' L'
R2 B D L2 U D2 L'
R2 B D L2 D U L'
R2 B D L2 D' U L'
R2 B D L2 D2 U L'
R2 B D F L2 U L'
R2 B D F' L2 U L'
R2 B D F2 L2 U L'
R2 B D' U L D B2
R2 B D' U2 R2 U' L
R2 B D2 U L D2 B2
R2 B D2 U' F2 U2 L
D2 B F' L2 U' L' B2
D2 B F' L2 U' B2 L'
D' B F' U' L F' B2
D' B F' U' L B2 F'
D' B F' U' F' L B2
R2 B F L' U L2 B2
R2 B F L' U B2 L2
R2 B F L2 U L' B2
R2 B F L2 U B2 L'
R2 B F U L B2 D
R2 B F U L B2 D'
R2 B F U L B2 D2
R2 B F U L' B2 L2
R2 B F U L2 B2 L'
R2 B F D L2 U L'
R2 B F' L' U L2 B2
R2 B F' L' U B2 L2
R2 B F' L2 U L' B2
R2 B F' L2 U B2 L'
R2 B F' U L B2 D
R2 B F' U L B2 D'
R2 B F' U L B2 D2
R2 B F' U L' B2 L2
R2 B F' U L2 B2 L'
R2 B F' D L2 U L'
F' B U' L B2 D' F2
R2 B F2 L' U L2 B2
R2 B F2 L' U B2 L2
R2 B F2 L2 U L' B2
R2 B F2 L2 U B2 L'
R2 B F2 U L B2 D
R2 B F2 U L B2 D'
R2 B F2 U L B2 D2
R2 B F2 U L' B2 L2
R2 B F2 U L2 B2 L'
R2 B F2 D L2 U L'
F' B U2 R2 U L B2
B' F D R2 D2 F2 L'
R2 B' L B2 U L B2
R2 B' L' B2 U L B2
F' B D' R2 U' L F2
F' B D' R2 U' F2 L
R2 B' L2 B2 U L B2
R2 B' R2 D' F2 L' R2
R2 B' R2 D' F2 R2 L'
U B' U' R2 B U L
R2 B' D' R2 D' F2 L'
D2 B' F D R2 F2 L'
B F' U' L B2 D' F2
B F' U2 R2 U L B2
F B' D R2 D2 F2 L'
B F' D' R2 U' L F2
B F' D' R2 U' F2 L
