B2 U F2 U2 R' F'
B2 U' R' D2 F' B2
B2 U' R' D2 B2 F'
B2 U' D2 R' F' B2
B2 U' D2 R' B2 F'
F2 D' L R2 B' U2
F2 D' L B' R2 U2
F2 D' R2 L B' U2
B2 D2 U' R' F' B2
B2 D2 U' R' B2 F'
D' L R2 U L U F
B2 L U F2 U2 R' F'
B2 L U' R' D2 F' B2
B2 L U' R' D2 B2 F'
B2 L U' D2 R' F' B2
B2 L U' D2 R' B2 F'
F' L U2 D F2 L2 B'
U L U2 F D L2 B'
F2 L D R U2 L2 F'
F2 L D R U2 F' L2
F2 L D R' B U2 L2
F' L D U2 F2 L2 B'
F' L D F' U2 L2 F'
F' L D F' U2 F' L2
F' L D' R2 B2 U2 B'
F' L D' F' R2 B2 U2
F' L D' F' B2 R2 U2
F' L D' B2 R2 U2 B
F' L D' B2 F' R2 U2
B2 L D2 U' R' F' B2
B2 L D2 U' R' B2 F'
F' L F' U' L2 B2 U'
F' L F' U' B2 L2 U'
F' L F' U2 D L2 F2
F' L F' U2 D F2 L2
F' L F' D U2 L2 F2
F' L F' D U2 F2 L2
F' L F' D' R2 B2 U2
F' L F' D' B2 R2 U2
U L F2 U' B2 U' F'
U L F2 U2 D L2 F'
U L F2 U2 D F' L2
U L F2 U2 F' D L2
U L F2 D U2 L2 F'
U L F2 D U2 F' L2
U L F2 D' R2 B U2
B2 L' U F2 U2 R' F'
B2 L' U' R' D2 F' B2
B2 L' U' R' D2 B2 F'
B2 L' U' D2 R' F' B2
B2 L' U' D2 R' B2 F'
F' L' D F2 U' L2 B'
B2 L' D2 U' R' F' B2
B2 L' D2 U' R' B2 F'
F' L' B2 U L2 F' U2
F' L' B2 U F' L2 U2
F' L' B2 U' D2 R2 B
F' L' B2 D2 U' R2 B
B2 L2 U F2 U2 R' F'
B2 L2 U' R' D2 F' B2
B2 L2 U' R' D2 B2 F'
B2 L2 U' D2 R' F' B2
B2 L2 U' D2 R' B2 F'
F2 L2 D' L' R2 U2 F
F2 L2 D' R2 L' U2 F
B2 L2 D2 U' R' F' B2
B2 L2 D2 U' R' B2 F'
D L2 F2 D R F' B2
D L2 F2 D R B2 F'
D L2 F2 D B2 R F'
F2 R D' L R2 B' U2
F2 R D' L B' R2 U2
F2 R D' R2 L B' U2
B2 R F' L' U' R2 B
F2 R' D' L R2 B' U2
F2 R' D' L B' R2 U2
F2 R' D' R2 L B' U2
F' R' B2 L' U' R' B
D' R2 L U L U F
D R2 U L U2 F L
B2 R2 U F2 L' B' U2
B2 R2 U' R' F' R2 B
B2 R2 D R2 U' R' F'
F2 R2 D' L R2 B' U2
F2 R2 D' L B' R2 U2
F2 R2 D' R2 L B' U2
D R2 D' B2 U' R' F'
D R2 B2 U' L2 R' F'
D R2 B2 U' R' L2 F'
D R2 B2 U' R' F' L2
B2 U L F2 U2 F' R'
B2 U F2 L U2 R' F
B2 U F2 L U2 F R'
B2 U F2 U2 R' D F'
B2 U F2 U2 R' D' F'
B2 U F2 U2 R' D2 F'
B2 U F2 U2 R' F' D
B2 U F2 U2 R' F' D'
B2 U F2 U2 R' F' D2
B2 U F2 U2 D R' F'
B2 U F2 U2 D' R' F'
B2 U F2 U2 D2 R' F'
B2 U F2 U2 F R' F'
B2 U F2 U2 F' R' F'
B2 U F2 U2 F2 R' F'
B2 U F2 D U2 R' F'
