B2 U L' F' U
U L' D' F' R2 U
U L' D2 F' U F'
U L' F' U D2 F2
U L' F' U' B2 U2
U L' F' D' R2 U
U L' F' D2 U F2
B2 U L F' L2 U
B2 U L' D F' U
B2 U L' D' F' U
B2 U L' D2 F' U
B2 U L' F' U D
B2 U L' F' U D'
B2 U L' F' U D2
B2 U L' F' D U
B2 U L' F' D' U
B2 U L' F' D2 U
D2 U L' F' U F'
D' U L' F' R2 U
B2 U L2 F' L U
B2 U D L' F' U
B2 U D' L' F' U
B2 U D2 L' F' U
U D' L' F' R2 U
U D2 L' F' U F'
B2 D U L' F' U
L' F' U' L B2 U2
L' F' U' B2 U2 R'
B2 D' U L' F' U
B2 D2 U L' F' U
U L D' F' R2 U B2
U' L D2 R2 B U' F2
D2 L F' L2 U F' R
U L F' L2 U D2 F2
U L F' L2 U' B2 U2
U L F' L2 D' R2 U
U L F' L2 D2 U F2
U L F' D' R2 U B2
U L' R2 D' R2 F' U
U L' U' B2 U F' U
U L' D F' U D F2
U L' D F' U2 L2 U'
U L' D F' D U F2
U L' D F' D2 R2 U
U L' D' R2 U2 B U'
U2 L' D' F' R2 U R2
U L' D' F R2 F2 U
U L' D' F' R2 U D
U L' D' F' R2 U D'
U L' D' F' R2 U D2
U L' D' F' R2 D U
U L' D' F' R2 D' U
U L' D' F' R2 D2 U
U L' D' F' U D' F2
U L' D' F' D' U F2
U L' D' F2 R2 F U
U L' D2 F' U D F'
U L' D2 F' U D' F'
U L' D2 F' U D2 F'
U L' D2 F' U F' D
U L' D2 F' U F' D'
U L' D2 F' U F' D2
U L' D2 F' D U F'
U L' D2 F' D' U F'
U L' D2 F' D2 U F'
U L' F D' R2 U L2
D' L' F' R2 U' L U2
D' L' F' R2 B2 U R'
D2 L' F' U' L U2 F'
B' L' F' U' L B' U2
U L' F' R U D2 F2
U L' F' R U' B2 U2
U L' F' R D' R2 U
U L' F' R D2 U F2
U L' F' R' U D2 F2
B L' F' U' L B U2
U L' F' R' U' B2 U2
U L' F' R' D' R2 U
U L' F' R' D2 U F2
U L' F' R2 U D2 F2
U L' F' R2 U' B2 U2
U L' F' R2 D' R2 U
U2 L' F' D' R2 U R2
U L' F' R2 D2 U F2
D' L' F' B2 R2 U R
D2 L' F' B2 U F' R'
U L' F' U D2 F2 D
U L' F' U D2 F2 D'
U L' F' U D2 F2 D2
U L' F' U F D2 F2
U L' F' U F' D2 F2
U L' F' U F2 D2 F2
U L' F' U' B2 U2 D
U L' F' U' B2 U2 D'
U L' F' U' B2 U2 D2
U L' F' U' B2 D U2
U L' F' U' B2 D' U2
U L' F' U' B2 D2 U2
U L' F' U2 D L2 U'
U L' F' D U2 L2 U'
U L' F' D' R2 U D
U L' F' D' R2 U D'
U L' F' D' R2 U D2
U L' F' D' R2 D U
U L' F' D' R2 D' U
U L' F' D' R2 D2 U
U L' F' D2 R U F2
U L' F' D2 R' U F2
U L' F' D2 R2 U F2
U L' F' D2 U F2 D
U L' F' D2 U F2 D'
U L' F' D2 U F2 D2
U L' F2 D' R2 F U
U L' F2 D' F R2 U
U L' F2 D2 F U F
D2 L' B2 F' U F' R'
D' L' B2 F' R2 U R
U L2 D' L F' R2 U
U L2 D' F' L R2 U
U L2 D' F' R2 L U
U L2 D2 L F' U F'
U L2 D2 F' L U F'
R2 U L' D' R2 F' U
U L2 F' L U D2 F2
U L2 F' L U' B2 U2
U L2 F' L D' R2 U
U L2 F' L D2 U F2
U L2 F' D' L R2 U
U L2 F' D' R2 L U
U L2 F' D2 L U F2
R2 U D' L' R2 F' U
R2 U D' R2 L' F' U
R' U D2 L' F U F
B2 R U L' F' U L'
L' U' L B2 U F' U
B2 R' U D2 L' F U
L' U' B2 U F' U R'
B2 R' D2 U L' F U
U R' D2 L' F U F
U R2 L' D' R2 F' U
