U L F' U2 L2 R
U L F' U2 R L2
U' L' R2 D2 B R'
U' L' U2 F' U2 R
U' L' D2 R2 B R'
U L2 F' U2 L R
U L2 F' U2 R L
R2 U' L' D2 B R'
R2 U' D2 L' B R'
R2 U' D2 B L' R'
R2 U' D2 B R' L'
U' R2 L' D2 B R'
D2 R2 U' L' B R'
D2 R2 U' B L' R'
D2 R2 U' B R' L'
U' R2 D2 L' B R'
U' R2 D2 B L' R'
U' R2 D2 B R' L'
D2 U' L' R2 B R'
D2 U' R2 L' B R'
D2 U' R2 B L' R'
D2 U' R2 B R' L'
U' D2 L' R2 B R'
U' D2 R2 L' B R'
R2 D2 U' L' B R'
U' D2 R2 B L' R'
U' D2 R2 B R' L'
R2 D2 U' B L' R'
R2 D2 U' B R' L'
U' F' U2 R F L'
U F2 R F U2 R
U2 L U' F' U2 L2 R
U2 L U' F' U2 R L2
U' L U2 F' U2 L2 R
U' L U2 F' U2 R L2
U L D2 R2 U2 B R'
U L F L' F2 R U2
U L F' L U2 L R
U L F' L U2 R L
U L F' L' U2 L' R
U L F' L' U2 R L'
U L F' R' U2 L2 R2
U L F' R' U2 R2 L2
U' L F' U2 R F L2
U L F' R2 U2 L2 R'
U L F' R2 U2 R' L2
U L F' U2 L2 R D
U L F' U2 L2 R D'
U L F' U2 L2 R D2
U L F' U2 L2 D R
U L F' U2 L2 D' R
U L F' U2 L2 D2 R
U L F' U2 R L2 D
U L F' U2 R L2 D'
U L F' U2 R L2 D2
U L F' D2 R2 U2 R'
U L F2 U2 L2 B' R'
U' L' R D2 R B R'
U' L' R F' R F B
U' L' R F' R B F
U' L' R2 D2 B R' D
U' L' R2 D2 B R' D'
U' L' R2 D2 B R' D2
U' L' R2 D2 B D R'
U' L' R2 D2 B D' R'
U' L' R2 D2 B D2 R'
U' L' R2 F' B R F
U' L' R2 B F' R F
U' L' U2 L F' U2 R
U' L' U2 L' F' U2 R
U' L' U2 L2 F' U2 R
U' L' U2 F L' F2 U2
U' L' U2 F' L U2 R
U' L' U2 F' L' U2 R
U' L' U2 F' L2 U2 R
U' L' U2 F' U2 R D
U' L' U2 F' U2 R D'
U' L' U2 F' U2 R D2
U' L' U2 F' U2 D R
U' L' U2 F' U2 D' R
U' L' U2 F' U2 D2 R
U' L' U2 F' D U2 R
U' L' U2 F' D' U2 R
U' L' U2 F' D2 U2 R
R2 L' F' B D' R F'
U L' U2 F' U2 R F
U' L' D' R2 D' B R'
R2 L' B F' D' R F'
U' L' D2 R' B R' B
U' L' D2 R2 B R' D
U' L' D2 R2 B R' D'
U' L' D2 R2 B R' D2
U' L' D2 R2 B D R'
U' L' D2 R2 B D' R'
U' L' D2 R2 B D2 R'
U' L' D2 B R2 B R
U L' F L' F2 U2 L
U' L' F' R' F R2 B
U L' F' L U2 L' R
U L' F' L U2 R L'
U L' F' L' U2 L R
U L' F' L' U2 R L
U L' F' L2 U2 L2 R
U L' F' L2 U2 R L2
U' L' B R2 D2 B R'
U' L' B U2 F' U2 R
U' L' B D2 R2 B R'
U' L' B' R2 D2 B R'
U' L' B' U2 F' U2 R
U' L' B' D2 R2 B R'
U L' B' R2 F' B R
U L' B' R2 B F' R
U' L' B2 R2 D2 B R'
U' L' B2 U2 F' U2 R
U' L' B2 D2 R2 B R'
U' L2 R2 D2 L B R'
L' R2 F' B D' R F'
U2 L2 U' F' U2 L R
U2 L2 U' F' U2 R L
L' R2 B F' D' R F'
U' L2 U2 F' U2 L R
U' L2 U2 F' U2 R L
L' U L U F' U2 R
U' L2 D2 L R2 B R'
U' L2 D2 R2 L B R'
U L2 F L' F2 U2 L2
U' L2 F' U2 R F L
U L2 F' L' U2 L2 R
U L2 F' L' U2 R L2
U L2 F' L2 U2 L' R
U L2 F' L2 U2 R L'
U L2 F' R' U2 L R2
U L2 F' R' U2 R2 L
U L2 F' R2 U2 L R'
U L2 F' R2 U2 R' L
U L2 F' U2 L R D
U L2 F' U2 L R D'
U L2 F' U2 L R D2
U L2 F' U2 L D R
U L2 F' U2 L D' R
U L2 F' U2 L D2 R
U L2 F' U2 R L D
U L2 F' U2 R L D'
U L2 F' U2 R L D2
U L2 F' U2 R D L
U L2 F' U2 R D' L
U L2 F' U2 R D2 L
U L2 F' U2 D L R
U L2 F' U2 D R L
U L2 F' U2 D' L R
U L2 F' U2 D' R L
U L2 F' U2 D2 L R
U L2 F' U2 D2 R L
U L2 F' D U2 L R
U L2 F' D U2 R L
U L2 F' D' U2 L R
U L2 F' D' U2 R L
U L2 F' D2 U2 L R
U L2 F' D2 U2 R L
U' R L' D2 R B R'
U' R L' F' R F B
U' R L' F' R B F
R2 U F L' U2 B L
R' U F2 R F' L' U2
U' R D2 L' R B R'
U' R D2 R L' B R'
U' R D2 R B L' R'
U' R D2 R B R' L'
R' U' L' R' D2 B R'
R2 U' L' D2 B R' D
R2 U' L' D2 B R' D'
R2 U' L' D2 B R' D2
R2 U' L' D2 B D R'
R2 U' L' D2 B D' R'
R2 U' L' D2 B D2 R'
R2 U' L' F' B R F
R2 U' L' B F' R F
U' R F' R F L' B
U' R F' R F B L'
U' R F' R B F L'
R2 U' L2 D2 L B R'
R' U' R' L' D2 B R'
R' U' R' D2 L' B R'
R' U' R' D2 B L' R'
R' U' R' D2 B R' L'
R2 U' D L' D B R'
R2 U' D2 L B L2 R'
R2 U' D2 L B R' L2
R2 U' D2 L' B R' D
R2 U' D2 L' B R' D'
R2 U' D2 L' B R' D2
R2 U' D2 L' B D R'
R2 U' D2 L' B D' R'
R2 U' D2 L' B D2 R'
R2 U' D2 B L' R' D
R2 U' D2 B L' R' D'
R2 U' D2 B L' R' D2
R2 U' D2 B L' D R'
R2 U' D2 B L' D' R'
R2 U' D2 B L' D2 R'
R2 U' D2 B R' L' D
R2 U' D2 B R' L' D'
R2 U' D2 B R' L' D2
R2 U' D2 B R' D L'
R2 U' D2 B R' D' L'
R2 U' D2 B R' D2 L'
R2 U' D2 B D L' R'
R2 U' D2 B D R' L'
R2 U' D2 B D' L' R'
R2 U' D2 B D' R' L'
R2 U' D2 B D2 L' R'
R2 U' D2 B D2 R' L'
R2 U' F' B R F L'
D2 R' U' L' R' B R'
D2 R' U' L' B R' B
D2 R' U' R' L' B R'
D2 R' U' R' B L' R'
D2 R' U' R' B R' L'
D2 R' U' B L' R' B
D2 R' U' B R' L' B
D2 R' U' B R' B L'
R2 U' B L' F' R F
R2 U' B F' R F L'
F' R' F U' L' R2 B
F' R' F U' R2 L' B
F' R' F U' R2 B L'
U R' F2 R F' L' U2
D2 R' B U' L' R' B
D2 R' B U' R' L' B
D2 R' B U' R' B L'
U' R2 L' D2 B R' D
U' R2 L' D2 B R' D'
U' R2 L' D2 B R' D2
U' R2 L' D2 B D R'
U' R2 L' D2 B D' R'
U' R2 L' D2 B D2 R'
U' R2 L' F' B R F
U' R2 L' B F' R F
U' R2 L2 D2 L B R'
L' U2 F' U' L U' R
D2 R2 U' L B L2 R'
D2 R2 U' L B R' L2
D2 R2 U' L' B R' D
D2 R2 U' L' B R' D'
D2 R2 U' L' B R' D2
D2 R2 U' L' B D R'
D2 R2 U' L' B D' R'
D2 R2 U' L' B D2 R'
B' R2 U' L' D2 B R'
B2 R2 U' L' D2 B R'
D' R2 U' D' L' B R'
D' R2 U' D' B L' R'
D' R2 U' D' B R' L'
B' R2 U' D2 L' B R'
B' R2 U' D2 B L' R'
B' R2 U' D2 B R' L'
D2 R2 U' B L' R' D
D2 R2 U' B L' R' D'
D2 R2 U' B L' R' D2
D2 R2 U' B L' D R'
D2 R2 U' B L' D' R'
D2 R2 U' B L' D2 R'
D2 R2 U' B R' L' D
D2 R2 U' B R' L' D'
D2 R2 U' B R' L' D2
D2 R2 U' B R' D L'
D2 R2 U' B R' D' L'
D2 R2 U' B R' D2 L'
D2 R2 U' B D L' R'
D2 R2 U' B D R' L'
D2 R2 U' B D' L' R'
D2 R2 U' B D' R' L'
D2 R2 U' B D2 L' R'
D2 R2 U' B D2 R' L'
B2 R2 U' D2 L' B R'
B R2 U' L' D2 B R'
D R2 U' L' B' R' B2
B2 R2 U' D2 B L' R'
B2 R2 U' D2 B R' L'
B R2 U' D2 L' B R'
B R2 U' D2 B L' R'
B R2 U' D2 B R' L'
D R2 U' B L' D2 R2
D R2 U' B' L' R' B2
D R2 U' B' R' L' B2
D R2 U' B' R' B2 L'
U' R2 D L' D B R'
U R2 U2 L' D2 B R'
U R2 U2 D2 L' B R'
U R2 U2 D2 B L' R'
U R2 U2 D2 B R' L'
D' R2 D' U' L' B R'
D' R2 D' U' B L' R'
D' R2 D' U' B R' L'
U' R2 D2 L B L2 R'
U' R2 D2 L B R' L2
U' R2 D2 L' B R' D
U' R2 D2 L' B R' D'
U' R2 D2 L' B R' D2
U' R2 D2 L' B D R'
U' R2 D2 L' B D' R'
U' R2 D2 L' B D2 R'
B' R2 D2 U' L' B R'
B' R2 D2 U' B L' R'
B' R2 D2 U' B R' L'
B2 R2 D2 U' L' B R'
B2 R2 D2 U' B L' R'
B2 R2 D2 U' B R' L'
U' R2 D2 B L' R' D
U' R2 D2 B L' R' D'
U' R2 D2 B L' R' D2
U' R2 D2 B L' D R'
U' R2 D2 B L' D' R'
U' R2 D2 B L' D2 R'
U' R2 D2 B R' L' D
U' R2 D2 B R' L' D'
U' R2 D2 B R' L' D2
U' R2 D2 B R' D L'
U' R2 D2 B R' D' L'
U' R2 D2 B R' D2 L'
U' R2 D2 B D L' R'
U' R2 D2 B D R' L'
U' R2 D2 B D' L' R'
U' R2 D2 B D' R' L'
U' R2 D2 B D2 L' R'
U' R2 D2 B D2 R' L'
B R2 D2 U' L' B R'
B R2 D2 U' B L' R'
B R2 D2 U' B R' L'
U R2 D2 U2 L' B R'
U R2 D2 U2 B L' R'
U R2 D2 U2 B R' L'
U R2 F L' U2 B L
U' R2 F' B R F L'
U' R2 B L' F' R F
U' R2 B F' R F L'
D2 R2 B' U' B2 L' R'
D2 R2 B' U' B2 R' L'
R2 D U' L' D B R'
D R2 B2 U' B' L' R'
D R2 B2 U' B' R' L'
B' U L F' U2 L2 R
B' U L F' U2 R L2
B2 U L F' U2 L2 R
B2 U L F' U2 R L2
U' D L' D R2 B R'
B U L F' U2 L2 R
B U L F' U2 R L2
B' U L2 F' U2 L R
B' U L2 F' U2 R L
F U L' F2 U' B' U'
B2 U L2 F' U2 L R
B2 U L2 F' U2 R L
B U L2 F' U2 L R
B U L2 F' U2 R L
D2 U R2 U2 L' B R'
D2 U R2 U2 B L' R'
D2 U R2 U2 B R' L'
B' U F2 R F U2 R
B2 U F2 R F U2 R
B U F2 R F U2 R
D2 U' L R2 B L2 R'
D2 U' L R2 B R' L2
D2 U' L' R' B R' B
D2 U' L' R2 B R' D
D2 U' L' R2 B R' D'
D2 U' L' R2 B R' D2
D2 U' L' R2 B D R'
D2 U' L' R2 B D' R'
D2 U' L' R2 B D2 R'
D2 U' L' B R2 B R
D U' L' D R2 B R'
B' U' L' R2 D2 B R'
B' U' L' U2 F' U2 R
B2 U' L' R2 D2 B R'
B' U' L' D2 R2 B R'
D2 U' R' L' B R' B
B2 U' L' U2 F' U2 R
B2 U' L' D2 R2 B R'
B U' L' R2 D2 B R'
D2 U' R' B L' R' B
D2 U' R' B R' L' B
D2 U' R' B R' B L'
B U' L' U2 F' U2 R
D2 U' R2 L B L2 R'
D2 U' R2 L B R' L2
D2 U' R2 L' B R' D
D2 U' R2 L' B R' D'
D2 U' R2 L' B R' D2
D2 U' R2 L' B D R'
D2 U' R2 L' B D' R'
D2 U' R2 L' B D2 R'
B U' L' D2 R2 B R'
U' D' R2 D' L' B R'
D' U' R2 D' L' B R'
U' D' R2 D' B L' R'
D' U' R2 D' B L' R'
U' D' R2 D' B R' L'
D' U' R2 D' B R' L'
D2 U' R2 B L' R' D
D2 U' R2 B L' R' D'
D2 U' R2 B L' R' D2
D2 U' R2 B L' D R'
D2 U' R2 B L' D' R'
D2 U' R2 B L' D2 R'
D2 U' R2 B R' L' D
D2 U' R2 B R' L' D'
D2 U' R2 B R' L' D2
D2 U' R2 B R' D L'
D2 U' R2 B R' D' L'
D2 U' R2 B R' D2 L'
D2 U' R2 B D L' R'
D2 U' R2 B D R' L'
D2 U' R2 B D' L' R'
D2 U' R2 B D' R' L'
D2 U' R2 B D2 L' R'
D2 U' R2 B D2 R' L'
B' U' R2 L' D2 B R'
B2 U' R2 L' D2 B R'
B' U' R2 D2 L' B R'
B' U' R2 D2 B L' R'
B' U' R2 D2 B R' L'
B2 U' R2 D2 L' B R'
B2 U' R2 D2 B L' R'
B2 U' R2 D2 B R' L'
B U' R2 L' D2 B R'
D2 U' B L' R2 B R
B U' R2 D2 L' B R'
B U' R2 D2 B L' R'
B U' R2 D2 B R' L'
D2 U' B R2 L' B R
D2 U' B R2 B L' R
D2 U' B R2 B R L'
D2 U' B' L' D2 R2 B
B' U' D2 L' R2 B R'
B2 U' D2 L' R2 B R'
B' U' D2 R2 L' B R'
B' U' D2 R2 B L' R'
B' U' D2 R2 B R' L'
B2 U' D2 R2 L' B R'
B2 U' D2 R2 B L' R'
B2 U' D2 R2 B R' L'
B U' D2 L' R2 B R'
F' U' F U' L' F' R
B U' D2 R2 L' B R'
B U' D2 R2 B L' R'
B U' D2 R2 B R' L'
U' D2 L R2 B L2 R'
U' D2 L R2 B R' L2
B' U' F' U2 R F L'
B2 U' F' U2 R F L'
U' D2 L' R' B R' B
U' D2 L' R2 B R' D
U' D2 L' R2 B R' D'
U' D2 L' R2 B R' D2
U' D2 L' R2 B D R'
U' D2 L' R2 B D' R'
U' D2 L' R2 B D2 R'
U' D2 L' B R2 B R
B U' F' U2 R F L'
R D2 R U' L' B R'
R D2 R U' B L' R'
R D2 R U' B R' L'
L2 D2 R2 U L B R'
U' D2 R' L' B R' B
U' D2 R' B L' R' B
U' D2 R' B R' L' B
U' D2 R' B R' B L'
U' D2 R2 L B L2 R'
U' D2 R2 L B R' L2
U' D2 R2 L' B R' D
U' D2 R2 L' B R' D'
U' D2 R2 L' B R' D2
U' D2 R2 L' B D R'
U' D2 R2 L' B D' R'
U' D2 R2 L' B D2 R'
R2 D2 U' L B L2 R'
R2 D2 U' L B R' L2
R2 D2 U' L' B R' D
R2 D2 U' L' B R' D'
R2 D2 U' L' B R' D2
R2 D2 U' L' B D R'
R2 D2 U' L' B D' R'
R2 D2 U' L' B D2 R'
U' D2 R2 B L' R' D
U' D2 R2 B L' R' D'
U' D2 R2 B L' R' D2
U' D2 R2 B L' D R'
U' D2 R2 B L' D' R'
U' D2 R2 B L' D2 R'
U' D2 R2 B R' L' D
U' D2 R2 B R' L' D'
U' D2 R2 B R' L' D2
U' D2 R2 B R' D L'
U' D2 R2 B R' D' L'
U' D2 R2 B R' D2 L'
U' D2 R2 B D L' R'
U' D2 R2 B D R' L'
U' D2 R2 B D' L' R'
U' D2 R2 B D' R' L'
U' D2 R2 B D2 L' R'
U' D2 R2 B D2 R' L'
R2 D2 U' B L' R' D
R2 D2 U' B L' R' D'
R2 D2 U' B L' R' D2
R2 D2 U' B L' D R'
R2 D2 U' B L' D' R'
R2 D2 U' B L' D2 R'
R2 D2 U' B R' L' D
R2 D2 U' B R' L' D'
R2 D2 U' B R' L' D2
R2 D2 U' B R' D L'
R2 D2 U' B R' D' L'
R2 D2 U' B R' D2 L'
R2 D2 U' B D L' R'
R2 D2 U' B D R' L'
R2 D2 U' B D' L' R'
R2 D2 U' B D' R' L'
R2 D2 U' B D2 L' R'
R2 D2 U' B D2 R' L'
U D2 R2 U2 L' B R'
U D2 R2 U2 B L' R'
U D2 R2 U2 B R' L'
U' D2 B L' R2 B R
U' D2 B R2 L' B R
U' D2 B R2 B L' R
U' D2 B R2 B R L'
U' D2 B' L' D2 R2 B
R2 D2 B' U' B2 L' R'
R2 D2 B' U' B2 R' L'
U' F L' F2 U2 F L'
U F L' F R F U2
U' F' R' U2 R2 F L'
U' F' R' U2 F L' R2
U' F' R' U2 F R2 L'
U' F' R' F L' R2 B
U' F' R' F R2 L' B
U' F' R' F R2 B L'
U' F' R2 U2 R' F L'
U' F' R2 U2 F L' R'
U' F' R2 U2 F R' L'
L2 F' U' L2 U' L' R
L2 F' U' L2 U' R L'
U' F' U2 R F L' D
U' F' U2 R F L' D'
U' F' U2 R F L' D2
U' F' U2 R F D L'
U' F' U2 R F D' L'
U' F' U2 R F D2 L'
U' F' U2 R' F L' R2
U' F' U2 R' F R2 L'
U' F' U2 R2 F L' R'
U' F' U2 R2 F R' L'
L2 F' U2 R D L F2
L2 F' U2 R D F2 L
L2 F' U2 D L R F2
L2 F' U2 D R L F2
L2 F' U2 D R F2 L
L F' U2 L2 D R F'
U F' U2 R F L' F'
L2 F' D U2 L R F2
L2 F' D U2 R L F2
L2 F' D U2 R F2 L
U F' U2 F L' F' R
L2 F' D' B2 R' U2 R2
U' F' B U2 R F L'
U' F' B' U2 R F L'
U' F' B2 U2 R F L'
U' F2 R F U2 R F
U F2 L2 R U2 B' R'
U F2 R L2 U2 B' R'
U F2 R D F U2 R
U F2 R D' F U2 R
U F2 R D2 F U2 R
U F2 R F L U2 R
U F2 R F L' U2 R
U F2 R F L2 U2 R
