F L' U' L' R
F L' U' R L'
F L' U' L' R D
F L' U' L' R D'
F L' U' L' R D2
F L' U' L' D R
F L' U' L' D' R
F L' U' L' D2 R
F L' U' R L' D
F L' U' R L' D'
F L' U' R L' D2
F L' U' R D L'
F L' U' R D' L'
F L' U' R D2 L'
F L' U' D L' R
F L' U' D R L'
F L' U' D' L' R
F L' U' D' R L'
F L' U' D2 L' R
F L' U' D2 R L'
F L' D U' L' R
F L' D U' R L'
F L' D' U' L' R
F L' D' U' R L'
F L' D2 U' L' R
F L' D2 U' R L'
F L' B U' L' R
F L' B U' R L'
F L' B' U' L' R
F L' B' U' R L'
F L' B2 U' L' R
F L' B2 U' R L'
F2 U' L2 R' F' R
F2 U' R' L2 F' R
F2 U' R' F' L2 R
F2 U' R' F' R L2
L2 F L' U' L R
L2 F L' U' R L
L F L' U' L2 R
L F L' U' R L2
F D' L' B2 U' R
F D' B2 L' U' R
B' F L' U' L' R
B' F L' U' R L'
B2 F L' U' L' R
B2 F L' U' R L'
B F L' U' L' R
B F L' U' R L'
F B L' U' L' R
F B L' U' R L'
F B' L' U' L' R
F B' L' U' R L'
F B2 L' U' L' R
F B2 L' U' R L'
F2 L U' L R' F' R
F2 L U' R' L F' R
F L U' R D L F2
F2 L U' R' F' L R
F2 L U' R' F' R L
F L U' R D F2 L
F L U' D L R F2
F L U' D R L F2
F L U' D R F2 L
U L U' F L' U' L2
F L D U' L R F2
F L D U' R L F2
F L D U' R F2 L
F' L D F2 L' U' L2
B' L F L' U' L2 R
B' L F L' U' R L2
B2 L F L' U' L2 R
B2 L F L' U' R L2
B L F L' U' L2 R
B L F L' U' R L2
F2 L F' L' U' L2 R
F2 L F' L' U' R L2
F L' U L U2 L2 R
F L' U L U2 R L2
F L' U L2 U2 L R
F L' U L2 U2 R L
F L' U R' U2 L' R2
F L' U R' U2 R2 L'
F L' U R2 U2 L' R'
F L' U R2 U2 R' L'
F2 L' U' L' R' F' R
F L' U' L' R2 D R'
F L' U' L' R2 D' R'
F L' U' L' R2 D2 R'
F L' U' L' D R D
F L' U' L' D R D'
F L' U' L' D R D2
F L' U' L' D' R D
F L' U' L' D' R D'
F L' U' L' D' R D2
F L' U' L' D2 R D
F L' U' L' D2 R D'
F L' U' L' D2 R D2
F2 L' U' R' L' F' R
F L' U' L' B R B'
F L' U' L' B2 R B2
F L' U' L2 R D L
F L' U' L2 R D' L
F L' U' L2 R D2 L
F L' U' L2 D L R
F L' U' L2 D R L
F L' U' L2 D' L R
F L' U' L2 D' R L
F L' U' L2 D2 L R
F L' U' L2 D2 R L
F L' U' R L2 D L
F L' U' R L2 D' L
F L' U' R L2 D2 L
F L' U' R D L' D
F L' U' R D L' D'
F L' U' R D L' D2
F L' U' R D' L' D
F L' U' R D' L' D'
F L' U' R D' L' D2
F L' U' R D2 L' D
F L' U' R D2 L' D'
F L' U' R D2 L' D2
F L' U' R B' L' B
F L' U' R B2 L' B2
F L' U' R2 L' D R'
F L' U' R2 L' D' R'
F L' U' R2 L' D2 R'
F L' U' R2 D L' R'
F L' U' R2 D R' L'
F L' U' R2 D' L' R'
F L' U' R2 D' R' L'
F L' U' R2 D2 L' R'
F L' U' R2 D2 R' L'
F L' U' D L' R D
F L' U' D L' R D'
F L' U' D L' R D2
F L' U' D L' D R
F L' U' D L' D' R
F L' U' D L' D2 R
F L' U' D R L' D
F L' U' D R L' D'
F L' U' D R L' D2
F L' U' D R D L'
F L' U' D R D' L'
F L' U' D R D2 L'
F L' U' D' L' R D
F L' U' D' L' R D'
F L' U' D' L' R D2
F L' U' D' L' D R
F L' U' D' L' D' R
F L' U' D' L' D2 R
F L' U' D' R L' D
F L' U' D' R L' D'
F L' U' D' R L' D2
F L' U' D' R D L'
F L' U' D' R D' L'
F L' U' D' R D2 L'
F L' U' D2 L' R D
F L' U' D2 L' R D'
F L' U' D2 L' R D2
F L' U' D2 L' D R
F L' U' D2 L' D' R
F L' U' D2 L' D2 R
F L' U' D2 R L' D
F L' U' D2 R L' D'
F L' U' D2 R L' D2
F L' U' D2 R D L'
F L' U' D2 R D' L'
F L' U' D2 R D2 L'
F L' U' B R B' L'
F L' U' B' L' B R
F' L' U2 R U L' R'
F' L' U2 R U R' L'
F L' U' B2 L' R B2
F L' U' B2 L' B2 R
F L' U' B2 R L' B2
F L' U' B2 R B2 L'
F L' U2 B U L' R
F L' U2 B U R L'
F L' U2 B' U L' R
F L' U2 B' U R L'
F L' U2 B2 U L' R
F L' U2 B2 U R L'
F L' D U' L' R D
F L' D U' L' R D'
F L' D U' L' R D2
F L' D U' L' D R
F L' D U' L' D' R
F L' D U' L' D2 R
F L' D U' R L' D
F L' D U' R L' D'
F L' D U' R L' D2
F L' D U' R D L'
F L' D U' R D' L'
F L' D U' R D2 L'
F L' D B U' L' R
F L' D B U' R L'
F L' D B' U' L' R
F L' D B' U' R L'
F L' D B2 U' L' R
F L' D B2 U' R L'
F L' D' U' L' R D
F L' D' U' L' R D'
F L' D' U' L' R D2
F L' D' U' L' D R
F L' D' U' L' D' R
F L' D' U' L' D2 R
F L' D' U' R L' D
F L' D' U' R L' D'
F L' D' U' R L' D2
F L' D' U' R D L'
F L' D' U' R D' L'
F L' D' U' R D2 L'
F L' D' B U' L' R
F L' D' B U' R L'
F L' D' B' U' L' R
F L' D' B' U' R L'
F L' D' B2 U' L' R
F L' D' B2 U' R L'
F L' D2 U' L' R D
F L' D2 U' L' R D'
F L' D2 U' L' R D2
F L' D2 U' L' D R
F L' D2 U' L' D' R
F L' D2 U' L' D2 R
F L' D2 U' R L' D
F L' D2 U' R L' D'
F L' D2 U' R L' D2
F L' D2 U' R D L'
F L' D2 U' R D' L'
F L' D2 U' R D2 L'
F L' D2 B U' L' R
F L' D2 B U' R L'
F L' D2 B' U' L' R
F L' D2 B' U' R L'
F L' D2 B2 U' L' R
F L' D2 B2 U' R L'
D' L' F' B2 U' F2 R
F L' F2 U L' R U2
F L' F2 U R L' U2
D' L' F2 B2 U' F' R
F L' B U' L' R D
F L' B U' L' R D'
F L' B U' L' R D2
F L' B U' L' D R
F L' B U' L' D' R
F L' B U' L' D2 R
F L' B U' R L' D
F L' B U' R L' D'
F L' B U' R L' D2
F L' B U' R D L'
F L' B U' R D' L'
F L' B U' R D2 L'
F L' B U' D L' R
F L' B U' D R L'
F L' B U' D' L' R
F L' B U' D' R L'
F L' B U' D2 L' R
F L' B U' D2 R L'
F L' B D U' L' R
F L' B D U' R L'
F L' B D' U' L' R
F L' B D' U' R L'
F L' B D2 U' L' R
F L' B D2 U' R L'
L2 R2 D F R F' B2
L2 R2 D F R B2 F'
R2 L2 D F R F' B2
R2 L2 D F R B2 F'
L2 R2 D F B2 R F'
R2 L2 D F B2 R F'
F L' B' U' L' R D
F L' B' U' L' R D'
F L' B' U' L' R D2
F L' B' U' L' D R
F L' B' U' L' D' R
F L' B' U' L' D2 R
F L' B' U' R L' D
F L' B' U' R L' D'
F L' B' U' R L' D2
F L' B' U' R D L'
F L' B' U' R D' L'
F L' B' U' R D2 L'
F L' B' U' D L' R
F L' B' U' D R L'
F L' B' U' D' L' R
F L' B' U' D' R L'
F L' B' U' D2 L' R
F L' B' U' D2 R L'
F L' B' D U' L' R
F L' B' D U' R L'
F L' B' D' U' L' R
F L' B' D' U' R L'
L2 R2 D B2 F R F'
F L' B' D2 U' L' R
F L' B' D2 U' R L'
R2 L2 D B2 F R F'
D' L' B2 F' U' F2 R
F L' B2 U' L' R D
F L' B2 U' L' R D'
F L' B2 U' L' R D2
F L' B2 U' L' D R
F L' B2 U' L' D' R
F L' B2 U' L' D2 R
F L' B2 U' R L' D
F L' B2 U' R L' D'
F L' B2 U' R L' D2
F L' B2 U' R D L'
F L' B2 U' R D' L'
F L' B2 U' R D2 L'
D' L' B2 F2 U' F' R
F L' B2 U' D L' R
F L' B2 U' D R L'
F L' B2 U' D' L' R
F L' B2 U' D' R L'
F L' B2 U' D2 L' R
F L' B2 U' D2 R L'
F L' B2 D U' L' R
F L' B2 D U' R L'
F L' B2 D' U' L' R
F L' B2 D' U' R L'
F L' B2 D2 U' L' R
F L' B2 D2 U' R L'
F L2 R U L R' U'
F L2 R U R' L U'
U' L2 U F L' U' R
F L2 D L U' L' R
F L2 D L U' R L'
F L2 D' L U' L' R
F L2 D' L U' R L'
F L2 D2 L U' L' R
F L2 D2 L U' R L'
B' L2 F L' U' L R
B' L2 F L' U' R L
B2 L2 F L' U' L R
B2 L2 F L' U' R L
B L2 F L' U' L R
B L2 F L' U' R L
F2 L2 F' L' U' L R
F2 L2 F' L' U' R L
F R L2 U L R' U'
F R L2 U R' L U'
F R U L' R' U' L'
F R U R' L' U' L'
F' U L' U R U L'
L D F U' L R F'
L D F U' R L F'
L D F U' R F' L
F2 U' L R' F' L R
F2 U' L R' F' R L
F U' L R D L F2
F U' L R D F2 L
F U' L D L R F2
F U' L D R L F2
F U' L D R F2 L
F2 U' L2 R' F' R D
F2 U' L2 R' F' R D'
F2 U' L2 R' F' R D2
F2 U' L2 R' F' D R
F2 U' L2 R' F' D' R
F2 U' L2 R' F' D2 R
F2 U' L2 R2 F' R F'
F2 U' L2 F' R' F' R2
F U' L2 R U L U'
F U' L2 U L U' R
F2 U' R' L F' L R
F2 U' R' L F' R L
F U' R L D L F2
F U' R L D F2 L
F2 U' R' L2 F' R D
F2 U' R' L2 F' R D'
F2 U' R' L2 F' R D2
F2 U' R' L2 F' D R
F2 U' R' L2 F' D' R
F2 U' R' L2 F' D2 R
F U' R L2 U L U'
F U' R U L' U' L'
F2 U' R' F' L2 R D
F2 U' R' F' L2 R D'
F2 U' R' F' L2 R D2
F2 U' R' F' L2 D R
F2 U' R' F' L2 D' R
F2 U' R' F' L2 D2 R
F2 U' R' F' R L2 D
F2 U' R' F' R L2 D'
F2 U' R' F' R L2 D2
F2 U' R2 L2 F' R F'
F2 U' R2 F' L2 R F'
F2 U' R2 F' R L2 F'
F2 U' R2 F' R F' L2
F2 U' F' L2 R' F' R2
F2 U' F' R' L2 F' R2
F2 U' F' R' F' L2 R2
F2 U' F' R' F' R2 L2
F' U2 R U' L' U2 L'
F' U2 R D F2 U R
F' U2 R F2 U L2 R
F' U2 R F2 U R L2
F' U2 D R F2 U R
D' F L' B2 U' R F
L2 F L' U' L R D
L2 F L' U' L R D'
L2 F L' U' L R D2
L2 F L' U' L D R
L2 F L' U' L D' R
L2 F L' U' L D2 R
L2 F L' U' R L D
L2 F L' U' R L D'
L2 F L' U' R L D2
L2 F L' U' R D L
L2 F L' U' R D' L
L2 F L' U' R D2 L
L2 F L' U' D L R
