U L B R' U R'
U L R U D' R F'
U L R D' U R F'
U L R B R' U R2
U L R2 B R' U R
U2 L U R2 D L' F
U L U R D' R F'
L' R D' B2 L R F'
L' R D' B2 R L F'
L' R D' B2 R F' L
U2 L D B2 U L' F
U2 L B R' U L' R'
U2 L B R' U R' L'
U L B R' U R' D
U L B R' U R' D'
U L B R' U R' D2
U L B R' U D R'
U L B R' U D' R'
U L B R' U D2 R'
U L B R' D U R'
U L B R' D' U R'
U L B R' D2 U R'
U L B D R' B2 U
D L B' U B' U B
U L B' U2 L U' R2
U L B' D B2 R' U
U L B2 R' U R' F'
U L B2 U R' F' R'
R L' D' B2 L R F'
R L' D' B2 R L F'
R L' D' B2 R F' L
D L' U2 D' R2 F B2
D L' U2 D' R2 B2 F
D L' U2 D' F R2 B2
D L' U2 D' F B2 R2
D L' U2 D' B2 R2 F
D L' U2 D' B2 F R2
D L' U2 F D' R2 B2
D L' U2 F D' B2 R2
D L' D L2 F2 B' U2
D L' D L2 B' F2 U2
D2 L' D F2 U2 R F'
D L' D F2 L2 U2 F'
D2 L' D' L' U2 F B2
D2 L' D' L' U2 B2 F
D L' D' U2 R2 F B2
D L' D' U2 R2 B2 F
D L' D' U2 F R2 B2
D L' D' U2 F B2 R2
D L' D' U2 B2 R2 F
D L' D' U2 B2 F R2
U L' B L2 R' U R'
U L' B R' L2 U R'
D2 L2 U D' L' U F
B' L2 U' L' U' R2 B'
B' L2 U' L' U' B' R2
D' L2 U' F2 R U' F'
U L2 D L' B2 U F
D2 L2 D' U L' U F
U L2 D B2 L' U F
U' L2 D' F2 R U' F'
L2 U L' B R' U R'
L' U L2 B R' U R'
U L2 B L' R' U R'
U L2 B R' L' U R'
L2 U D L' B2 U F
L2 U D B2 L' U F
U R L U D' R F'
U R L D' U R F'
U R L B R' U R2
L' U B L2 R' U R'
L' U B R' L2 U R'
L2 U B L' R' U R'
L2 U B R' L' U R'
L U B R' U R' B'
U R D' L U R F'
L2 U' D' F2 R U' F'
B2 R' U R U2 R2 F'
B2 R' U R B U2 R2
L' U2 R D' R F' B2
L' U2 R D' R B2 F'
L' U2 R D' B2 R F'
U R2 L B R' U R
L U2 B' L U' L' R2
L U2 B' L U' R2 L'
R2 D L' D F L2 B'
L2 D U L' B2 U F
L2 D U B2 L' U F
U2 R2 B2 U R' U' F'
F' U L B R' U R'
F2 U L B R' U R'
D U L B2 R2 U F'
D U L B2 U' B U2
F U L B R' U R'
U D L B2 R2 U F'
U D L B2 U' B U2
B U R' U D' R' B
B U R' D' U R' B
U' D' L2 F2 R U' F'
D' U' L2 F2 R U' F'
B' U' L U F U2 R2
B2 U' L R' U' R' F
B2 U' L R' U' F R'
L2 D' U' F2 R U' F'
B' U' L F2 U' R2 B
B2 U' R' L U' R' F
B2 U' R' L U' F R'
R2 D2 L' D' L' F B2
R2 D2 L' D' L' B2 F
R2 D2 L' D' B2 L' F
D2 F' L2 U L' R U
D2 F' L2 U R L' U
B' D2 L2 U' L' U' B'
L B R' U R' D2 L2
L' B U L2 R' U R'
U B R' U D' R' B
L B R' U' R U2 R2
L' B U R' L2 U R'
U B R' D' U R' B
L B R' F2 U L' R'
L B R' F2 U R' L'
L2 B U L' R' U R'
L2 B U R' L' U R'
U2 B' L U' L' R2 B'
U2 B' L U' L' B' R2
U2 B' L U' R2 L' B'
L B' U2 L U' L' R2
L B' U2 L U' R2 L'
R B2 R' U' L R2 F
R B2 R' U' L F R2
R B2 R' U' R2 L F
U2 B2 U R' U' F' R'
U B2 U2 R' U' R' F'
