B2 R' U' F' R
B2 L R' U' F' R
B2 L' R' U' F' R
B2 L2 R' U' F' R
B2 R' L U' F' R
B2 R' L' U' F' R
B2 R' L2 U' F' R
B2 R' U' F' R D
B2 R' U' F' R D'
B2 R' U' F' R D2
B2 R' U' F' D R
B2 R' U' F' D' R
B2 R' U' F' D2 R
B2 R' F U' F2 R
B2 F' R' U' F' R2
F' B2 R' U' F' R2
R' L U F' R D L2
R' L U F' D L2 R
R' L U F' D R L2
B2 L R' U' F' R D
B2 L R' U' F' R D'
B2 L R' U' F' R D2
B2 L R' U' F' D R
B2 L R' U' F' D' R
B2 L R' U' F' D2 R
B2 L R' F U' F2 R
R' L U2 B2 U' F' R
B2 L F' R' U' F' R2
B L B R' U' F' R
L R' U F' R D L2
L R' U F' D L2 R
L R' U F' D R L2
L R' U2 B2 U' F' R
B2 L' R' U' F' R D
B2 L' R' U' F' R D'
B2 L' R' U' F' R D2
B2 L' R' U' F' D R
B2 L' R' U' F' D' R
B2 L' R' U' F' D2 R
B2 L' R' F U' F2 R
B2 L' F' R' U' F' R2
B L' B R' U' F' R
B2 L2 R' U' F' R D
B2 L2 R' U' F' R D'
B2 L2 R' U' F' R D2
B2 L2 R' U' F' D R
B2 L2 R' U' F' D' R
B2 L2 R' U' F' D2 R
B2 L2 R' F U' F2 R
B2 L2 F' R' U' F' R2
B L2 B R' U' F' R
B2 R F' R2 U' F' R'
B2 R' L U' F' R D
B2 R' L U' F' R D'
B2 R' L U' F' R D2
B2 R' L U' F' D R
B2 R' L U' F' D' R
B2 R' L U' F' D2 R
B2 R' L F U' F2 R
B2 R' L' U' F' R D
B2 R' L' U' F' R D'
B2 R' L' U' F' R D2
B2 R' L' U' F' D R
B2 R' L' U' F' D' R
B2 R' L' U' F' D2 R
B2 R' L' F U' F2 R
B2 R' L2 U' F' R D
B2 R' L2 U' F' R D'
B2 R' L2 U' F' R D2
B2 R' L2 U' F' D R
B2 R' L2 U' F' D' R
B2 R' L2 U' F' D2 R
B2 R' L2 F U' F2 R
B2 R' U L U2 F' R
B2 R' U L' U2 F' R
B2 R' U L2 U2 F' R
B2 R' U B U2 F' R
B2 R' U B' U2 F' R
B2 R' U B2 U2 F' R
B2 R' U' L' F' L R
B2 R' U' L' F' R L
B2 R' U' L2 F' L2 R
B2 R' U' L2 F' R L2
B2 R' U' R' F' R F'
B2 R' U' F R F2 R
B2 R' U' F R' F2 R
B2 R' U' F R2 F2 R
B2 R' U' F' R2 D R'
B2 R' U' F' R2 D' R'
B2 R' U' F' R2 D2 R'
B2 R' U' F' D R D
B2 R' U' F' D R D'
B2 R' U' F' D R D2
B2 R' U' F' D' R D
B2 R' U' F' D' R D'
B2 R' U' F' D' R D2
B2 R' U' F' D2 R D
B2 R' U' F' D2 R D'
B2 R' U' F' D2 R D2
B2 R' U' F' B R B'
B2 R' U' F' B2 R B2
B2 R' U' F2 R F R
B2 R' U' F2 R' F R
B2 R' U' F2 R2 F R
B2 R' U' F2 D F R
B2 R' U' F2 D' F R
B2 R' U' F2 D2 F R
B2 R' U' B F' R B'
B2 R' U' B2 F' R B2
B2 R' U2 B U F' R
B2 R' U2 B' U F' R
B2 R' U2 B2 U F' R
B2 R' D' L' F U' F2
B2 R' F U L' U2 F2
B2 R' F U' R F2 R
B2 R' F U' R' F2 R
B2 R' F U' R2 F2 R
B2 R' F U' F2 R D
B2 R' F U' F2 R D'
B2 R' F U' F2 R D2
B2 R' F U' F2 D R
B2 R' F U' F2 D' R
B2 R' F U' F2 D2 R
B2 R2 F' U' R F' B
B2 R2 F' U' R B F'
L D R' B U L2 F'
L D R' B U F' L2
B2 D R F' R2 U' F'
B2 D R' U2 B U F'
R' F B2 R' U' F2 R
R' F' R U B2 R' U'
R' F' U B2 R' U' R2
B2 D' L' R' F U' F2
B2 D' L' F R' U' F'
B2 D' R' L' F U' F2
B2 D' R' U' D F' R
B2 D' R' D U' F' R
R2 F' B2 R' U' R2 F'
U F' B2 L' R' U' R2
U F' B2 R' L' U' R2
B2 D2 R' U' D2 F' R
B2 D2 R' D2 U' F' R
L B R' U F' L' R
L B R' U F' R L'
L B R2 F' U R F'
D2 B D' L2 R' F' B
D2 B D' L2 R' B F'
D2 B D' R' L2 F' B
D2 B D' R' L2 B F'
D2 B D' R' F' L2 B
D2 B D' R' F' B L2
D2 B D' R' B L2 F'
D2 B D' R' B F' L2
B2 F R' U L' U2 F'
B2 F R' U' F2 R F
B2 F R' F2 U' R F
B2 F' L R' U' F' R2
B2 F' L' R' U' F' R2
B2 F' L2 R' U' F' R2
B2 F' R' L U' F' R2
B2 F' R' L' U' F' R2
B2 F' R' L2 U' F' R2
B2 F' R' U' F R2 F2
B2 F' R' U' F' R2 D
B2 F' R' U' F' R2 D'
B2 F' R' U' F' R2 D2
B2 F' R' U' F2 R2 F
B2 F' R' D' F2 U' F
B2 F' R' F U' R2 F2
B2 F' R' F U' F2 R2
B2 F' R' F2 U' R2 F
B2 F' R' F2 U' F R2
B2 F' D R' U' F' R2
B2 F' D' R' U' F' R2
B2 F' D2 R' U' F' R2
F' B2 L R' U' F' R2
F' B2 L' R' U' F' R2
R' B2 R' U' R F' R
R' B2 R' U' F' R F'
R' B2 R' F' U' R F'
F' B2 L2 R' U' F' R2
R2 B2 R' U' R2 F' R
U B2 R' U' R' F' R
F' B2 R' L U' F' R2
F' B2 R' L' U' F' R2
F' B2 R' L2 U' F' R2
U B2 R' F' L' U' R
F' B2 R' U' F R2 F2
F' B2 R' U' F' R2 D
F' B2 R' U' F' R2 D'
F' B2 R' U' F' R2 D2
F' B2 R' U' F2 R2 F
F' B2 R' D' F2 U' F
F' B2 R' F U' R2 F2
F' B2 R' F U' F2 R2
F' B2 R' F2 U' R2 F
F' B2 R' F2 U' F R2
R' B2 U' F' R D B2
B2 F2 R' F U' R F2
F2 B2 R' F U' R F2
F B2 R' U L' U2 F'
F B2 R' U' F2 R F
F B2 R' F2 U' R F
F' B2 D R' U' F' R2
R' B2 F R' U' F2 R
F' B2 D' R' U' F' R2
F' B2 D2 R' U' F' R2
R2 B2 F' R' U' R2 F'
U B2 F' L' R' U' R2
U B2 F' R' L' U' R2
