R B U L B U'
B' L R' U R2 B L
B L R' U' R2 B L
L' R B U L B U'
L R B U L B U'
L2 R B U L B U'
R L B U L B U'
B L B R' U' R2 B
B L B R2 U' R' B
D L' R B L' D F2
R L' B U L B U'
D L2 R B U L U'
R L2 B U L B U'
R2 U R' D L2 F' B
R2 U R' D L2 B F'
R2 U R' D F' L2 B
R2 U R' D F' B L2
R2 U R' D B L2 F'
R2 U R' D B F' L2
R2 U R' F' D L2 B
R2 U R' F' D B L2
D L2 B' R D' F2 B
D L2 B' R D' B F2
D L2 B' R B D' F2
D L2 B2 D' R F' B
D L2 B2 D' R B F'
D R L' B L' D F2
D R L2 B U L U'
R U B2 R' U' F' B'
R U B2 R' U' B' F'
B' R D' F2 B D L2
B' R D' B F2 D L2
B' R D2 B D L2 F2
B' R D2 B D F2 L2
D' R F2 B L' D F2
D' R B L' D F2 L'
D R B L' D L' F2
D R B L2 U L' U'
B' R B D L2 D2 F2
B' R B D' F2 D2 L2
D R B U L U' L
D' R B F2 L' D F2
B' R' L U R2 B L
B R' L U' R2 B L
B' R' U R2 B D L2
B' R' U2 B' U' R2 B
D R2 U L2 R' F' B
D R2 U L2 R' B F'
D R2 U R' L2 F' B
D R2 U R' L2 B F'
D R2 U R' F' L2 B
D R2 U R' F' B L2
D R2 U R' B L2 F'
D R2 U R' B F' L2
R D L' B L' D F2
D2 R2 F2 U R' F' B
D2 R2 F2 U R' B F'
R D L2 B U L U'
B U L B U' R B
R D B L' D L' F2
R D B L2 U L' U'
R D B U L U' L
R F B U L B U'
B2 D' R' U' R2 F' B
B2 D' R' U' R2 B F'
R F' B U L B U'
R F2 B U L B U'
R' B L B U' R2 B
R B L' U L2 B U'
R B L' U B L2 U'
R B L2 U L' B U'
R B L2 U B L' U'
R B U L D B U'
R B U L D' B U'
R B U L D2 B U'
R B U L B U' D
R B U L B U' D'
R B U L B U' D2
R B U L B D U'
R B U L B D' U'
R B U L B D2 U'
R B U L' B L2 U'
R B U L2 B L' U'
R B U D L B U'
R B U D' L B U'
R B U D2 L B U'
R B D U L B U'
R B D' U L B U'
R B D2 U L B U'
R B F U L B U'
R B F' U L B U'
R B F2 U L B U'
D2 B' R D' L2 F2 B
D2 B' R D' L2 B F2
D2 B' R D' F2 L2 B
D2 B' R D' F2 B L2
D2 B' R D' B L2 F2
D2 B' R D' B F2 L2
D B' L2 R D' F2 B
D B' L2 R D' B F2
D' B' R D' F2 L' B
D B' L2 R B D' F2
D' B' R D' F2 B L'
D' B' R D' B F2 L'
D2 B' R B D' L2 F2
D2 B' R B D' F2 L2
D' B' R B D' F2 L'
D B' R L2 D' F2 B
D B' R L2 D' B F2
D B' R L2 B D' F2
D B' R B L2 D' F2
D B' R' U L2 R2 B
D B' R' U R2 L2 B
D B' R' U R2 B L2
D B2 L2 D' R F' B
D B2 L2 D' R B F'
D2 B2 D' L2 R F' B
D2 B2 D' L2 R B F'
D2 B2 D' R L2 F' B
D2 B2 D' R L2 B F'
D2 B2 D' R F' L2 B
D2 B2 D' R F' B L2
D2 B2 D' R B L2 F'
D2 B2 D' R B F' L2
