F' R U B U
F' L R U B U
F' L' R U B U
F' L2 R U B U
F' R L U B U
F' R L' U B U
F' R L2 U B U
F' R U D B U
F' R U D' B U
F' R U D2 B U
F' R U B U D
F' R U B U D'
F' R U B U D2
F' R U B D U
F' R U B D' U
F' R U B D2 U
F' R D U B U
F' R D' U B U
F' R D2 U B U
F' D R U B U
L' F' R U B U
L2 F' R U B U
L F' R U B U
F' D' R U B U
F' D2 R U B U
F' L R U D B U
F' L R U D' B U
F' L R U D2 B U
F' L R U B U D
F' L R U B U D'
F' L R U B U D2
F' L R U B D U
F' L R U B D' U
F' L R U B D2 U
F' L R D U B U
F' L R D' U B U
F' L R D2 U B U
F' L D R U B U
F' L D' R U B U
F' L D2 R U B U
D' L F' U' B' U' R'
F' L' R U D B U
F' L' R U D' B U
F' L' R U D2 B U
F' L' R U B U D
F' L' R U B U D'
F' L' R U B U D2
F' L' R U B D U
F' L' R U B D' U
F' L' R U B D2 U
F' L' R D U B U
F' L' R D' U B U
F' L' R D2 U B U
F' L' D R U B U
F' L' D' R U B U
F' L' D2 R U B U
F' L2 R U D B U
F' L2 R U D' B U
F' L2 R U D2 B U
F' L2 R U B U D
F' L2 R U B U D'
F' L2 R U B U D2
F' L2 R U B D U
F' L2 R U B D' U
F' L2 R U B D2 U
F' L2 R D U B U
F' L2 R D' U B U
F' L2 R D2 U B U
F' L2 D R U B U
F' L2 D' R U B U
F' L2 D2 R U B U
F' R L U D B U
F' R L U D' B U
F' R L U D2 B U
F' R L U B U D
F' R L U B U D'
F' R L U B U D2
F' R L U B D U
F' R L U B D' U
F' R L U B D2 U
F' R L D U B U
F' R L D' U B U
F' R L D2 U B U
F' R L' U D B U
F' R L' U D' B U
F' R L' U D2 B U
F' R L' U B U D
F' R L' U B U D'
F' R L' U B U D2
F' R L' U B D U
F' R L' U B D' U
F' R L' U B D2 U
F' R L' D U B U
F' R L' D' U B U
F' R L' D2 U B U
F' R L2 U D B U
F' R L2 U D' B U
F' R L2 U D2 B U
F' R L2 U B U D
F' R L2 U B U D'
F' R L2 U B U D2
F' R L2 U B D U
F' R L2 U B D' U
F' R L2 U B D2 U
F' R L2 D U B U
F' R L2 D' U B U
F' R L2 D2 U B U
F' R U L B L' U
F' R U L2 B L2 U
F' R U D B U D
F' R U D B U D'
F' R U D B U D2
F' R U D B D U
F' R U D B D' U
F' R U D B D2 U
F' R U D' B U D
F' R U D' B U D'
F' R U D' B U D2
F' R U D' B D U
F' R U D' B D' U
F' R U D' B D2 U
F' R U D2 B U D
F' R U D2 B U D'
F' R U D2 B U D2
F' R U D2 B D U
F' R U D2 B D' U
F' R U D2 B D2 U
F' R U B' U D' R2
F' R U B' D' U R2
F' R U B2 D B' U
F' R U B2 D' B' U
F' R U B2 D2 B' U
D R U F' L' B U
D R U F' B L' U
D R U B F' L' U
F' R U' R2 F' R2 U'
F' R U' F U2 B U
F' R U' F' U2 B U
F' R U' F2 U2 B U
F' R U2 R2 U F' U'
F' R U2 B' D' B R2
F' R D L U B U
F' R D L' U B U
F' R D L2 U B U
F' R D U B U D
F' R D U B U D'
F' R D U B U D2
F' R D U B D U
F' R D U B D' U
F' R D U B D2 U
F' R D' L U B U
F' R D' L' U B U
F' R D' L2 U B U
F' R D' U B U D
F' R D' U B U D'
F' R D' U B U D2
F' R D' U B D U
F' R D' U B D' U
F' R D' U B D2 U
F' R D2 L U B U
F' R D2 L' U B U
F' R D2 L2 U B U
F' R D2 U B U D
F' R D2 U B U D'
F' R D2 U B U D2
F' R D2 U B D U
F' R D2 U B D' U
F' R D2 U B D2 U
F' R B' U2 D' R2 F'
F' R B' D L2 B U2
F' R B' D B L2 U2
F' R B' D' U2 R2 F'
F' R B' D' B U2 R2
R' U' F' U R F' U2
F' R' U' D F' B2 U'
F' R' U' D B2 F' U'
F' R' U' D2 F' U' L2
F' R' U' F' U R2 U2
F' R' U' F' U' D2 L2
F' R' U' F' D B2 U'
F' R' U' F' D2 U' L2
F' R' D U' F' B2 U'
F' R' D U' B2 F' U'
F' R' D2 U' F' U' L2
F2 R' F R U' F2 U'
F2 R' F R U2 D R2
F2 R' F R D U2 R2
F2 R' F R D' L2 U2
F2 R' F U' F2 U' L'
F2 R' F D R U2 R
F2 R' F D' L2 R U2
F2 R' F D' R L2 U2
F R' F2 R U' F U'
F2 R2 D' F L' R U2
F2 R2 D' F R L' U2
F2 R2 F R U' F' U'
F R2 F2 R U' F' U'
B' U F' L' B R U2
B2 U F' L' R B2 U2
B2 U F' L' B2 R U2
B2 U F' R L' B2 U2
B2 U F' R B2 L' U2
B' U F' B L' R U2
B' U F' B R L' U2
B2 U F' B2 L' R U2
B2 U F' B2 R L' U2
B U F' R B' L' U2
B U F' B' L' R U2
B U F' B' R L' U2
B' U B F' L' R U2
B' U B F' R L' U2
B U B' F' L' R U2
B U B' F' R L' U2
B2 U B2 F' L' R U2
B2 U B2 F' R L' U2
B' U' F' B L R U2
B' U' F' B R L U2
B U' F' R B' U2 R'
F' U' F2 B' U' L' R'
F' U' F2 B' U' R' L'
B U' F' B' R U2 R2
B' U' B L F' R U2
F' U' B U L R U2
F' U' B U R L U2
B' U' B F' L R U2
B' U' B F' R L U2
F' U' B' U R U2 R2
F' U' B' U' R' D2 L2
F' U' B' F2 U' L' R'
F' U' B' F2 U' R' L'
B U' B' F' R U2 R2
F' D L R U B U
U F U L' R D2 B2
U F U L' D2 R B2
U F U L' D2 B2 R
U F U R L' D2 B2
U F U R D2 L' B2
U F U R D2 B2 L'
U F U D2 L' R B2
U F U D2 L' B2 R
U F U D2 R L' B2
U F U D2 R B2 L'
U F U D2 B2 L' R
U F U D2 B2 R L'
F' D L' R U B U
R F U B U L' B'
R2 F U2 L' D B R'
U F U' F2 L' R U2
R2 F U2 D L' B R'
U F U' F2 R L' U2
R2 F U2 D B L' R'
R2 F U2 D B R' L'
F' D L2 R U B U
R F U2 L' B' D' R2
R2 F D U2 L' B R'
R2 F D U2 B L' R'
R2 F D U2 B R' L'
F' D R L U B U
F' D R L' U B U
F' D R L2 U B U
F' D R U D B U
F' D R U D' B U
F' D R U D2 B U
F' D R U B U D
F' D R U B U D'
F' D R U B U D2
F' D R U B D U
F' D R U B D' U
F' D R U B D2 U
F' D R D U B U
F' D R D' U B U
F' D R D2 U B U
U F D' L2 U L R
U F D' L2 U R L
U F D2 U L' R B2
U F D2 U L' B2 R
U F D2 U R L' B2
U F D2 U R B2 L'
U F D2 U B2 L' R
U F D2 U B2 R L'
L' F' L R U B U
D' F' L U' B' U' R'
L2 F' L R U B U
L' F' L' R U B U
D' F' L' U F U R
L2 F' L' R U B U
L F' L R U B U
L' F' L2 R U B U
F2 D F R U B U
L2 F' L2 R U B U
U F' L' R U R' U
L F' L' R U B U
L' F' R L U B U
L' F' R L' U B U
L' F' R L2 U B U
L' F' R U D B U
L' F' R U D' B U
L' F' R U D2 B U
L' F' R U B U D
L' F' R U B U D'
L' F' R U B U D2
L' F' R U B D U
L' F' R U B D' U
L' F' R U B D2 U
R' F' R F' U' F U'
L' F' R D U B U
L' F' R D' U B U
L' F' R D2 U B U
L2 F' R L U B U
L2 F' R L' U B U
L2 F' R L2 U B U
L F' L2 R U B U
L2 F' R U D B U
L2 F' R U D' B U
L2 F' R U D2 B U
L2 F' R U B U D
L2 F' R U B U D'
L2 F' R U B U D2
L2 F' R U B D U
L2 F' R U B D' U
L2 F' R U B D2 U
L2 F' R D U B U
L2 F' R D' U B U
L2 F' R D2 U B U
D F' R U F' B U
D F' R U B F' U
U F' R L' U R' U
L F' R L U B U
L F' R L' U B U
L F' R L2 U B U
L F' R U D B U
L F' R U D' B U
L F' R U D2 B U
L F' R U B U D
L F' R U B U D'
L F' R U B U D2
L F' R U B D U
L F' R U B D' U
L F' R U B D2 U
L F' R D U B U
L F' R D' U B U
R F' R U2 D B R'
L F' R D2 U B U
R F' R D U2 B R'
D F' R' U' F' B U'
D F' R' U' B F' U'
F' D' L R U B U
D2 F' U' B' U' L R'
D2 F' U' B' U' R' L
F' D' L' R U B U
L' F' D R U B U
F' D' L2 R U B U
L2 F' D R U B U
L' F' D' R U B U
F' D' R L U B U
F' D' R L' U B U
F' D' R L2 U B U
F' D' R U D B U
F' D' R U D' B U
F' D' R U D2 B U
F' D' R U B U D
F' D' R U B U D'
F' D' R U B U D2
F' D' R U B D U
F' D' R U B D' U
F' D' R U B D2 U
L2 F' D' R U B U
F' D' R D U B U
L F' D R U B U
F' D' R D' U B U
F' D' R D2 U B U
L' F' D2 R U B U
L2 F' D2 R U B U
L F' D' R U B U
L F' D2 R U B U
F2 D' F R U B U
F' D2 L R U B U
F' D2 L' R U B U
R2 F2 U2 D B L R'
R2 F2 U2 D B R' L
F' D2 L2 R U B U
F' D2 R L U B U
F' D2 R L' U B U
R2 F2 D U2 B L R'
R2 F2 D U2 B R' L
F' D2 R L2 U B U
F' D2 R U D B U
F' D2 R U D' B U
F' D2 R U D2 B U
F' D2 R U B U D
F' D2 R U B U D'
F' D2 R U B U D2
F' D2 R U B D U
F' D2 R U B D' U
F' D2 R U B D2 U
F' D2 R D U B U
F' D2 R D' U B U
F' D2 R D2 U B U
F2 D2 F R U B U
U' B U L F' R U2
U' B U F' L R U2
U' B U F' R L U2
F' B R B' U B2 U
F' B R B' U2 D' R2
F' B R B' D L2 U2
F' B R B' D' U2 R2
U' B' U F' R U2 R2
B2 F' R B2 U B' U
B F' R B' U B2 U
B F' R B' U2 D' R2
B F' R B' D L2 U2
B F' R B' D' U2 R2
F' B2 R B2 U B' U
