F2 R U' B L
F2 R U' L B L
F2 R U' L' B L
F2 R U' L2 B L
F2 R U' D B L
F2 R U' D' B L
F2 R U' D2 B L
F2 R U' B L D
F2 R U' B L D'
F2 R U' B L D2
F2 R U' B D L
F2 R U' B D' L
F2 R U' B D2 L
F2 R D U' B L
F2 R D' U' B L
F2 R D2 U' B L
F2 R2 D B R' U'
F2 R2 B R' U' B
F2 U2 L' F' U B'
U2 F L' U B' R'
F2 U2 F' L' U B'
F2 D R U' B L
F2 D' R U' B L
F2 D2 R U' B L
R F2 U2 F' U B
F2 B R U' B L
F2 B' R U' B L
B' F2 R U' B L
B2 F2 R U' B L
F2 B2 R U' B L
B F2 R U' B L
F L U2 L' F U' B'
L2 R F2 B' L2 U' B2
L2 R B D L2 R2 F2
L2 R B D L2 F2 R2
L2 R B D R2 L2 F2
L2 R B D R2 F2 L2
L2 R B D F2 L2 R2
L2 R B D F2 R2 L2
L2 R B' L2 F2 U' B2
L2 R B' F2 L2 U' B2
L2 R' F2 B' L2 U' B'
L2 R' B' F2 L2 U' B'
U2 L' D2 B2 U B L
R' L2 F2 B' L2 U' B'
D' L2 U' B' L2 R' U'
D' L2 U' B' R' L2 U'
R L2 F2 B' L2 U' B2
R L2 B D L2 R2 F2
R L2 B D L2 F2 R2
R L2 B D R2 L2 F2
R L2 B D R2 F2 L2
R L2 B D F2 L2 R2
R L2 B D F2 R2 L2
R L2 B' L2 F2 U' B2
R' L2 B' F2 L2 U' B'
R L2 B' F2 L2 U' B2
U' L2 F2 B' R' U' F2
U' L2 B' R' F2 U' F2
U' L2 B' F2 R' U' F2
F2 R U R2 F' U2 L'
F2 R U F' U2 L' B
F2 R U F' U2 B L'
F2 R U' L D B L
F2 R U' L D' B L
F2 R U' L D2 B L
F2 R U' L B L D
F2 R U' L B L D'
F2 R U' L B L D2
F2 R U' L B D L
F2 R U' L B D' L
F2 R U' L B D2 L
F2 R U' L' D B L
F2 R U' L' D' B L
F2 R U' L' D2 B L
F2 R U' L' B L D
F2 R U' L' B L D'
F2 R U' L' B L D2
F2 R U' L' B D L
F2 R U' L' B D' L
F2 R U' L' B D2 L
F2 R U' L2 D B L
F2 R U' L2 D' B L
F2 R U' L2 D2 B L
F2 R U' L2 B L D
F2 R U' L2 B L D'
F2 R U' L2 B L D2
F2 R U' L2 B D L
F2 R U' L2 B D' L
F2 R U' L2 B D2 L
F2 R U' D L B L
F2 R U' D L' B L
F2 R U' D L2 B L
F2 R U' D B L D
F2 R U' D B L D'
F2 R U' D B L D2
F2 R U' D B D L
F2 R U' D B D' L
F2 R U' D B D2 L
F2 R U' D' L B L
F2 R U' D' L' B L
F2 R U' D' L2 B L
F2 R U' D' B L D
F2 R U' D' B L D'
F2 R U' D' B L D2
F2 R U' D' B D L
F2 R U' D' B D' L
F2 R U' D' B D2 L
F2 R U' D2 L B L
F2 R U' D2 L' B L
F2 R U' D2 L2 B L
F2 R U' D2 B L D
F2 R U' D2 B L D'
F2 R U' D2 B L D2
F2 R U' D2 B D L
F2 R U' D2 B D' L
F2 R U' D2 B D2 L
F2 R U' F B L F'
F2 R U' F2 B L F2
F2 R U' B L2 D L'
F2 R U' B L2 D' L'
F2 R U' B L2 D2 L'
F2 R U' B D L D
F2 R U' B D L D'
F2 R U' B D L D2
F2 R U' B D' L D
F2 R U' B D' L D'
F2 R U' B D' L D2
F2 R U' B D2 L D
F2 R U' B D2 L D'
F2 R U' B D2 L D2
F2 R U' B F L F'
F2 R U' B F2 L F2
F2 R U' B' L B2 L
F2 R U' B' L' B2 L
F2 R U' B' L2 B2 L
F2 R U2 L F U B
D2 R U2 F B2 U B'
F2 R U2 F U B L
D2 R U2 B2 F U B'
F2 R U2 F' U B L
F2 R U2 F2 U B L
F2 R D U' L B L
F2 R D U' L' B L
F2 R D U' L2 B L
F2 R D U' B L D
F2 R D U' B L D'
F2 R D U' B L D2
F2 R D U' B D L
F2 R D U' B D' L
F2 R D U' B D2 L
F2 R D' U' L B L
F2 R D' U' L' B L
F2 R D' U' L2 B L
F2 R D' U' B L D
F2 R D' U' B L D'
F2 R D' U' B L D2
F2 R D' U' B D L
F2 R D' U' B D' L
F2 R D' U' B D2 L
F2 R D2 U' L B L
F2 R D2 U' L' B L
F2 R D2 U' L2 B L
F2 R D2 U' B L D
F2 R D2 U' B L D'
F2 R D2 U' B L D2
F2 R D2 U' B D L
F2 R D2 U' B D' L
F2 R D2 U' B D2 L
F' R D2 B2 U' B' R'
F R F U2 F' U B
R U' L2 B D L2 R2
R U' L2 B D R2 L2
B' R F2 U2 F' U B
B2 R F2 U2 F' U B
B R F2 U2 F' U B
F2 R B R B U' B'
F2 R B' R B U' B
F2 R B' U' B L B
F2 R B2 R B U' B2
F2 R B2 U' B L B2
F2 R' U D' F' R U2
L2 U' F2 B' L2 R' U'
L2 U' F2 B' R' L2 U'
L2 U' B' L2 R' F2 U'
L2 U' B' L2 F2 R' U'
L2 U' B' R' L2 F2 U'
L2 U' B' R' F2 L2 U'
L2 U' B' F2 L2 R' U'
L2 U' B' F2 R' L2 U'
F2 R' D' U F' R U2
F R' F D R2 B U'
F2 R' B R2 U' B L
F2 R' B' R2 U' B L
F2 R' B2 R2 U' B L
R U2 D F U B R2
R' U2 F D' L2 B' U
R U2 D2 F B2 U B'
R U2 D2 B2 F U B'
R U2 F L2 B' U B2
R U2 F U2 F U' B
F2 R2 D B R' U' D
F2 R2 D B R' U' D'
F2 R2 D B R' U' D2
F2 R2 D B R' D U'
F2 R2 D B R' D' U'
F2 R2 D B R' D2 U'
F2 R2 D B D R' U'
F2 R2 D B D' R' U'
F2 R2 D B D2 R' U'
F2 R2 B R U F' U2
F2 R2 B R' U' D B
F2 R2 B R' U' D' B
F2 R2 B R' U' D2 B
F2 R2 B R' U' B D
F2 R2 B R' U' B D'
F2 R2 B R' U' B D2
F2 R2 B R' D U' B
F2 R2 B R' D' U' B
F2 R2 B R' D2 U' B
F2 R2 B U' R' B R
