U' R' B' U2 B2
U' R F' R2 B' U2
U' R F' B' R2 U2
L2 U' R' U2 F B
L2 U' R' U2 B F
U' R B' R2 U2 B
U' R B' F' R2 U2
R U' R2 B' U2 B2
R U' F' R2 B' U2
R U' F' B' R2 U2
U' R' U2 B D2 F2
U' R' D B' U2 B2
R U' B' R2 U2 B
R U' B' F' R2 U2
U' R' D' B' U2 B2
U' R' D2 B' U2 B2
U' R' F B' U2 B2
U' R' F' B' U2 B2
U' R' F2 B' U2 B2
U' R' B' U2 B2 D
U' R' B' U2 B2 D'
U' R' B' U2 B2 D2
U' R' B' U2 B2 D2
U' R' B' D2 F2 U2
U' R' B' D2 F2 U2
U' R' B' F U2 B2
U' R' B' F' U2 B2
U' R' B' F2 U2 B2
U R' B' U2 R B2
U R' B' U2 B2 R
U' R2 B' R U2 B
F' U' R' B' U2 B2
F2 U' R' B' U2 B2
F U' R' B' U2 B2
U' F R' B' U2 B2
U' F' R' B' U2 B2
U' F2 R' B' U2 B2
R' B' U B U B
L2 R U F D2 L2 B2
L2 R U F D2 B2 L2
L2 R U' R2 U2 F B
L2 R U' R2 U2 B F
L2 R U' F' R2 U2 F2
U L U2 R' U2 F' B
U L U2 R' U2 B F'
U L D2 B2 L F B'
U L D2 B2 L B' F
U L B2 D2 L F B'
U L B2 D2 L B' F
R L2 U F D2 L2 B2
R L2 U F D2 B2 L2
R L2 U' R2 U2 F B
R L2 U' R2 U2 B F
R L2 U' F' R2 U2 F2
U L2 R' U2 B R F
U2 L2 U R' U2 F B
U2 L2 U R' U2 B F
F' L2 U' R' U2 F B
F' L2 U' R' U2 B F
F2 L2 U' R' U2 F B
F2 L2 U' R' U2 B F
F L2 U' R' U2 F B
F L2 U' R' U2 B F
U L2 U2 R' U2 F B
U L2 U2 R' U2 B F
U L2 D2 F B2 L B'
U L2 D2 B2 F L B'
U L2 F U2 R' U2 B
U L2 F D2 B2 L B'
U L2 F B2 D2 L B'
R U L2 F D2 L2 B2
R U L2 F D2 B2 L2
L2 U R' U2 B R F
R U R2 B' U2 R2 B2
R U R2 B' U2 B2 R2
U L2 B2 D2 F L B'
U L2 B2 F D2 L B'
L2 U D2 F B2 L B'
R U D2 L2 F D2 B2
L2 U D2 B2 F L B'
R U D2 F2 L2 F B'
R U D2 F2 L2 B' F
L2 U F U2 R' U2 B
L2 U F D2 B2 L B'
L2 U F B2 D2 L B'
R U F D2 L2 F B2
R U F D2 L2 B2 F
U2 R U R2 B' U2 B2
R U F' R2 B' U2 R2
U2 R U F' R2 B' U2
U2 R U F' B' R2 U2
R' U F2 D' L2 F B
R' U F2 D' L2 B F
U2 R U B' R2 U2 B
R U F' B' R2 U2 R2
U2 R U B' F' R2 U2
F' R U' R2 B' U2 B2
F2 R U' R2 B' U2 B2
F' R U' F' R2 B' U2
F' R U' F' B' R2 U2
F' R U' B' R2 U2 B
F' R U' B' F' R2 U2
F2 R U' F' R2 B' U2
F2 R U' F' B' R2 U2
R U F2 D2 L2 F B'
R U F2 D2 L2 B' F
F R U' R2 B' U2 B2
F2 R U' B' R2 U2 B
F2 R U' B' F' R2 U2
R' U B D2 F2 D' L2
F R U' F' R2 B' U2
F R U' F' B' R2 U2
F R U' B' R2 U2 B
F R U' B' F' R2 U2
R U B D2 F2 L2 B'
R U B' R2 U2 B R2
R U B' F' R2 U2 R2
L2 U B2 D2 F L B'
L2 U B2 F D2 L B'
U' R D2 F' U2 L2 F
U' R D2 F' B' U2 L2
U' R D2 B' F' U2 L2
U' R F R2 F2 B' U2
U' R F R2 B' F2 U2
U' R F B' R2 F2 U2
U' R F' R B' R U2
U' R F' R2 D B' U2
U' R F' R2 D' B' U2
U' R F' R2 D2 B' U2
U' R F' R2 B' U2 D
U' R F' R2 B' U2 D'
U' R F' R2 B' U2 D2
U' R F' R2 B' D U2
U' R F' R2 B' D' U2
U' R F' R2 B' D2 U2
U' R F' U2 D2 L2 F
U' R F' D2 U2 L2 F
U' R F' D2 B' U2 L2
U' R F' B R2 B2 U2
U' R F' B' R2 U2 D
U' R F' B' R2 U2 D'
U' R F' B' R2 U2 D2
U' R F' B' R2 D U2
U' R F' B' R2 D' U2
U' R F' B' R2 D2 U2
U' R F' B' U2 D2 L2
U' R F' B' D2 U2 L2
U' R F' B2 R2 U2 F'
U R F' R2 B' U2 R
U' R F2 R2 F B' U2
U' R F2 R2 B' F U2
L2 U' R F' R2 U2 F2
R2 U' R B' U' R' U'
U' R F2 B' R2 F U2
L2 U' R' U2 D F B
L2 U' R' U2 D B F
L2 U' R' U2 D' F B
L2 U' R' U2 D' B F
L2 U' R' U2 D2 F B
L2 U' R' U2 D2 B F
L2 U' R' U2 F D B
L2 U' R' U2 F D' B
L2 U' R' U2 F D2 B
L2 U' R' U2 F B D
L2 U' R' U2 F B D'
L2 U' R' U2 F B D2
L2 U' R' U2 B D F
L2 U' R' U2 B D' F
L2 U' R' U2 B D2 F
L2 U' R' U2 B F D
L2 U' R' U2 B F D'
L2 U' R' U2 B F D2
R U' R B' R U2 B
L2 U' R' D U2 F B
L2 U' R' D U2 B F
L2 U' R' D' U2 F B
L2 U' R' D' U2 B F
L2 U' R' D2 U2 F B
L2 U' R' D2 U2 B F
U' R B R2 B2 U2 B'
L2 U' R' F' U2 F2 B
L2 U' R' F' U2 B F2
L2 U' R' F2 U2 F' B
L2 U' R' F2 U2 B F'
L2 U' R' B' U2 F B2
L2 U' R' B' U2 B2 F
L2 U' R' B2 U2 F B'
L2 U' R' B2 U2 B' F
U' R B F' R2 B2 U2
U' R B' R2 U2 D B
U' R B' R2 U2 D' B
U' R B' R2 U2 D2 B
U' R B' R2 U2 B D
U' R B' R2 U2 B D'
U' R B' R2 U2 B D2
U' R B' R2 D U2 B
U' R B' R2 D' U2 B
U' R B' R2 D2 U2 B
U' R B' R2 F U2 B
U' R B' R2 F' U2 B
U' R B' R2 F2 U2 B
R U' R2 U2 B D2 F2
R U' R2 D B' U2 B2
R U' R2 D' B' U2 B2
U' R B' D2 F' U2 L2
U' R B' F R2 F2 U2
R U' R2 D2 B' U2 B2
