U' R2 F2 R F B
U' R2 F2 R B F
D2 U L' F B U2
D2 U L' B F U2
D2 U B L' F U2
F' U' R2 F' R B
U D2 L' F B U2
U D2 L' B F U2
U D2 B L' F U2
U' F' R2 F' R B
U B D2 L' F U2
D2 L U L2 F B U2
D2 L U L2 B F U2
D2 L U B L2 U2 B2
F' L U' R2 F' R B
D2 L U' D2 R2 F' B'
D2 L U' D2 R2 B' F'
D2 L U' B' D2 R2 F2
D2 L U' B' D2 F2 R2
D2 L D2 U' R2 F' B'
D2 L D2 U' R2 B' F'
B L' R D F' R U2
U L' R F' R' B U2
U' L' R' U2 L F B
U' L' R' U2 L B F
F' L' U' R2 F' R B
U L' D B U' R' U'
D2 L' F B U' B' U'
U L' B R F' R' U2
D L' B U' R' B' U'
D2 L' B F U' B' U'
U L' B U' R' U' B
U L' B U2 R' B R
U' L' B2 R' B' U2 B2
F' L2 U' R2 F' R B
U L2 D2 L B U2 B2
U L2 B U2 R' B R'
U L2 B U2 B R' B
U' L2 B2 L2 R' F B
U' L2 B2 L2 R' B F
U' L2 B2 L2 F R' B
U' L2 B2 R' L2 F B
U' L2 B2 R' L2 B F
B2 L2 B2 U' R' F B
B2 L2 B2 U' R' B F
B2 L2 B2 U' F R' B
L2 U D2 L B U2 B2
R U D2 L' F' U2 F2
B R L' D F' R U2
U R L' F' R' B U2
F' R U F' U2 R F'
R U F' U2 R F' R
R U F' U2 F' R F'
F' R U' R F' R B
L2 U B U2 R' B R'
L2 U B U2 B R' B
D' R F' R U' F' R
U' R F2 R F' D2 B2
D' R F2 U' R F' B
D' R F2 U' R B F'
R U' R F2 R F B
R U' R F2 R B F
L2 U' R' B2 R' F' B'
L2 U' R' B2 R' B' F'
U' R' L' U2 L F B
U' R' L' U2 L B F
R U' F2 R F' D2 B2
U' R' U2 L' B' U2 B2
L2 U' B2 R' B D2 F2
U' R' F' R' F' R B
U' R' F' D2 B R' F'
U' R' F' B R' F' R
U' R' F2 B R' F' R2
U' R' B R' F2 R F
U' R' B R2 F2 R F'
U' R' B U2 L' B' U2
U' R' B F' R' F' R
U' R' B F2 R' F' R2
D2 R2 U L' F U2 F2
U' R2 U2 L' U2 F' B'
U' R2 U2 L' U2 B' F'
U' R2 D F2 R F B
U' R2 D F2 R B F
U' R2 D' F2 R F B
U' R2 D' F2 R B F
U' R2 D2 F2 R F B
U' R2 D2 F2 R B F
U' R2 F' R D2 B R'
U' R2 F' D2 R B R'
U' R2 F2 R D F B
U' R2 F2 R D B F
U' R2 F2 R D' F B
U' R2 F2 R D' B F
U' R2 F2 R D2 F B
U' R2 F2 R D2 B F
U' R2 F2 R F D B
U' R2 F2 R F D' B
U' R2 F2 R F D2 B
U' R2 F2 R F B D
U' R2 F2 R F B D'
U' R2 F2 R F B D2
U' R2 F2 R B D F
U' R2 F2 R B D' F
U' R2 F2 R B D2 F
U' R2 F2 R B F D
U' R2 F2 R B F D'
U' R2 F2 R B F D2
U' R2 F2 R2 F R' B
D' R2 F2 U' R F B
D' R2 F2 U' R B F
U' R2 F2 D R F B
U' R2 F2 D R B F
U' R2 F2 D' R F B
U' R2 F2 D' R B F
U' R2 F2 D2 R F B
U' R2 F2 D2 R B F
U' R2 F2 B R F B
U' R2 F2 B R B F
U' R2 F2 B' R F B
U' R2 F2 B' R B F
U' R2 F2 B2 R F B
U' R2 F2 B2 R B F
U' R2 B F2 R F B
U' R2 B F2 R B F
U' R2 B' F2 R F B
U' R2 B' F2 R B F
U' R2 B2 F2 R F B
U' R2 B2 F2 R B F
D2 U L B L2 U2 B2
D2 U L' D F B U2
D2 U L' D B F U2
D2 U L' D' F B U2
D2 U L' D' B F U2
D2 U L' D2 F B U2
D2 U L' D2 B F U2
D2 U L' F D B U2
D2 U L' F D' B U2
D2 U L' F D2 B U2
D2 U L' F B U2 D
D2 U L' F B U2 D'
D2 U L' F B U2 D2
D2 U L' F B D U2
D2 U L' F B D' U2
D2 U L' F B D2 U2
D2 U L' B D F U2
D2 U L' B D' F U2
D2 U L' B D2 F U2
D2 U L' B F U2 D
D2 U L' B F U2 D'
D2 U L' B F U2 D2
D2 U L' B F D U2
D2 U L' B F D' U2
D2 U L' B F D2 U2
D U L' B U' R' U'
U D L' B U' R' U'
L' D B U' R' B' U'
D2 U B L' D F U2
D2 U B L' D' F U2
D2 U B L' D2 F U2
D2 U B L' F U2 D
D2 U B L' F U2 D'
D2 U B L' F U2 D2
D2 U B L' F D U2
D2 U B L' F D' U2
D2 U B L' F D2 U2
D' U B D' L' F U2
D U B L' U' R' U'
D2 U B' L' F B2 U2
D2 U B' L' B2 F U2
U D B L' U' R' U'
F2 U B U2 R' B R2
F' U' R' D2 B R' F'
F' U' R' B R' F' R
F2 U' R' B R' F' R'
F' U' R2 F' R D B
F' U' R2 F' R D' B
F' U' R2 F' R D2 B
F' U' R2 F' R B D
F' U' R2 F' R B D'
F' U' R2 F' R B D2
F' U' R2 F' D R B
F' U' R2 F' D' R B
F' U' R2 F' D2 R B
F' U' R2 F' B R B
F' U' R2 F' B' R B
F' U' R2 F' B2 R B
F' U' R2 B F' R B
F' U' R2 B' F' R B
F2 U' R2 F' R B R2
F' U' R2 B2 F' R B
D2 U' B L' F U2 L
F U' R2 D' F' R B
U D' B D' L' F U2
L D2 L U' R2 F' B'
L D2 L U' R2 B' F'
F2 U' F R2 F' R B
U D2 L B L2 U2 B2
U D2 L' D F B U2
U D2 L' D B F U2
U D2 L' D' F B U2
U D2 L' D' B F U2
U D2 L' D2 F B U2
U D2 L' D2 B F U2
U D2 L' F D B U2
U D2 L' F D' B U2
