B2 U' B L F R
B' L R F B U' B'
B' L R B F U' B'
B' L F R B U' B'
B2 L F U' B L F
B' L F B' U' B L
B' L B' F U' B L
B L' R' F' B' U B'
B L' R' B' F' U B'
U2 L' B' L U' B' R'
B2 L' B' R' F' U B2
B' R L F B U' B'
B' R L B F U' B'
B R' L' F' B' U B'
B R' L' B' F' U B'
D2 R' F' R U B' R'
B R' F' L' B' U B'
B R' F' U B' R' B'
B R' F' B' U B' R'
B R' B' F' U B' R'
D' U R F' B' L' R'
D' U R F' B' R' L'
D' U R B' F' L' R'
D' U R B' F' R' L'
D' U R2 B' R' F' L'
D U F' B' L' R' F
D U F' B' L' F R'
D U F' B' R' L' F
U D F' B' L' R' F
U D F' B' L' F R'
U D F' B' R' L' F
D' U B' R F' L' R2
D' U B' R F' R2 L'
D U B' R' F' L' F
U D B' R' F' L' F
D U B' F' L' R' F
D U B' F' L' F R'
D U B' F' R' L' F
U D B' F' L' R' F
U D B' F' L' F R'
U D B' F' R' L' F
B2 U B' R' F' L' B2
B2 U B' R' F' B2 L'
B2 U B' R' B2 F' L'
B2 U' L F B L R
B2 U' L F B R L
B2 U' L B F L R
B2 U' L B F R L
U D' R F' B' L' R'
U D' R F' B' R' L'
U D' R B' F' L' R'
U D' R B' F' R' L'
U D' R2 B' R' F' L'
B2 U' D B L F R
B2 U' D' B L F R
B2 U' D2 B L F R
U D' B' R F' L' R2
U D' B' R F' R2 L'
B2 U' F B L R F
B2 U' F B R L F
B2 U' B L R F R
B2 U' B L R' F R
B2 U' B L R2 F R
B2 U' B L D F R
B2 U' B L D' F R
B2 U' B L D2 F R
B2 U' B L F R D
B2 U' B L F R D'
B2 U' B L F R D2
B2 U' B L F D R
B2 U' B L F D' R
B2 U' B L F D2 R
B2 U' B R L F R
B2 U' B R' L F R
B2 U' B R2 L F R
B2 U' B D L F R
B2 U' B D' L F R
B2 U' B D2 L F R
B2 U' B F L R F
B2 U' B F R L F
R' D2 F' R U B' R'
B2 D U' B L F R
U F' D B' L' R' F
U F' D B' L' F R'
U F' D B' R' L' F
U F' B' L' R' D F2
U F' B' L' D R' F2
U F' B' L' D F2 R'
U F' B' R' L' D F2
B2 D' U' B L F R
B2 D2 U' B L F R
B2 F U' B L F R
R B' L F B2 U' B2
R B' L B2 F U' B2
U B' R' F' L' D F2
B2 F' U' B L F R
U B' F' L' R' D F2
U B' F' L' D R' F2
U B' F' L' D F2 R'
U B' F' R' L' D F2
F' B2 U' B L F R
B2 F2 U' B L F R
F2 B2 U' B L F R
F B2 U' B L F R
