U L' F' D' R F' U2
D R' B U L' F U2
D R2 U L' F R U2
B2 U L' R' F' R U2
B2 U L' F U2 L' B'
B2 U L' F' R U2 B
D U L' D' F U2 L'
U D L' D' F U2 L'
B2 U R' L' F' R U2
B2 U F U2 L' B' R'
F2 U' R U B R' U'
F U2 B' L U L2 R'
F U2 B' L U R' L2
B D R' F2 B U' R
B D R' B U L' U2
B D R' B F2 U' R
B D F2 R' B U' R2
D2 F2 U' R B' L B2
D2 F2 U' B' L R B
D2 F2 U' B' R L B
D2 F2 U' B2 R B L
D2 F2 B' U' L R B
D2 F2 B' U' R L B
F2 B R' F' U' L' R2
F2 B R' F' U' R2 L'
D2 B' F2 U' L R B
D2 B' F2 U' R L B
B F2 R' F' U' L' R2
B F2 R' F' U' R2 L'
