R B2 R2 F' L' U
L2 R F R2 B2 L U
R' L' F' L' F B2 U
R' L' F' L' B2 F U
L' R' F' L' F B2 U
L' R' F' L' B2 F U
L2 R' F B2 U2 R U'
L2 R' F' L' F2 B2 U
L2 R' F' L' B2 F2 U
R' L' F' B2 L' F U
L' R' F' B2 L' F U
L2 R' F' B2 L' F2 U
B2 L' D2 R2 F' L' U
R' L' B2 F' L' F U
L' R' B2 F' L' F U
L2 R' B2 F U2 R U'
L2 R' B2 F' L' F2 U
B2 L' B L2 F R U'
F' L' B2 U2 L B' U'
F' L2 R' F L B2 U
F2 L2 R' F L' B2 U
F2 L2 R' F B2 L' U
F2 L2 R' B2 F L' U
R' L2 F B2 U2 R U'
R L2 F R2 B2 L U
R' L2 F' L' F2 B2 U
R' L2 F' L' B2 F2 U
R' L2 F' B2 L' F2 U
R' L2 B2 F U2 R U'
R' L2 B2 F' L' F2 U
B' L2 D' F R U' F'
B' L2 D2 F L' R U'
B' L2 D2 F R L' U'
R' U L' D' R2 B' L
R' U L' D' B' L R2
R' U L' D' B' R2 L
F' L2 F L R' B2 U
F2 L2 F L' R' B2 U
F' L2 F R' L B2 U
F2 L2 F R' L' B2 U
F2 L2 F R' B2 L' U
B' L2 F D' R U' F'
F R U2 B2 R2 F' U
F R D' B' U' R2 F2
F R D' B' U' F2 R2
F R D2 F2 B' L2 U'
F R D2 B' L2 F2 U'
F R D2 B' F2 L2 U'
F' R B2 L' R2 F' U
F R B' U2 R2 B' U
F R B' U2 B' R2 U
F' R B2 R2 L' F' U
U' R B2 R2 F' U B'
F R B' D2 L2 F U'
F' R' L2 F L B2 U
F2 R' L2 F L' B2 U
F2 R' L2 F B2 L' U
F2 R' L2 B2 F L' U
D2 R' U2 F2 B' R' U'
D2 R' U2 B' R' F2 U'
D2 R' U2 B' F2 R' U'
F' R' B2 L' U2 B U'
R' U2 D' B' R' U' R'
U2 R' B2 U2 B R' U'
R' U2 D2 F2 B' R' U'
F R' B2 U2 B R2 U'
R' U2 D2 B' R' F2 U'
R' U2 D2 B' F2 R' U'
R' U2 B' R' U2 B' U
B2 R2 F' L' U D F2
B2 R2 F' L' U2 L2 U'
B2 R2 F' L' D U F2
B2 R2 F' L' D2 R2 U
B2 U L' B' D L2 F2
B2 U L' B' D F2 L2
R' D' U2 B' R' U' R'
R' D2 U2 F2 B' R' U'
R' D2 U2 B' R' F2 U'
R' D2 U2 B' F2 R' U'
B2 U2 L B U2 L U
B2 U2 L B' R' B2 U'
B' U2 B L R' B2 U
B' U2 B R' L B2 U
L2 F R' B2 U D B2
L2 F R' B2 U2 R2 U'
L2 F R' B2 D U B2
L2 F R' B2 D2 L2 U
B' U2 B' U2 L R' U'
B' U2 B' U2 R' L U'
L2 F R2 B2 L R U
L2 F R2 B2 R L U
R' F B2 U2 B R U'
L2 F B2 U2 L R U'
L2 F B2 U2 R L U'
L' F' L' R' F B2 U
L' F' L' R' B2 F U
L' F' L' F R' B2 U
L2 F' L' R' F2 B2 U
L2 F' L' R' B2 F2 U
R' F' L2 F L B2 U
L2 F' L' F2 R' B2 U
L' F' R' L' F B2 U
L' F' R' L' B2 F U
L2 F' R' L' F2 B2 U
L2 F' R' L' B2 F2 U
L' F' R' B2 L' F U
L2 F' R' B2 L' F2 U
B' D' L2 F R U' F'
R' F' B2 L' U2 B U'
R F' B2 L' R2 F' U
R F' B2 R2 L' F' U
R' F2 L2 F L' B2 U
R' F2 L2 F B2 L' U
R' F2 L2 B2 F L' U
B' D2 L2 F L' R U'
B' D2 L2 F R L' U'
B2 F U2 L B R U'
B2 F' L' U2 L2 B U'
B2 F' L' U2 B L2 U'
B2 F' L' D2 R2 F' U
R B' D2 L2 F R U'
R B2 L R2 F' L' U
R B2 L' R2 F' L' U
F' B2 L' U2 L2 B U'
F' B2 L' U2 B L2 U'
F' B2 L' D2 R2 F' U
R B2 L2 R2 F' L' U
R' B2 R2 F' L' R2 U
R' B2 R2 F' R2 L' U
R' B2 U L' B' D L2
R2 B2 R2 F' L' R' U
R2 B2 R2 F' R' L' U
R B2 R2 L F' L' U
R B2 R2 L' F' L' U
R B2 R2 L2 F' L' U
L' B2 U2 L B' R' U'
R B2 R2 D F' L' U
R B2 R2 D' F' L' U
R B2 R2 D2 F' L' U
R B2 R2 F' L' U D
R B2 R2 F' L' U D'
R B2 R2 F' L' U D2
R B2 R2 F' L' D U
R B2 R2 F' L' D' U
R B2 R2 F' L' D2 U
R B2 R2 F' D L' U
R B2 R2 F' D' L' U
R B2 R2 F' D2 L' U
R' B2 U2 B U2 L U
R' B2 U2 B' R' B2 U'
U2 B2 U2 L B R' U'
R' B2 F U2 B R U'
F B2 U2 L B R U'
R' B2 F' L' U2 B U'
L2 B2 F U2 L R U'
L2 B2 F U2 R L U'
R B2 F' L' R2 F' U
R B2 F' R2 L' F' U
