B D R2 U' F' R
B L' D R2 F U' F2
B L' D F R2 U' F'
B L' F U F B U2
B L' F U B F U2
F2 L' B2 U' F B' U'
F2 L' B2 U' B' F U'
D' L2 R2 D2 F' U R
D' L2 R2 F' B U R'
D L2 R2 U2 F' U R
D' L2 R2 B F' U R'
B L2 U F2 B L U2
B L2 U B L F2 U2
B L2 U B F2 L U2
D L2 F' B R2 U' R'
D L2 B R2 F' U' R
D L2 B F' R2 U' R'
D' R2 L2 D2 F' U R
D' R2 L2 F' B U R'
D' R2 L2 B F' U R'
D R2 L2 U2 F' U R
D' R2 F' L2 B U R'
D' R2 F' B L2 U R'
L D L2 F B R2 U'
L D L2 B R2 F U'
L D L2 B F R2 U'
D' R2 B L2 F' U R'
D' R2 B F' L2 U R'
L' D F L2 B R2 U'
L' D F B L2 R2 U'
L' D F B R2 L2 U'
L' D B R2 F L2 U'
L' D B F L2 R2 U'
L' D B F R2 L2 U'
L' D' L2 R2 F' B' U
L' D' L2 R2 B' F' U
L' D' R2 L2 F' B' U
L' D' R2 L2 B' F' U
B U F2 D' B U2 R'
L D' R2 F' B' L2 U
L D' R2 B' L2 F' U
L D' R2 B' F' L2 U
L' D2 F B U' F B
L' D2 F B U' B F
L' D2 B F U' F B
L' D2 B F U' B F
B D L R2 U' F' R
L' F D L2 B U' B2
B D L' R2 U' F' R
L' F D B L2 U' B'
B D L2 R2 U' F' R
L' F B U F B U2
L' F B U B F U2
B D R2 L U' F' R
B D R2 L' U' F' R
B D R2 L2 U' F' R
B D R2 U' F' R D
B D R2 U' F' R D'
B D R2 U' F' R D2
B D R2 U' F' D R
B D R2 U' F' D' R
B D R2 U' F' D2 R
B D R2 F U' F2 R
D F' L2 B R2 U' R'
B D F' R2 U' F' R'
B2 D B' R2 U' F' R
R2 F' D' R2 U B R'
F' D' R2 F' U B R'
D F' B L2 R2 U' R'
D F' B R2 L2 U' R'
L' F2 B2 U' F' B' U'
L' F2 B2 U' B' F' U'
D B L2 R2 F' U' R
D B L2 F' R2 U' R'
D B R2 L2 F' U' R
D B R2 F' L2 U' R
D' B U' D' R' F2 B2
D' B U' D' R' B2 F2
D' B U' D' F2 R' B2
L2 B U F2 B L U2
L2 B U B L F2 U2
L2 B U B F2 L U2
D2 B U' F2 D B R'
D' B U2 L2 R2 U R
D' B U2 R2 L2 U R
U' B D R2 U' F' R
L' B D R2 F U' F2
L' B D F R2 U' F'
U2 B D R2 U' F' R
D' B D' U' R' F2 B2
D' B D' U' R' B2 F2
D' B D' U' F2 R' B2
D' B D2 L2 R2 U' R
D' B D2 R2 L2 U' R
U B D R2 U' F' R
L' B F U F B U2
L' B F U B F U2
D B F' L2 R2 U' R'
D B F' R2 L2 U' R'
F2 B' D' R2 B' L U2
F2 B' D' B' L R2 U2
F2 B' D' B' R2 L U2
B' F2 D' R2 B' L U2
B' F2 D' B' L R2 U2
B' F2 D' B' R2 L U2
L' B2 F2 U' F' B' U'
L' B2 F2 U' B' F' U'
