F' R U R' U F'
F' R U' L U' F
F' R B U' L U'
F' R B' U R' U
F' U2 F2 D' L' F
F' B R U' L U'
F' B R U' L U'
F' B' R U R2 U
F' B' R U2 D' F2
F' B' R D B2 U2
F' B' R D' U2 F2
B' F' R U R2 U
B' F' R U2 D' F2
B' F' R D B2 U2
B' F' R D' U2 F2
B F' R U' L U'
B2 F' D' R U2 F'
F' B2 D' R U2 F'
U' L R2 U' F L' B
U' L R2 U' F B L'
U' L R2 U' B F L'
B L U L' F' R U2
U' L U F' R U2 F2
U' L U F' U2 F2 L'
U' L U' F L' D2 B2
U' L U' F D2 L' B2
U' L U' F D2 B2 L'
U' L' U F' R B' U2
U' L' U F' B' R U2
U' L' U B' F' R U2
L' U L F' R B U2
L U L' F' R B U2
L2 U L2 F' R B U2
L' U F' L R B U2
L' U F' R L B U2
L2 U F' L2 R B U2
L2 U F' R L2 B U2
L2 U F' R B L2 U2
F' R U R U' B U2
F' R U R' U D F'
F' R U R' U D' F'
F' R U R' U D2 F'
F' R U R' U F' D
F' R U R' U F' D'
F' R U R' U F' D2
F' R U R' D U F'
F' R U R' D' U F'
F' R U R' D2 U F'
F' R U D R' U F'
F' R U D' R' U F'
F' R U D2 R' U F'
F' R U' L U' D F
F' R U' L U' D' F
F' R U' L U' D2 F
F' R U' L U' F D
F' R U' L U' F D'
F' R U' L U' F D2
F' R U' L D U' F
F' R U' L D' U' F
F' R U' L D2 U' F
F' R U' L' U B' U2
F' R U' D L U' F
F' R U' D' L U' F
F' R U' D2 L U' F
F' R U2 F U' R U
F' R U2 F' U L' U'
F' R D U R' U F'
F' R D U' L U' F
F' R D B U' L U'
F' R D B' U R' U
F' R D' U R' U F'
F' R D' U' L U' F
F' R D' B U' L U'
F' R D' B' U R' U
L' U' L F' R U2 F2
L' U' L F' U2 F2 L'
R2 U' L U' F L' B
R2 U' L U' F B L'
R2 U' L U' B F L'
F' R D2 U R' U F'
F' R D2 U' L U' F
R U' L U' F L' B'
F' R D2 B U' L U'
F' R D2 B' U R' U
L U' L' F' R B' U2
L U' L' F' B' R U2
L U' L' B' F' R U2
F' R B U' L U' D
F' R B U' L U' D'
F' R B U' L U' D2
F' R B U' L D U'
F' R B U' L D' U'
F' R B U' L D2 U'
F' R B U' D L U'
F' R B U' D' L U'
F' R B U' D2 L U'
F' R B D U' L U'
F' R B D' U' L U'
F' R B D2 U' L U'
F' R B' U R' U D
F' R B' U R' U D'
F' R B' U R' U D2
F' R B' U R' D U
F' R B' U R' D' U
F' R B' U R' D2 U
F' R B' U D R' U
F' R B' U D' R' U
F' R B' U D2 R' U
F' R B' D U R' U
F' R B' D' U R' U
F' R B' D2 U R' U
L' U' F' L R U2 F
L' U' F' R L U2 F
F' R' B R2 U' L U'
F' R' B' R2 U R U
U' R2 L U' F L' B
U' R2 L U' F B L'
U' R2 L U' B F L'
F' U R' U D2 L2 F'
F' U R' U D2 F' L2
F' U R' U F' D2 L2
F' U R' U' R2 B U2
F' U R' D' F2 U F
F' U R' D2 U L2 F'
F' U R' D2 U F' L2
F' U R2 U' R' B U2
F' U F2 R' U L' F'
F' U' L U R U2 F
F' U' L U' F2 L' F'
B U' L U F' R U2
F' U' L' U R B' U2
F' U' L' U B' R U2
F U' L U' F L2 B'
F' U' L2 U' F2 L' F
F' U2 L F2 D' L' F
F' U2 L' F2 D' L' F
F' U2 L2 F2 D' L' F
F' U2 D F2 D' L' F
F' U2 D' F2 D' L' F
F' U2 D2 F2 D' L' F
F' U2 F' U L' B' U'
F' U2 F2 D' L' D F
F' U2 F2 D' L' D' F
F' U2 F2 D' L' D2 F
F' U2 F2 D' L' F D
F' U2 F2 D' L' F D'
F' U2 F2 D' L' F D2
F' D R U R' U F'
F' D R U' L U' F
F' D R B U' L U'
F' D R B' U R' U
F' D U2 F2 D' L' F
U2 F' R U' L' U' R'
F' D B R U' L U'
U F' R B U B' U
F' D B' R U R2 U
F' D B' R U2 D' F2
F' D B' R D B2 U2
F' D B' R D' U2 F2
D' F' U' L B' U' F
F' D B2 D' R U2 F'
F' D' R U R' U F'
F' D' R U' L U' F
F' D' R B U' L U'
F' D' R B' U R' U
D2 F' B R' U' L U'
D' F' B U' L B' U'
D2 F' B' U R' U L
F' D' U2 F2 D' L' F
B D' F' U' L B' U'
F' D' B R U' L U'
F' D' B' R U R2 U
F' D' B' R U2 D' F2
F' D' B' R D B2 U2
F' D' B' R D' U2 F2
F' D' B2 D' R U2 F'
F' D2 R U R' U F'
F' D2 R U' L U' F
F' D2 R B U' L U'
F' D2 R B' U R' U
F' D2 U2 F2 D' L' F
F' D2 B R U' L U'
F' D2 B' R U R2 U
F' D2 B' R U2 D' F2
F' D2 B' R D B2 U2
F' D2 B' R D' U2 F2
F' D2 B2 D' R U2 F'
F' B R U' L U' D
F' B R U' L U' D'
F' B R U' L U' D2
F' B R U' L D U'
F' B R U' L D' U'
F' B R U' L D2 U'
F' B R U' D L U'
F' B R U' D' L U'
F' B R U' D2 L U'
F' B R D U' L U'
F' B R D' U' L U'
F' B R D2 U' L U'
F' B R B2 U R' U
D2 B F' R' U' L U'
D' B F' U' L B' U'
F' B U' L U R U2
F' B U2 L' D F2 L'
F' B U2 F2 L' D F2
F' B D R U' L U'
F' B D' R U' L U'
F' B D2 R U' L U'
B' F' R U R2 U D
B' F' R U R2 U D'
B' F' R U R2 U D2
B' F' R U R2 D U
B' F' R U R2 D' U
B' F' R U R2 D2 U
B' F' R U' D2 L2 U'
B' F' R U2 D' F2 D
B' F' R U2 D' F2 D'
B' F' R U2 D' F2 D2
B' F' R U2 F D' F2
B' F' R U2 F' D' F2
B' F' R U2 F2 D' F2
B' F' R D B2 U2 D
B' F' R D B2 U2 D'
B' F' R D B2 U2 D2
B' F' R D B2 D U2
B' F' R D B2 D' U2
B' F' R D B2 D2 U2
B' F' R D' U2 F2 D
B' F' R D' U2 F2 D'
B' F' R D' U2 F2 D2
B' F' R D' B U2 F2
B' F' R D' B' U2 F2
B' F' R D' B2 U2 F2
B' F' R D2 U' L2 U'
F' B' R U R2 U D
F' B' R U R2 U D'
F' B' R U R2 U D2
F' B' R U R2 D U
F' B' R U R2 D' U
F' B' R U R2 D2 U
F' B' R U' D2 L2 U'
F' B' R U2 D' F2 D
F' B' R U2 D' F2 D'
F' B' R U2 D' F2 D2
F' B' R U2 F D' F2
F' B' R U2 F' D' F2
F' B' R U2 F2 D' F2
B' F' R B U R2 U
B' F' R B U2 D' F2
B' F' R B D B2 U2
B' F' R B D' U2 F2
F' B' R D B2 U2 D
F' B' R D B2 U2 D'
F' B' R D B2 U2 D2
F' B' R D B2 D U2
F' B' R D B2 D' U2
F' B' R D B2 D2 U2
B' F' R B' U R2 U
B' F' R B' U2 D' F2
B' F' R B' D B2 U2
F' B' R D' U2 F2 D
F' B' R D' U2 F2 D'
F' B' R D' U2 F2 D2
B' F' R B' D' U2 F2
F' B' R D' B U2 F2
F' B' R D' B' U2 F2
F' B' R D' B2 U2 F2
B' F' R B2 U R2 U
B' F' R B2 U2 D' F2
F' B' R D2 U' L2 U'
B' F' R B2 D B2 U2
B' F' R B2 D' U2 F2
F' B' R B U R2 U
F' B' R B U2 D' F2
F' B' R B D B2 U2
F' B' R B D' U2 F2
F' B' R B' U R2 U
F' B' R B' U2 D' F2
F' B' R B' D B2 U2
F' B' R B' D' U2 F2
F' B' R B2 U R2 U
F' B' R B2 U2 D' F2
F' B' R B2 D B2 U2
F' B' R B2 D' U2 F2
B2 F' R B U R' U
B2 F' R B' U' L U'
B F' R U' L U' D
B F' R U' L U' D'
B F' R U' L U' D2
B F' R U' L D U'
B F' R U' L D' U'
B F' R U' L D2 U'
B F' R U' D L U'
B F' R U' D' L U'
B F' R U' D2 L U'
B F' R D U' L U'
B F' R D' U' L U'
B F' R D2 U' L U'
B F' R B2 U R' U
B2 F' R2 D' R' B U2
B' F' U R' U D2 L2
B' F' U R' U' R2 U2
B' F' U R' D' F2 U
B' F' U R' D2 U L2
F' B' U R' U D2 L2
F' B' U R' U' R2 U2
F' B' U R' D' F2 U
B' F' U F2 R' U L'
F' B' U R' D2 U L2
F' B' U F2 R' U L'
D2 B' F' U R' U L
B F' U' L U R U2
B2 F' U2 D F2 L' F
B' F' D R U R2 U
B' F' D R U2 D' F2
B' F' D R D B2 U2
B' F' D R D' U2 F2
B2 F' U2 F2 D L' F
F' B' D R U R2 U
F' B' D R U2 D' F2
F' B' D R D B2 U2
F' B' D R D' U2 F2
B F' U2 L' D F2 L'
B' F' D' R U R2 U
B' F' D' R U2 D' F2
B2 F' D U2 F2 L' F
B' F' D' R D B2 U2
B' F' D' R D' U2 F2
B F' U2 F2 L' D F2
F' B' D' R U R2 U
F' B' D' R U2 D' F2
F' B' D' R D B2 U2
F' B' D' R D' U2 F2
B F' D R U' L U'
B2 F' D' R U2 D F'
B2 F' D' R U2 D' F'
B2 F' D' R U2 D2 F'
B2 F' D' R U2 F' D
B2 F' D' R U2 F' D'
B2 F' D' R U2 F' D2
B2 F' D' R D U2 F'
B2 F' D' R D' U2 F'
B2 F' D' R D2 U2 F'
B2 F' D' R B U2 F'
B2 F' D' R B' U2 F'
B2 F' D' R B2 U2 F'
B2 F' D' R' B R2 U2
B' F' D2 R U R2 U
B' F' D2 R U2 D' F2
B' F' D2 R D B2 U2
B' F' D2 R D' U2 F2
B2 F' D' B R U2 F'
B2 F' D' B' R U2 F'
B2 F' D' B2 R U2 F'
F' B' D2 R U R2 U
F' B' D2 R U2 D' F2
F' B' D2 R D B2 U2
F' B' D2 R D' U2 F2
B F' D' R U' L U'
B F' D2 R U' L U'
F' B2 R B U R' U
F' B2 R B' U' L U'
F' B2 R2 D' R' B U2
F' B2 U2 D F2 L' F
F' B2 U2 F2 D L' F
D B2 D' F' R U2 F'
F' B2 D U2 F2 L' F
F' B2 D' R U2 D F'
F' B2 D' R U2 D' F'
F' B2 D' R U2 D2 F'
F' B2 D' R U2 F' D
F' B2 D' R U2 F' D'
F' B2 D' R U2 F' D2
F' B2 D' R D U2 F'
F' B2 D' R D' U2 F'
F' B2 D' R D2 U2 F'
F' B2 D' R B U2 F'
F' B2 D' R B' U2 F'
F' B2 D' R B2 U2 F'
F' B2 D' R' B R2 U2
F' B2 D' B R U2 F'
B2 F2 D' F R U2 F'
F' B2 D' B' R U2 F'
F' B2 D' B2 R U2 F'
F2 B2 D' F R U2 F'
