L2 B' R' F' U B
L2 R' F' B' R' U B2
L2 R' B' F' R' U B2
B' L2 R' F' B' U B2
B' L2 R' B' F' U B2
R' L2 F' B' R' U B2
R' L2 B' F' R' U B2
D L2 B' L R' F' U
D L2 B' R' L F' U
D L2 B' R' F' L U
L' U B' R' F' L' B
L' U B' R' F' B L'
L' U B' R' B F' L'
D2 R F B L U' B'
D R F B L R' U'
D R F B R' L U'
L' U' R' B L F R
D R B R' F L U'
D2 R B F L U' B'
F R B L R2 U' B
F R B L U F' U2
F R B R2 L U' B
D R B F L R' U'
D R B F R' L U'
B' R' L2 F' B' U B2
B' R' L2 B' F' U B2
B' R' F' U D B R2
B' R' F' U B D R2
U R' F U' F2 L' B
U R' F U' F2 B L'
U R' F U' B F2 L'
B' R' F' U2 F2 U' B
B' R' F' D U B R2
B' R' F' D2 B2 U B'
U R' F' L' D B R2
U R' F' L' B D R2
U R' F' D L' B R2
U R' F' D B L' R2
U R' F' D B R2 L'
U R' F' B L' D R2
U R' F' B D L' R2
U R' F' B D R2 L'
U R' B F' L' D R2
U R' B F' D L' R2
U R' B F' D R2 L'
F U R F' B U2 L'
F U R B F' U2 L'
F U R' U2 F' B L
F U R' U2 B L F'
F U R' U2 B F' L
L2 D B' L R' F' U
L2 D B' R' L F' U
L2 D B' R' F' L U
F U F R F' B U2
F U F R B F' U2
F U' R' B L R F
F U' R' B R L F
F U' D2 B L F B'
F U' D2 B L B' F
F U' B D2 L F B'
F U' B D2 L B' F
F U2 R' U B L F
D2 F R B L U' B'
D F R B L R' U'
D F R B R' L U'
D2 F U' B L F B'
D2 F U' B L B' F
R F D B L R2 U'
R F D B R2 L U'
F D R B L R' U'
F D R B R' L U'
R F D2 B L U' B
L2 F B' R' F' U B
R F B L U F2 U2
R F B L U' D2 B2
R F B L D R2 U'
R F B L D2 U' B2
R F B D L R2 U'
R F B D R2 L U'
R F B D2 L U' B2
D' F' R F2 B L U'
D' F' R B L F2 U'
D' F' R B F2 L U'
L2 F' B' R' F' U B
F2 D' F' R B L U'
F D2 R B L U' B'
L2 F2 B' R' F' U B
F D2 U' B L F B'
F D2 U' B L B' F
R B R2 F L U' B
R B F L U F2 U2
R B F L U' D2 B2
R B F L D R2 U'
R B F L D2 U' B2
R B F D L R2 U'
R B F D R2 L U'
L2 B' L R' F' U B
R B F D2 L U' B2
B' F U2 R' U B L
L2 B' L' R' F' U B
L2 B' L2 R' F' U B
L2 B' R' L F' U B
L2 B' R' L' F' U B
L2 B' R' L2 F' U B
L2 B' R' D F' U B
L2 B' R' D' F' U B
L2 B' R' D2 F' U B
L2 B' R' F' L U B
L2 B' R' F' L' U B
L2 B' R' F' L2 U B
L2 B' R' F' U D B
L2 B' R' F' U D' B
L2 B' R' F' U D2 B
L2 B' R' F' U B D
L2 B' R' F' U B D'
L2 B' R' F' U B D2
L2 B' R' F' D U B
L2 B' R' F' D' U B
L2 B' R' F' D2 U B
L2 B' F R' F' U B
L2 B' F' R' F' U B
L2 B' F2 R' F' U B
F B' U2 R' U B L
