D2 L2 F U' L R
D2 L2 F U' R L
U2 R2 B' U L' R'
U2 R2 B' U R' L'
U2 B' R2 U L' R
U2 B' R2 U R L'
D2 L F L U' L R
D2 L F L U' R L
D' L F U' R F L2
U' L' R U' B R U
U L' U B' R2 F' U
U' L' U' R2 B' U R'
U' L' U' B' R2 U R
D2 L2 D F U' L R
D2 L2 D F U' R L
D2 L2 D' F U' L R
D2 L2 D' F U' R L
D2 L2 D2 F U' L R
D2 L2 D2 F U' R L
D2 L2 F U' L R D
D2 L2 F U' L R D'
D2 L2 F U' L R D2
D2 L2 F U' L D R
D2 L2 F U' L D' R
D2 L2 F U' L D2 R
D2 L2 F U' R L D
D2 L2 F U' R L D'
D2 L2 F U' R L D2
D2 L2 F U' R D L
D2 L2 F U' R D' L
D2 L2 F U' R D2 L
D2 L2 F U' D L R
D2 L2 F U' D R L
D2 L2 F U' D' L R
D2 L2 F U' D' R L
D2 L2 F U' D2 L R
D2 L2 F U' D2 R L
D' L2 F U' R F L
D2 L2 F D U' L R
D2 L2 F D U' R L
D2 L2 F D' U' L R
D2 L2 F D' U' R L
D2 L2 F D2 U' L R
D2 L2 F D2 U' R L
D2 L2 F' U L' U2 L2
D2 L2 F' U' L D2 R2
U' R L' U' B R U
U' R U' B R U L'
L' U' R B R U B'
U' R B R U B' L'
U2 R B' R U L' R2
U2 R B' R U R2 L'
R2 U2 R2 B' U' L' R'
R2 U2 R2 B' U' R' L'
L U2 R2 B' U L2 R'
L U2 R2 B' U R' L2
R2 U2 B' R2 U' L' R
R2 U2 B' R2 U' R L'
L U2 B' R2 U L2 R
L U2 B' R2 U R L2
U2 R2 D B' U L' R'
U2 R2 D B' U R' L'
U2 R2 D' B' U L' R'
U2 R2 D' B' U R' L'
U2 R2 D2 B' U L' R'
U2 R2 D2 B' U R' L'
U2 R2 B U L' D2 R2
U2 R2 B U' L U2 L2
U2 R2 B' U L' R' D
U2 R2 B' U L' R' D'
U2 R2 B' U L' R' D2
U2 R2 B' U L' D R'
U2 R2 B' U L' D' R'
U2 R2 B' U L' D2 R'
U2 R2 B' U R' L' D
U2 R2 B' U R' L' D'
U2 R2 B' U R' L' D2
U2 R2 B' U R' D L'
U2 R2 B' U R' D' L'
U2 R2 B' U R' D2 L'
U2 R2 B' U D L' R'
U2 R2 B' U D R' L'
U2 R2 B' U D' L' R'
U2 R2 B' U D' R' L'
U2 R2 B' U D2 L' R'
U2 R2 B' U D2 R' L'
U2 R2 B' D U L' R'
U2 R2 B' D U R' L'
U2 R2 B' D' U L' R'
U2 R2 B' D' U R' L'
U2 R2 B' D2 U L' R'
U2 R2 B' D2 U R' L'
L2 D' F U' R F L
L D' F B2 U' R F
L D' B2 F U' R F
U2 D' B' U L' R' F2
U2 D' B' U L' F2 R'
U2 D' B' U R' L' F2
L' D2 L2 F U' L2 R
L' D2 L2 F U' R L2
R2 D2 L2 F U L R
R2 D2 L2 F U R L
L' D2 F L2 U' L2 R
L' D2 F L2 U' R L2
L2 D2 F L2 U' L' R
L2 D2 F L2 U' R L'
D' U2 B' U L' R' F2
D' U2 B' U L' F2 R'
D' U2 B' U R' L' F2
B' U2 R2 B' U L' R'
B' U2 R2 B' U R' L'
B2 U2 R2 B' U L' R'
B2 U2 R2 B' U R' L'
B U2 R2 B' U L' R'
B U2 R2 B' U R' L'
B' U2 B' R2 U L' R
B' U2 B' R2 U R L'
B2 U2 B' R2 U L' R
B2 U2 B' R2 U R L'
F U2 B R2 U L R'
F U2 B R2 U R' L
B U2 B' R2 U L' R
B U2 B' R2 U R L'
L2 F U' L D' R F2
L2 F U' D' L R F2
L2 F U' D' R L F2
L2 F U' D' R F2 L
L F U' L2 D' R F2
L2 F U2 R2 U L R'
L2 F U2 R2 U R' L
L F U2 R2 U L2 R'
L F U2 R2 U R' L2
L2 F D' U' L R F2
L2 F D' U' R L F2
L2 F D' U' R F2 L
L' F D2 L2 U' L2 R
L' F D2 L2 U' R L2
L2 F D2 L2 U' L' R
L2 F D2 L2 U' R L'
L F D' B2 U' R F2
L2 F' U' D' F2 L R
L2 F' U' D' F2 R L
F2 D' L' F U' F L'
L2 F' D' U' F2 L R
L2 F' D' U' F2 R L
L F' D' B2 U' F2 R
B' D2 L2 F U' L R
B' D2 L2 F U' R L
B2 D2 L2 F U' L R
B2 D2 L2 F U' R L
B D2 L2 F U' L R
B D2 L2 F U' R L
D2 B L2 F U' L R
D2 B L2 F U' R L
U2 B R2 U L' D2 R2
U2 B R2 U' L U2 L2
U2 B R2 B2 U L' R'
U2 B R2 B2 U R' L'
D2 B' L2 F U' L R
D2 B' L2 F U' R L
U2 B' R2 U L' R D
U2 B' R2 U L' R D'
U2 B' R2 U L' R D2
U2 B' R2 U L' D R
U2 B' R2 U L' D' R
U2 B' R2 U L' D2 R
U2 B' R2 U R L' D
U2 B' R2 U R L' D'
U2 B' R2 U R L' D2
U2 B' R2 U R D L'
U2 B' R2 U R D' L'
U2 B' R2 U R D2 L'
U2 B' R2 U D L' R
U2 B' R2 U D R L'
U2 B' R2 U D' L' R
U2 B' R2 U D' R L'
U2 B' R2 U D2 L' R
U2 B' R2 U D2 R L'
U2 B' R2 D U L' R
U2 B' R2 D U R L'
U2 B' R2 D' U L' R
U2 B' R2 D' U R L'
U2 B' R2 D2 U L' R
U2 B' R2 D2 U R L'
U2 B' R2 B U L' R
U2 B' R2 B U R L'
U2 B' R2 B' U L' R
U2 B' R2 B' U R L'
U2 B' R2 B2 U L' R
U2 B' R2 B2 U R L'
U2 B' U L' D' R' F2
U2 B' U L' D' F2 R'
U2 B' U D' L' R' F2
U2 B' U D' L' F2 R'
U2 B' U D' R' L' F2
U2 B' D' U L' R' F2
U2 B' D' U L' F2 R'
U2 B' D' U R' L' F2
D2 B2 L2 F U' L R
D2 B2 L2 F U' R L
U2 B2 R2 B U L' R'
U2 B2 R2 B U R' L'
