L B' R' F' U B
B' L R' F' B' U B2
B' L R' B' F' U B2
R' L F' B' R' U B2
R' L B' F' R' U B2
F' L B' R' F' U B
F2 L B' R' F' U B
F L B' R' F' U B
L R' F' B' R' U B2
L R' B' F' R' U B2
L2 U B' R' F' L' B
L2 U B' R' F' B L'
L2 U B' R' B F' L'
D2 R F' B L U' B'
D2 R B L F' U' B'
L2 U' R' B L F R
D2 R B F' L U' B'
B' R' L F' B' U B2
B' R' L B' F' U B2
B' R' D F' U B R
U R' D F' L' B R
U R' D F' B L' R
U R' D F' B R L'
B' R' D' F' U B R'
U R' D B F' L' R
U R' D B F' R L'
U' R' D' B L R' F
U' R' D' B L F R'
U' R' D' B R' L F
U R' D' F' L' B R'
U R' D' F' B L' R'
U R' D' F' B R' L'
U R' D' B F' L' R'
U R' D' B F' R' L'
B' R' F' L B' U B2
B' R' F' U D' B R'
B' R' F' D' U B R'
U R' F' D' L' B R'
U R' F' D' B L' R'
U R' F' D' B R' L'
U R' B D F' L' R
U R' B D F' R L'
L D B' L R' F' U
L D B' R' L F' U
L D B' R' F' L U
R' D' F' U B R' F'
L F B' R' F' U B
R' F' L B' R' U B2
D' F' R B L U' R'
R' F' U D' B R' F'
R' F' D' U B R' F'
L F' B' R' F' U B
L F2 B' R' F' U B
D B' L R' F' U R
L B' L R' F' U B
L B' L' R' F' U B
L B' L2 R' F' U B
D B' R' L F' U R
D B' R' F' L U R
L B' R' L F' U B
L B' R' L' F' U B
L B' R' L2 F' U B
L B' R' D F' U B
L B' R' D' F' U B
L B' R' D2 F' U B
L B' R' F' L U B
L B' R' F' L' U B
L B' R' F' L2 U B
L B' R' F' U D B
L B' R' F' U D' B
L B' R' F' U D2 B
L B' R' F' U B D
L B' R' F' U B D'
L B' R' F' U B D2
L B' R' F' D U B
L B' R' F' D' U B
L B' R' F' D2 U B
L B' F R' F' U B
L B' F' R' F' U B
L B' F2 R' F' U B
