B2 L F2 U' B' L2 U'
F2 L' R F U R2 B
F2 L' U R F U R2
B2 L' D F2 R2 B U'
D L' F R2 U' L' R
D L' F R2 U' R L'
F L2 U' R' F' B' L'
F L2 U' R' B' F' L'
F2 R L' F U R2 B
L' U F2 U F' U R'
D2 R' U L' B U' B
D2 R' U B L' U' B
D2 R' B2 U B' L' U'
L' U2 D' F L2 U R'
L' U2 D2 F U R' B2
L' U2 F L2 U R' B'
L' U2 F U' F U2 R'
L D R2 B' U' R F2
L' D F2 R2 B U' R
F2 U D2 R F' U R2
L' D' U2 F L2 U R'
L' D2 U2 F U R' B2
L' F U' F U2 F' R'
B' D L' R2 F U' L'
B' D L' F R2 U' L'
B' D R2 L' F U' L'
F' D F' R U2 F' R2
R2 F2 L' U R F U
D2 F2 R F' U R2 B2
D2 F2 R F' U B2 R2
F2 D2 U R F' U R2
