D' L' F2 B2
D' L' B2 F2
D' B2 L' F2
D' L F2 L2 B2
D' L F2 B2 L2
D' L B2 L2 F2
D' L B2 F2 L2
D L' D2 F2 B2
D L' D2 B2 F2
L2 R2 U L R2
R2 L2 U L R2
L2 R2 U R2 L
R2 L2 U R2 L
D' L' F2 B2 D
D' L' F2 B2 D'
D' L' F2 B2 D2
U' L2 R2 U L
D' L' B2 F2 D
D' L' B2 F2 D'
D' L' B2 F2 D2
D' L2 F2 L B2
L' U' L' R2 U
L' U' R2 L' U
U' R2 L2 U L
B' D' L' F2 B2
B' D' L' B2 F2
B2 D' L' F2 B2
B2 D' L' B2 F2
B D' L' F2 B2
B D' L' B2 F2
F2 D' F2 L' B2
B' D' B2 L' F2
F2 D' F2 B2 L'
B2 D' B2 L' F2
B D' B2 L' F2
F2 D' B2 F2 L'
D' B L' F2 B
D' B L' B F2
D' B2 L F2 L2
D' B2 L' F2 D
D' B2 L' F2 D'
D' B2 L' F2 D2
D' B2 L2 F2 L
D' L F' L2 F' B2
D' L F' L2 B2 F'
D' L F' B2 L2 F'
D' L F2 L' B2 L'
D' L F2 L2 B2 D
D' L F2 L2 B2 D'
D' L F2 L2 B2 D2
D' L F2 L2 B2 D2
D' L F2 B L2 B
D' L F2 B2 L2 D
D' L F2 B2 L2 D'
D' L F2 B2 L2 D2
D' L B L2 F2 B
D' L B L2 B F2
D' L B F2 L2 B
D' L B2 L F2 L
D' L B2 L2 F2 D
D' L B2 L2 F2 D'
D' L B2 L2 F2 D2
D' L B2 F' L2 F'
D' L B2 F2 L2 D
D' L B2 F2 L2 D'
D' L B2 F2 L2 D2
D' L' R F2 R' B2
D' L' R' B2 R F2
D' L' R2 F2 R2 B2
D' L' R2 F2 B2 R2
D' L' R2 B2 R2 F2
D' L' R2 B2 F2 R2
D2 L' U L' R2 U'
D2 L' U R2 L' U'
B' L' U' L' R2 U
B2 L' U' L' R2 U
B' L' U' R2 L' U
B2 L' U' R2 L' U
B L' U' L' R2 U
B L' U' R2 L' U
D L' U2 F2 B2 U2
D L' U2 B2 F2 U2
D L' D2 F2 B2 D
D L' D2 F2 B2 D'
D L' D2 F2 B2 D2
D L' D2 B2 F2 D
D L' D2 B2 F2 D'
D L' D2 B2 F2 D2
L2 R2 U L R2 D
L2 R2 U L R2 D'
L2 R2 U L R2 D2
D' L' F B2 D F
D' L' F B2 D' F
D' L' F B2 D2 F
R2 L2 U L R2 D
R2 L2 U L R2 D'
R2 L2 U L R2 D2
L2 R2 U R2 L D
L2 R2 U R2 L D'
L2 R2 U R2 L D2
L2 R2 U R2 D L
L2 R2 U R2 D' L
L2 R2 U R2 D2 L
R2 L2 U R2 L D
R2 L2 U R2 L D'
R2 L2 U R2 L D2
R2 L2 U R2 D L
R2 L2 U R2 D' L
R2 L2 U R2 D2 L
D' L' F' B2 D F'
D' L' F' B2 D' F'
D' L' F' B2 D2 F'
D' L' F2 L B2 L'
D' L' F2 L2 B2 L2
D' L' F2 R' B2 R
D' L' F2 R2 B2 R2
D' L' F2 B D B
D' L' F2 B D' B
D' L' F2 B D2 B
D' L' F2 B' D B'
D' L' F2 B' D' B'
D' L' F2 B' D2 B'
D' L' B F2 D B
D' L' B F2 D' B
D' L' B F2 D2 B
D' L' B' F2 D B'
D' L' B' F2 D' B'
D' L' B' F2 D2 B'
D' L' B2 L' F2 L
D' L' B2 L2 F2 L2
D' L' B2 R F2 R'
D' L' B2 R2 F2 R2
D' L' B2 F D F
D' L' B2 F D' F
D' L' B2 F D2 F
D' L' B2 F' D F'
D' L' B2 F' D' F'
D' L' B2 F' D2 F'
L2 R2 F U L R2
L2 R2 F U R2 L
U' L2 R2 U L D
U' L2 R2 U L D'
U' L2 R2 U L D2
U' L2 R2 U D L
U' L2 R2 U D' L
U' L2 R2 U D2 L
