D' R U L U F'
B' L U L' R U2 B
B' L U R L' U2 B
L' R D L F2 B' U2
L' R D L B' F2 U2
U L U D F2 L' F
D' L U F2 L' R F'
D' L U F2 R L' F'
U L U F2 D L' F
L' R D F2 L B' U2
D' L U' L' R U2 F'
D' L U' R L' U2 F'
D L U' R B' L' U2
U L U' D' R U2 F'
D L U' B' L' R U2
D L U' B' R L' U2
R' L D' F2 U R F'
U L D U F2 L' F
U L D F2 U L' F
U L D' U' R U2 F'
D' L F2 U L' R F'
D' L F2 U R L' F'
B' L F2 U' L' R B'
B' L F2 U' L' B' R
B' L F2 U' R L' B'
U L F2 U D L' F
U L F2 D U L' F
R L' D L F2 B' U2
R L' D L B' F2 U2
R L' D F2 L B' U2
L R' D' F2 U R F'
F2 L' D' R F' B2 R'
F2 L' D' R B2 F' R'
F2 L' D' R2 B2 R' F'
F2 L' D' B2 R F' R2
R U L D' R U F'
R U L B R' B' U
R U L2 D L' U F
R U D L U' B' U2
L U D F2 L' R F
L U D F2 R L' F
R U D' L R U F'
R U D' R L U F'
L U D' F2 L' R F'
L U D' F2 R L' F'
D' R U L U D F'
D' R U L U D' F'
D' R U L U D2 F'
D' R U L U F' D
D' R U L U F' D'
D' R U L U F' D2
D' R U L D U F'
D' R U L D' U F'
D' R U L D2 U F'
D' R U D L U F'
D R U L U' B' U2
D' R U D' L U F'
D' R U D2 L U F'
B' R U' L U F U2
B2 R U' L R2 U' F
L U F2 L' D' R F'
L U F2 R D L' F
B2 R U' R2 L U' F
L U F2 D L' R F
L U F2 D R L' F
L U F2 D' L' R F'
L U F2 D' R L' F'
R U B R' B' L U
D' R U2 F' U' L U
D' R D U L U F'
D' R D' U L U F'
D' R D2 U L U F'
D' R F U L U F2
L U' L' D' R U2 F'
D2 R F' U L R U
D2 R F' U R L U
D2 R F2 U L U F
L U' R D L' U2 F
B2 R B U' L R2 U'
B2 R B U' R2 L U'
B R B' U L R2 U
B R B' U R2 L U
L U' D L' R U2 F
L U' D R L' U2 F
L U' D' L' R U2 F'
L U' D' R L' U2 F'
R2 U' B2 R' U' L F
L' D L R F2 B' U2
L' D L R B' F2 U2
R U2 B2 U R' U' F'
L' D L F2 B' U2 L'
L' D L B' R F2 U2
L' D L B' F2 U2 L'
L' D R L F2 B' U2
L' D R L B' F2 U2
L' D R F2 L B' U2
U' R2 B2 R' U' L F
R D U L U' B' U2
D' U L U' R U2 F'
L D U F2 L' R F
L D U F2 R L' F
L D U' L' R U2 F
L D U' R L' U2 F
D U L U' R B' U2
D U L U' B' R U2
U D L U' R B' U2
U D L U' B' R U2
L' D F2 L U2 L2 F
L' D F2 L B' U2 L2
L2 D F2 R U' L' F
L D F2 U L' R F
L D F2 U R L' F
F2 U D L U L2 F
L' D' L R U2 F' B2
L' D' L R U2 B2 F'
R' D' L F2 U R F'
U2 D F2 L' D' F B2
U2 D F2 L' D' B2 F
U2 D F2 L' F D' B2
D U F2 L U L2 F
U D F2 L U L2 F
L' D' R L U2 F' B2
L' D' R L U2 B2 F'
L' D' R U2 F' B2 R'
L' D' R U2 B2 F' R'
L' D' R2 B2 L R' F'
L' D' R2 B2 R' L F'
L' D' R2 B2 R' F' L
U D' L U' R U2 F'
R D' U L R U F'
B' U' L U R F U2
R D' U R L U F'
L D' U F2 L' R F'
L D' U F2 R L' F'
L D' U' L' R U2 F'
L D' U' R L' U2 F'
L D' F2 U L' R F'
L D' F2 U R L' F'
R D2 F' U L R U
R D2 F' U R L U
D U2 F2 L' D' F B2
D U2 F2 L' D' B2 F
D U2 F2 L' F D' B2
R D2 F2 U L U F
F2 U2 D L' D' F B2
F2 U2 D L' D' B2 F
F2 U2 D L' F D' B2
F2 D L' D' F B2 R'
F2 D L' D' B2 R' F
F2 D L' D' B2 F R'
F2 D L' F D' B2 R'
F2 D U L U L2 F
F2 D U2 L' D' F B2
F2 D U2 L' D' B2 F
F2 D U2 L' F D' B2
D2 F' U L R F U
D2 F' U R L F U
B D' R U R2 U B
B D' R D F' B2 U2
B D' R D B2 F' U2
B D' R D' F' U2 F'
B D' R F' U R2 U
B D' R F' U2 D' F2
B D' R F' D B2 U2
B D' R F' D' U2 F2
D F2 L' D' F B2 R'
D F2 L' D' B2 R' F
D F2 L' D' B2 F R'
D F2 L' F D' B2 R'
D2 F2 U L U F L2
D F2 U L U L2 F
L F2 U L' D' R F'
L F2 U R D L' F
L F2 U D L' R F
L F2 U D R L' F
L F2 U D' L' R F'
L F2 U D' R L' F'
D F2 U2 L' D' F B2
D F2 U2 L' D' B2 F
D F2 U2 L' F D' B2
U2 F2 D L' D' F B2
U2 F2 D L' D' B2 F
U2 F2 D L' F D' B2
U F2 D L U L2 F
L F2 D U L' R F
L F2 D U R L' F
L F2 D' U L' R F'
L F2 D' U R L' F'
L F2 B R' U L' R2
L F2 B R' U R2 L'
L B R' U' L' R2 U2
L B R' U' R2 L' U2
L B R' D' F2 U R
R B U D' R' U B
R B D' U R' U B
U' B' L U R U2 B
L B F2 R' U L' R2
L B F2 R' U R2 L'
R B' U' L U F U2
F2 B' U' L U' L2 B'
D' B2 R U2 D F' B2
D' B2 R U2 D B2 F'
D' B2 R U2 F' D B2
D' B2 R D U2 F' B2
D' B2 R D U2 B2 F'
D' B2 R D' F2 U2 F
B' F2 U' L U' L2 B'
L B2 U' L' R B' U2
L B2 U' L' B' R U2
L B2 U' R L' B' U2
R B2 U' L R' U' F
R B2 U' R' L U' F
