B' L D L2 B2 R'
B' L' D B2 L2 R'
B' L' D B2 R' L2
U' R2 U2 F' R2 U
B2 U B' R2 F' U'
F' U' B R2 U' F
F2 U' B R2 U' F2
B' D L' B2 L' R'
B' D L' B2 R' L'
B' D L2 B2 D2 R2
B' D B2 L2 D2 R2
B' D' R2 F2 U2 F2
B' D' F2 R2 U2 F2
D' F2 U' B U' F2
U' B R2 U' D' F2
U' B R2 U2 R2 U
U' B R2 D' U' F2
U' B R2 D2 L2 U'
U B R2 U2 B' U
U B' R2 F' B2 U'
U B' R2 B2 F' U'
L B' D L2 B2 R'
U2 B' D B2 L2 F
U' L R2 U2 F' R2 U
B L R2 F2 U' R F2
U L U2 L' B R2 U'
U L U2 B L' R2 U'
U L U2 B R2 L' U'
B' L D L2 R B2 R'
B' L D L2 R' B2 R'
B' L D L2 R2 B2 R'
B' L D L2 B2 R' D
B' L D L2 B2 R' D'
B' L D L2 B2 R' D2
B' L D L2 B2 D R'
B' L D L2 B2 D' R'
B' L D L2 B2 D2 R'
B' L D R L2 B2 R'
B' L D R' L2 B2 R'
B' L D R2 L2 B2 R'
B L F2 R2 U' R' F2
B L F2 R2 U' F2 R'
F2 L B R2 U' F2 R
U' L B R2 U' D' F2
U' L B R2 U2 R2 U
U' L B R2 D' U' F2
U' L B R2 D2 L2 U'
U2 L B' D B2 L2 F
B L B2 D L2 B2 R'
U' L' R2 U2 F' R2 U
B' L' U R2 B2 U' R'
D L' U B U' B R'
B' L' U B2 R2 U' R
U L' U2 L B R2 U'
B' L' D R B2 L2 R'
B' L' D R B2 R' L2
B' L' D R' B2 L2 R'
B' L' D R' B2 R' L2
B' L' D R2 B2 L2 R'
B' L' D R2 B2 R' L2
B' L' D B L2 B R'
B' L' D B2 L2 R' D
B' L' D B2 L2 R' D'
B' L' D B2 L2 R' D2
B' L' D B2 L2 D R'
B' L' D B2 L2 D' R'
B' L' D B2 L2 D2 R'
B' L' D B2 R' L2 D
B' L' D B2 R' L2 D'
B' L' D B2 R' L2 D2
B L' D B2 R' D L2
B L' D B2 D L2 R'
B L' D B2 D R' L2
U' L' B R2 U' D' F2
U' L' B R2 U2 R2 U
U' L' B R2 D' U' F2
U' L' B R2 D2 L2 U'
U2 L' B' D B2 L2 F
D L' B' D B' L2 R'
D L' B' D B' R' L2
D L' B2 R' U B' U'
B L' B2 D L2 R' B2
B L' B2 D R' L2 B2
B L' B2 D R' B2 L2
U' L2 R2 U2 F' R2 U
B L2 R2 D F2 U' F2
U L2 U2 L2 B R2 U'
B' L2 D L2 B2 D R2
U L2 U2 B L2 R2 U'
U L2 U2 B R2 L2 U'
B' L2 D B2 L2 D R2
B L2 D F2 U' F2 B2
B L2 D F2 U' B2 F2
B L2 D B2 D L2 R2
B L2 D B2 D R2 L2
B' L2 D2 R2 D' L2 B2
B' L2 D2 R2 D' B2 L2
U L2 D2 L2 R2 F' U
U L2 D2 R2 L2 F' U
U L2 D2 R2 F' L2 U
U' L2 B R2 U' D' F2
U' L2 B R2 U2 R2 U
U' L2 B R2 D' U' F2
U' L2 B R2 D2 L2 U'
U L2 B L2 R2 F U'
U L2 B L2 F R2 U'
U L2 B R2 L2 F U'
U2 L2 B' D B2 L2 F
L' U D B U' B R'
L2 U D F2 B U' B
L2 U D B F2 U' B
R2 U F' U' F U2 F'
B' R U' R B2 L U'
L U F2 B R2 U' R'
L2 U B R2 U L2 U2
L2 U B R2 U' D2 R2
L2 U B R2 D F2 U'
L2 U B R2 D2 U' R2
L U B R2 U L' U2
L2 U B D F2 U' B2
L U B R2 F2 U' R
L U B F2 R2 U' R'
L' U B2 R2 B' U' R
R U' R U2 F' R' U
R2 U' F' L2 B' U B
L' U2 L U' B R2 U'
L U2 L' U' B R2 U'
L2 U2 L2 U' B R2 U'
U' R2 L U2 F' R2 U
U' R2 L' U2 F' R2 U
B R2 L F2 U' R F2
U' R2 L2 U2 F' R2 U
B R2 L2 D F2 U' F2
D2 R2 U' F' L2 B' U
U' R2 U' F D' L2 F2
U' R2 U' F D' F2 L2
U' R2 U2 R2 U2 B U'
U' R2 U2 D' F' U F'
U' R2 U2 F R2 F2 U
U' R2 U2 F' R2 U D
U' R2 U2 F' R2 U D'
U' R2 U2 F' R2 U D2
U' R2 U2 F' R2 D U
U' R2 U2 F' R2 D' U
U' R2 U2 F' R2 D2 U
U' R2 U2 F' U D' F2
U' R2 U2 F' D' U F2
U' R2 U2 F2 R2 F U
U2 R2 U2 F' U R2 F
U2 R2 U2 F' U F R2
U R2 U2 F' U2 F U'
U' R2 D' U2 F' U F'
U' R2 D2 L2 U2 F' U
D' R2 F2 U F U F
B R2 F2 L U' F2 R
B R2 F2 U' F2 D R2
U' R2 B U2 F' R2 U
U' R2 B' U2 F' R2 U
U R2 B U2 F' B' U
U R2 B U2 B' F' U
L' D U B U' B R'
U' R2 B2 U2 F' R2 U
L2 D U F2 B U' B
L2 D U B F2 U' B
U R2 B' U2 F' B U
U R2 B' U2 B F' U
U R2 B2 U2 F' B2 U
U R2 B2 U2 B2 F' U
D2 U L2 U2 L2 B U'
D2 U L2 U2 B L2 U'
D2 U L2 D2 R2 F' U
L2 D F2 B U' F2 B
L2 D F2 B U' B F2
L2 D B F2 U' F2 B
L2 D B F2 U' B F2
L' D B' D B' L2 R'
L' D B' D B' R' L2
B' U R2 B2 U' D' R2
B' U R2 B2 U2 B2 U
B' U R2 B2 D' U' R2
B' U R2 B2 D2 F2 U'
B U R2 U R2 U2 R2
B2 U R2 B' U2 B U
L2 D B' D R2 B' L2
L2 D B' D B' L2 R2
L2 D B' D B' R2 L2
L' D B2 R' U B' U'
F2 U D R2 F' U B2
L2 D B2 U F2 B' U'
L2 D B2 U B' F2 U'
D2 U B U2 B' L2 U
B2 U F B' R2 F' U'
D U B U' B D' R2
D U B U2 B' U B2
B2 U F' B' R2 F' U'
U D B U' B D' R2
U D B U2 B' U B2
B2 U F2 B' R2 F' U'
B' U B' R2 F' B' U'
B' U B' R2 B' F' U'
B2 U B' R2 D F' U'
B2 U B' R2 D' F' U'
B2 U B' R2 D2 F' U'
B2 U B' R2 F' U' D
B2 U B' R2 F' U' D'
B2 U B' R2 F' U' D2
B2 U B' R2 F' D U'
B2 U B' R2 F' D' U'
B2 U B' R2 F' D2 U'
B2 U B' F R2 F' U'
B2 U B' F' R2 F' U'
B2 U B' F2 R2 F' U'
B' U B2 R2 U' D' R2
B' U B2 R2 U2 B2 U
B' U B2 R2 D' U' R2
B' U B2 R2 D2 F2 U'
F2 U' L B R2 U' F2
F2 U' L' B R2 U' F2
F2 U' L2 B R2 U' F2
B' U' R B2 L R U'
B' U' R B2 R L U'
F' U' R2 U' F D' L2
F' U' R2 U2 F' U F2
F2 U' R2 U2 F' U F'
B2 U' R2 D' B' U' F2
B2 U' R2 D2 B' L2 U'
B' U' R2 B2 U' D' F2
B' U' R2 B2 U2 R2 U
B' U' R2 B2 D' U' F2
B' U' R2 B2 D2 L2 U'
B2 U' R2 B' U' D' F2
B2 U' R2 B' U2 R2 U
B2 U' R2 B' D' U' F2
B2 U' R2 B' D2 L2 U'
B U' R2 D2 L2 U' L2
D' U' B U F2 U2 F2
U' D' B U F2 U2 F2
F' U' D B U' F B
F' U' D B U' B F
F U' D B U' F' B
F U' D B U' B F'
F2 U' B L R2 U' F2
F2 U' B L' R2 U' F2
F' U' B R2 U' D F
F' U' B R2 U' D' F
F' U' B R2 U' D2 F
F' U' B R2 U' F D
F' U' B R2 U' F D'
F' U' B R2 U' F D2
F' U' B R2 D U' F
F' U' B R2 D' U' F
F' U' B R2 D2 U' F
F2 U' B L2 R2 U' F2
F' U' B U' D F B2
F' U' B U' D B2 F
F' U' B U' F D B2
F2 U' B R2 L U' F2
F2 U' B R2 L' U' F2
F2 U' B R2 L2 U' F2
F2 U' B R2 U' F2 D
F2 U' B R2 U' F2 D'
F2 U' B R2 U' F2 D2
F2 U' B R2 D' L2 U'
F' U' B D U' F B2
F' U' B D U' B2 F
F2 U' B U' F2 D B2
L2 D2 R2 U' L2 F' U
L2 D2 R2 U' F' L2 U
F' U' B' R2 B2 U' F
B2 U' B' R2 U' D' F2
B2 U' B' R2 U2 R2 U
B2 U' B' R2 D' U' F2
B2 U' B' R2 D2 L2 U'
F2 U' B' R2 B2 U' F2
U D2 L2 U2 L2 B U'
U D2 L2 U2 B L2 U'
F U' B R2 U B U2
F U' B U' D F' B2
F U' B U' D B2 F'
U D2 L2 D2 R2 F' U
F U' B U' F' D B2
F U' B D U' F' B2
F U' B D U' B2 F'
B' U' B2 R2 U' D' F2
B' U' B2 R2 U2 R2 U
B' U' B2 R2 D' U' F2
B' U' B2 R2 D2 L2 U'
F' U' B2 R2 B' U' F
F2 U' B2 R2 B' U' F2
U D2 B U2 B' L2 U
B2 U2 R2 B' U' R2 F'
B' U2 D L2 B2 D2 F2
B' U2 D B L2 F B
B' U2 D B L2 B F
B' U2 D B2 L2 D2 F2
B' U2 D' R2 F2 U2 R2
B' U2 D' F2 R2 U2 R2
F' U2 F U B R2 U'
F' U2 F B' D L2 B2
F' U2 F B' D B2 L2
F2 U2 F2 U B R2 U'
F U2 F' U B R2 U'
F2 U2 F2 B' D L2 B2
F2 U2 F2 B' D B2 L2
F U2 F' B' D L2 B2
F U2 F' B' D B2 L2
F' U2 B R2 U' R2 F
F' U2 B R2 U' F R2
F2 U2 B R2 U' R2 F2
F2 U2 B R2 U' F2 R2
B2 U2 B D L2 F B2
B2 U2 B D L2 B2 F
B2 U2 B' R2 U' F' R2
F' U2 B' D F L2 B2
F' U2 B' D F B2 L2
F' U2 B' D B2 F L2
F U2 B R2 U' R2 F'
F' U2 B' F D L2 B2
F' U2 B' F D B2 L2
F2 U2 B' F2 D L2 B2
F2 U2 B' F2 D B2 L2
F U2 B' D L2 F' B2
F U2 B' D L2 B2 F'
F U2 B' D F' L2 B2
F U2 B' D F' B2 L2
F U2 B' D B2 L2 F'
F U2 B' D B2 F' L2
F U2 B' F' D L2 B2
F U2 B' F' D B2 L2
U' F U2 F' B R2 U'
B' D L' R B2 L' R'
B' D L' R B2 R' L'
B' D L' R' B2 L' R'
B' D L' R' B2 R' L'
B' D L' R2 B2 L' R'
B' D L' R2 B2 R' L'
U' F U2 B F' R2 U'
D F U' B U' F' B
D F U' B U' B F'
B' D L' B L' B R'
B' D L' B2 L' R' D
B' D L' B2 L' R' D'
B' D L' B2 L' R' D2
B' D L' B2 L' D R'
B' D L' B2 L' D' R'
B' D L' B2 L' D2 R'
B' D L' B2 R' L' D
B' D L' B2 R' L' D'
B' D L' B2 R' L' D2
B' D L' B2 R' D L'
B' D L' B2 R' D' L'
B' D L' B2 R' D2 L'
B' D L' B2 D L' R'
B' D L' B2 D R' L'
B' D L' B2 D' L' R'
B' D L' B2 D' R' L'
B' D L' B2 D2 L' R'
B' D L' B2 D2 R' L'
B' D L2 R B2 D2 R2
B' D L2 R' B2 D2 R2
B' D L2 R2 B2 D2 R2
B' D L2 U2 L2 U2 B2
