D2 L2 F2 B U' F'
D' L2 B U' R2 F
D' L2 B U' F R2
D2 L2 B F2 U' F'
B U B2 U B' U
B U B2 U B' U
L2 D' B U' R2 F
L2 D' B U' F R2
L2 D2 F2 B U' F'
L2 D2 B F2 U' F'
B U2 D' B R2 U
B U2 D2 B U F2
B U2 B R2 U F'
B U2 B U' B U2
B D L2 U2 B U
D2 F2 L2 B U' F
B D' U2 B R2 U
D2 F2 B U B2 U2
D2 F2 B U' D2 F2
D2 F2 B D L2 U'
D2 F2 B D2 U' F2
B D2 U2 B U F2
D' B U B2 U2 R2
D B U L2 B2 U2
D' B U' R2 D2 F2
D B U B2 L2 U2
L2 B U2 B U F
D B U' D2 R2 F2
D B U' D2 F2 R2
D2 B D L2 U' R2
D B D L2 F2 U'
D B D F2 L2 U'
D B D2 U' R2 F2
D B D2 U' F2 R2
D2 B F2 U B2 U2
D2 B F2 U' D2 F2
D2 B F2 D L2 U'
D2 B F2 D2 U' F2
B L U B2 U B' U
B L U2 D' B R2 U
B L U2 D2 B U F2
B L U2 B R2 U F'
B L U2 B U' B U2
B L D L2 U2 B U
B L D' U2 B R2 U
B L D2 U2 B U F2
D2 L F2 L B U' F
D2 L F2 B L U' F
D' L B L U' R2 F
D' L B L U' F R2
D2 L B L F2 U' F'
D2 L B F2 L U' F
B L' U B2 U B' U
B L' U2 D' B R2 U
B L' U2 D2 B U F2
B L' U2 B R2 U F'
B L' U2 B U' B U2
B L' D L2 U2 B U
B L' D' U2 B R2 U
B L' D2 U2 B U F2
D2 L' F2 L' B U' F
D2 L' F2 B L' U' F
D' L' B L' U' R2 F
D' L' B L' U' F R2
D2 L' B L' F2 U' F'
D L' B U L' U2 F
D2 L' B F2 L' U' F
U' L2 R D' R2 F L'
U' L2 R D' F L' R2
U' L2 R D' F R2 L'
U' L2 R2 F D' L2 R2
U' L2 R2 F D' R2 L2
D' L2 U' R2 F D' L2
B L2 U B2 U B' U
B' L2 U' F B2 U' B2
B' L2 U' B2 F U' B2
D L2 U' B U' F B'
D L2 U' B U' B' F
B L2 U2 D' B R2 U
B L2 U2 D2 B U F2
B L2 U2 B R2 U F'
B L2 U2 B U' B U2
B L2 D L2 U2 B U
D2 L2 D B U' R2 F
D2 L2 D B U' F R2
U' L2 D' R2 F D' L2
D' L2 D' F2 B U' F'
D' L2 D' B F2 U' F'
F' L2 D' B U' R2 F
F' L2 D' B U' F R2
B L2 D' U2 B R2 U
F2 L2 D' B U' R2 F
F2 L2 D' B U' F R2
F L2 D' B U' R2 F
F L2 D' B U' F R2
F' L2 D2 F2 B U' F'
F' L2 D2 B F2 U' F'
B L2 D2 U2 B U F2
F2 L2 D2 F2 B U' F'
F2 L2 D2 B F2 U' F'
F L2 D2 F2 B U' F'
F L2 D2 B F2 U' F'
B2 L2 F U' B U2 B'
B' L2 F B2 U B2 U2
B' L2 F B2 U' D2 F2
B' L2 F B2 D L2 U'
B' L2 F B2 D2 U' F2
D' L2 F' B U' R2 F2
D' L2 F' B U' F2 R2
D2 L2 F2 L B U' F'
D2 L2 F2 L' B U' F'
D2 L2 F2 L2 B U' F'
D2 L2 F2 D B U' F'
D2 L2 F2 D' B U' F'
D2 L2 F2 D2 B U' F'
D2 L2 F2 B L U' F'
D2 L2 F2 B L' U' F'
D2 L2 F2 B L2 U' F'
D2 L2 F2 B U' D F'
D2 L2 F2 B U' D' F'
D2 L2 F2 B U' D2 F'
D2 L2 F2 B U' F' D
D2 L2 F2 B U' F' D'
D2 L2 F2 B U' F' D2
D2 L2 F2 B D U' F'
D2 L2 F2 B D' U' F'
D2 L2 F2 B D2 U' F'
D' L2 F2 B U' F' R2
D2 L2 B U' D R2 F
D2 L2 B U' D F R2
D' L2 B U' R' F R'
D' L2 B U' R2 D F
D' L2 B U' R2 D' F
D' L2 B U' R2 D2 F
D' L2 B U' R2 F D
D' L2 B U' R2 F D'
D' L2 B U' R2 F D2
D' L2 B U' F R2 D
D' L2 B U' F R2 D'
D' L2 B U' F R2 D2
D' L2 B U' F' R2 F2
D2 L2 B D U' R2 F
D2 L2 B D U' F R2
F' L2 B U2 B U F
D' L2 B D' F2 U' F'
F2 L2 B U2 B U F
D2 L2 B F2 L U' F'
D2 L2 B F2 L' U' F'
D2 L2 B F2 L2 U' F'
D2 L2 B F2 U' D F'
D2 L2 B F2 U' D' F'
D2 L2 B F2 U' D2 F'
D2 L2 B F2 U' F' D
D2 L2 B F2 U' F' D'
D2 L2 B F2 U' F' D2
D' L2 B F' U' R2 F2
D' L2 B F' U' F2 R2
D2 L2 B F2 D U' F'
D2 L2 B F2 D' U' F'
D2 L2 B F2 D2 U' F'
D' L2 B F2 U' F' R2
F L2 B U2 B U F
B' L2 B2 D F L2 U'
B' L2 B2 D2 F U' F
B' L2 B2 F U B2 U2
B' L2 B2 F U' D2 F2
B' L2 B2 F D L2 U'
B' L2 B2 F D2 U' F2
U' R L2 D' R2 F L'
U' R L2 D' F L' R2
U' R L2 D' F R2 L'
U' R D' L2 R2 F L'
U' R D' L2 F L' R2
U' R D' L2 F R2 L'
U' R D' R2 L2 F L'
U R D B' L2 U2 L'
L2 U' R D' R2 F L'
L2 U' R D' F L' R2
L2 U' R D' F R2 L'
L2 U' R2 F D' L2 R2
L2 U' R2 F D' R2 L2
U2 R B2 R2 U F' L'
L2 U' D' R2 F D' L2
L U2 R' B2 U F' L'
L2 U2 R2 F' B2 U F2
L2 U2 R2 B2 F' U F2
U2 R' B2 U' B U2 L
U' R2 L2 F D' L2 R2
U' R2 L2 F D' R2 L2
B' R2 U' B2 R2 F' U'
B R2 D L2 F' U' B2
B R2 D F' L2 U' B2
L2 U2 B2 U2 B' U' F
B2 R2 D2 L2 F U F2
U' R2 F D' L2 R2 F
U' R2 F D' L2 F R2
U' R2 F D' R2 L2 F
B R2 F' R2 U B2 U2
B R2 F' R2 U' D2 F2
B R2 F' R2 D L2 U'
B R2 F' R2 D2 U' F2
U2 R2 F' B2 R2 U F'
B R2 F' D L2 U' B2
U2 R2 F' B2 U' B U2
U R2 B' U F' B' U
U R2 B' U B' F' U
U2 R2 B2 F' R2 U F'
U2 R2 B2 F' U' B U2
