U' R U2 L' F' B'
U' R U2 L' B' F'
D2 R2 U L' F B
D2 R2 U L' B F
D2 R2 U B L' F
D2 U L' F D2 B2
F2 U' R F U2 F2
U D2 L' F D2 B2
U' F2 R F U2 F2
L2 R U F' L D' B2
D2 L R2 U L2 F B
D2 L R2 U L2 B F
D2 L U L2 F D2 B2
D2 L U F2 L2 F B'
D2 L U F2 L2 B' F
D2 L U' F' U2 L2 F
D2 L U' F' B' U2 L2
D2 L U' B' F' U2 L2
U' L F2 L2 R F' B'
U' L F2 L2 R B' F'
U' L F2 L2 B' R F'
U' L F2 R L2 F' B'
U' L F2 R L2 B' F'
D2 L F2 U L2 F B'
D2 L F2 U L2 B' F
B' L' R D' F' R B
B L' R D F' R B
U L' R F' R B R2
B L' R2 D' B R' F'
U' L' R2 B2 R' F' B'
U' L' R2 B2 R' B' F'
U L' R2 B R' F' R'
R2 L' B U' B' R' U
D2 L' F D2 B2 D' R2
R L2 U F' L D' B2
U' L' B R2 B R' F'
D2 L' B2 D' R2 F B
D2 L' B2 D' R2 B F
F2 L2 U' R U2 F' B'
F2 L2 U' R U2 B' F'
L' R2 B U' B' R' U
R U L' F' U' L' U
R U L2 F' L D' B2
B' R L' D' F' R B
B R L' D F' R B
U R L' F' R B R2
U' R U2 L' D F' B'
U' R U2 L' D B' F'
U' R U2 L' D' F' B'
U' R U2 L' D' B' F'
U' R U2 L' D2 F' B'
U' R U2 L' D2 B' F'
U' R U2 L' F' D B'
U' R U2 L' F' D' B'
U' R U2 L' F' D2 B'
U' R U2 L' F' B' D
U' R U2 L' F' B' D'
U' R U2 L' F' B' D2
U' R U2 L' B' D F'
U' R U2 L' B' D' F'
U' R U2 L' B' D2 F'
U' R U2 L' B' F' D
U' R U2 L' B' F' D'
U' R U2 L' B' F' D2
U' R U2 L2 F' L B'
U' R U2 D L' F' B'
U' R U2 D L' B' F'
U' R U2 D' L' F' B'
U' R U2 D' L' B' F'
U' R U2 D2 L' F' B'
U' R U2 D2 L' B' F'
U' R U2 B L' F' B'
U' R U2 B L' B' F'
U R U2 L' F' R' B'
U' R U2 B' L' F' B'
U' R U2 B' L' B' F'
U' R U2 B2 L' F' B'
U' R U2 B2 L' B' F'
U' R D U2 L' F' B'
U' R D U2 L' B' F'
B' R D' L' F' R B
U' R D' U2 L' F' B'
U' R D' U2 L' B' F'
U' R D2 U2 L' F' B'
U' R D2 U2 L' B' F'
F2 R F U2 F2 D R2
U' R F2 R U2 F B
U' R F2 R U2 B F
U' R B U2 L' F' B'
U' R B U2 L' B' F'
R' U' R2 U2 L' F' B'
R' U' R2 U2 L' B' F'
L2 U' R2 U2 L F B
L2 U' R2 U2 L B F
U' R B' U2 L' F' B'
U' R B' U2 L' B' F'
U' R B2 U2 L' F' B'
U' R B2 U2 L' B' F'
L2 U' F' R U2 L F'
L2 U' F' R U2 F' L
L2 U' F' R2 U2 L F
L U' F' R U2 L2 F'
L U' F' R U2 F' L2
L U' F' R' B U2 L2
L2 U' F' B2 R' B U2
R' U' F2 B R F' U2
R' U' B R' U2 L' B
R' U' B R' U2 B L'
R' U' B R2 U2 L' B'
F2 R' U' R2 F U2 F2
F2 R' U' F R2 U2 F'
F2 R' U' F B R2 U2
F2 R' U' B R2 F U2
F2 R' U' B F R2 U2
R' U' B F2 R F' U2
L2 U' B2 F' R' B U2
R2 U2 L U' F L2 B
R2 U2 L U' F B L2
R2 U2 L U' B F L2
R U2 L U' L2 F' B'
R U2 L U' L2 B' F'
R U2 L2 U' L F' B'
R U2 L2 U' L B' F'
R U2 L2 U' F' L B'
U' R' F2 B R F' U2
U' R' B R' U2 L' B
U' R' B R' U2 B L'
U' R' B R2 U2 L' B'
U' R' B F2 R F' U2
D2 R2 L U L2 F B
D2 R2 L U L2 B F
U' R2 L' B2 R' F' B'
U' R2 L' B2 R' B' F'
B R2 L' D' B R' F'
D2 R2 U L' D F B
D2 R2 U L' D B F
D2 R2 U L' D' F B
D2 R2 U L' D' B F
D2 R2 U L' D2 F B
D2 R2 U L' D2 B F
D2 R2 U L' F D B
D2 R2 U L' F D' B
D2 R2 U L' F D2 B
D2 R2 U L' F B D
D2 R2 U L' F B D'
D2 R2 U L' F B D2
U R2 L' B R' F' R'
D2 R2 U L' B D F
D2 R2 U L' B D' F
D2 R2 U L' B D2 F
D2 R2 U L' B F D
D2 R2 U L' B F D'
D2 R2 U L' B F D2
D' R2 U D' L' F B
D' R2 U D' L' B F
D' R2 U D' B L' F
D2 R2 U B L' D F
D2 R2 U B L' D' F
D2 R2 U B L' D2 F
D2 R2 U B L' F D
D2 R2 U B L' F D'
D2 R2 U B L' F D2
D' R2 U B D' L' F
D2 R2 U B' L' F B2
D2 R2 U B' L' B2 F
D R2 U D L' F B
D R2 U D L' B F
D R2 U D B L' F
U' R2 U2 L F L2 B
U' R2 U2 L F B L2
U' R2 U2 L B F L2
U' R2 U2 L' B D2 F2
U2 R2 U' B L' D F2
U' R2 U2 B L F L2
D R2 D U L' F B
D R2 D U L' B F
D R2 D U B L' F
D' R2 D' U L' F B
D' R2 D' U L' B F
D' R2 D' U B L' F
U' R2 F U2 B L F
U' R2 B' L' B2 R' F'
U R2 B L' R' F' R'
U R2 B R' L' F' R'
U R2 B R2 D2 L' F
D2 U L F2 L2 F B'
D2 U L F2 L2 B' F
D2 U L' R2 F B R2
D2 U L' R2 B R2 F
D2 U L' R2 B F R2
D2 U L' U2 F' U2 F2
D2 U L' D F D2 B2
D2 U L' D' F D2 B2
D2 U L' D2 F D2 B2
D2 U L' F U2 F2 U2
D2 U L' F D2 B2 D
D2 U L' F D2 B2 D'
D2 U L' F D2 B2 D2
D2 U L' F B D2 B2
D2 U L' F B' D2 B2
D2 U L' F B2 D2 B2
D2 U L' B F D2 B2
D2 U L' B' F D2 B2
D2 U L' B2 F D2 B2
F2 U R F U2 R' F2
F2 U R F U2 F2 R'
D2 U R2 L' F B R2
D2 U R2 L' B R2 F
D2 U R2 L' B F R2
D2 U R2 B L' R2 F
D2 U R2 B L' F R2
D2 U R2 B R2 L' F
D2 U B L' F D2 B2
D2 U B' L' F D2 B2
D2 U B2 L' F D2 B2
D2 U' L' F D2 B2 R'
D2 U' R U2 L' F B'
D2 U' R U2 L' B' F
