L' R U' B R F
R L' U' B R F
U2 L' U R2 F B'
U2 L' U R2 B' F
U2 L' U F R2 B'
U2 L' U F B' R2
U2 L' U B' R2 F
U2 L' U B' F R2
R U' D2 B R F'
R U' B D2 R F'
R D2 U' B R F'
L R U B' U2 R B2
L R U B' U2 B2 R
R L U B' U2 R B2
R L U B' U2 B2 R
L' R U' D B R F
L' R U' D' B R F
L' R U' D2 B R F
L' R U' F D2 B R'
L' R U' B R D F
L' R U' B R D' F
L' R U' B R D2 F
L' R U' B R F D
L' R U' B R F D'
L' R U' B R F D2
L' R U' B R' F R2
L' R U' B R2 F R'
L' R U' B D R F
L' R U' B D' R F
L' R U' B D2 R F
L' R U' B' R F B2
L' R U' B' R B2 F
L' R U' B2 R F B'
L' R U' B2 R B' F
L R U' B R D2 F2
L R U' B D2 R F2
R L U' B R D2 F2
R L U' B D2 R F2
L' R D U' B R F
U2 L U' F B' U2 R2
L' R D' U' B R F
U2 L U' B' F U2 R2
L' R D2 U' B R F
L' R' U F' U2 R' F2
L' R' U F' U2 F2 R'
R' L' U F' U2 R' F2
R' L' U F' U2 F2 R'
R' L' U' R2 B R F
L' R' U' R2 B R F
R' L' U' F R' D2 B2
L' R' U' F R' D2 B2
R' L' U' F D2 R' B2
L' R' U' F D2 R' B2
R L' U' D B R F
R L' U' D' B R F
R L' U' D2 B R F
R L' U' F D2 B R'
R L' U' B R D F
R L' U' B R D' F
R L' U' B R D2 F
R L' U' B R F D
R L' U' B R F D'
R L' U' B R F D2
R L' U' B R' F R2
R L' U' B R2 F R'
R L' U' B D R F
R L' U' B D' R F
R L' U' B D2 R F
R L' U' B' R F B2
R L' U' B' R B2 F
R L' U' B2 R F B'
R L' U' B2 R B' F
F' L' R U' B R F
U2 L' R U R F B'
U2 L' R U R B' F
U2 L' R U B' R F
F2 L' R U' B R F
F L' R U' B R F
U2 L' R' U R' F B'
U2 L' R' U R' B' F
U2 L' R' U F R' B'
R L' D U' B R F
R L' D' U' B R F
U2 L' U R B' R F
U2 L' U R' F R' B'
U2 L' U R2 D F B'
U2 L' U R2 D B' F
U2 L' U R2 D' F B'
U2 L' U R2 D' B' F
U2 L' U R2 D2 F B'
U2 L' U R2 D2 B' F
U2 L' U R2 F D B'
U2 L' U R2 F D' B'
U2 L' U R2 F D2 B'
U2 L' U R2 F B' D
U2 L' U R2 F B' D'
U2 L' U R2 F B' D2
U2 L' U R2 B' D F
U2 L' U R2 B' D' F
U2 L' U R2 B' D2 F
U2 L' U R2 B' F D
U2 L' U R2 B' F D'
U2 L' U R2 B' F D2
R L' D2 U' B R F
U2 L' U F R B' R
U2 L' U F R2 D B'
U2 L' U F R2 D' B'
U2 L' U F R2 D2 B'
U2 L' U F R2 B' D
U2 L' U F R2 B' D'
U2 L' U F R2 B' D2
U2 L' U F B R2 B2
U2 L' U F B' R2 D
U2 L' U F B' R2 D'
U2 L' U F B' R2 D2
